giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Distribuidor de café,Granos de café,AbasCafé,https://www.abascafe.mx/,info@abascafe.mx,2721564297,Río Blanco,Veracruz,México,,Alta,8,Café + equipos cafetería; Café insumos equipos,manual/research
Distribuidor de café,Granos de café,AGRO TEXIN / Café TEXIN,,texin1975@hotmail.com,(228) 816-0188,Coatepec,Veracruz,México,,Alta,6,Productor,dirind
Distribuidor de café,Granos de café,AGROCAFES LA INDIA,,justogm@hotmail.com,(279) 833-0066,Cosautlán,Veracruz,México,,Alta,6,,dirind
Distribuidor de café,Granos de café,AGROINDUSTRIAS UNIDAS / OMNICAFE,https://www.ecomtrading.com,contact@ecomtrading.com,(55) 5257-6500,CDMX,CDMX,México,,Alta,8,Trading ECOM,dirind
Distribuidor de café,Granos de café,Barizzimo,https://www.barizzimo.com/,contacto@barizzimo.com,4496882993,Aguascalientes,Ags,México,,Alta,8,Cold brew + especialidad; Cold brew especialidad,manual/research
Distribuidor de café,Granos de café,Blend Station,https://www.blendstation.com.mx/,,5568685350,CDMX,CDMX,México,,Alta,5,Tostador/cafetería,manual/research
Distribuidor de café,Granos de café,Bola de Oro,https://boladeoro.com.mx/,contacto@boladeoro.com.mx,,Coatepec/Puebla,Veracruz,México,,Alta,6,Productor Coatepec,manual/research
Distribuidor de café,Granos de café,BOLA DE ORO REFORMA,https://www.boladeoro.com.mx,contacto@boladeoro.com.mx,(222) 232-2572,Puebla,Puebla,México,,Alta,8,Coatepec,dirind
Distribuidor de café,Granos de café,CAFE BERSA,https://www.grupobersa.com,info@cafebersa.com,(55) 5018-0464,Veracruz,Veracruz,México,,Alta,8,Kits hoteleros cafeterías,dirind
Distribuidor de café,Granos de café,CAFE CAPUCHINO,https://www.cafecapuchinotampico.com.mx,gerardogochicoa@prodigy.net.mx,(833) 213-6582,Tampico,Tamaulipas,México,,Alta,8,Exportación,dirind
Distribuidor de café,Granos de café,CAFE CHAZARO,https://www.cafechazaro.mx,cafechazaro@hotmail.com,(442) 214-1672,Querétaro,Qro,México,,Alta,8,Tostador molino,dirind
Distribuidor de café,Granos de café,CAFE COLON DE XALAPA,,bcmsa@prodigy.net.mx,(228) 817-1758,Xalapa,Veracruz,México,,Alta,6,,dirind
Distribuidor de café,Granos de café,CAFE CONCORDIA,https://www.cafeconcordia.net,cafe.concordia.gourmet@gmail.com,(228) 165-8847,Emiliano Zapata,Veracruz,México,,Alta,8,Mayoreo desde 5kg Horeca,dirind
Distribuidor de café,Granos de café,CAFE COSTEÑO,https://www.cafecosteno.com,industrialtrinidad@hotmail.com,(443) 312-6622,Morelia,Michoacán,México,,Alta,8,,dirind
Distribuidor de café,Granos de café,CAFE CUMBRE,https://www.cafecumbre.com,info@cafecumbre.com,(33) 3627-2372,Zapopan,Jalisco,México,,Alta,8,Pergamino oro Horeca,dirind
Distribuidor de café,Granos de café,CAFE DE LA MEDIA LUNA,,cafemedialunaflorencia@hotmail.com,(55) 5511-2777,CDMX,CDMX,México,,Alta,6,100% puro Juárez,dirind
Distribuidor de café,Granos de café,CAFE DE POTOSI / COSTENITO,https://www.cafecostenito.com.mx,cafecostenito@gmail.com,(833) 212-2143,Tampico,Tamaulipas,México,,Alta,8,Soluble,dirind
Distribuidor de café,Granos de café,CAFE DEL CENTRO HISTORICO TAPATIO,,gabriel_macro@hotmail.com,(33) 3614-3996,Guadalajara,Jalisco,México,,Alta,6,,dirind
Distribuidor de café,Granos de café,CAFE EL MARINO,https://www.cafemarino.com.mx,marino.online@cafemarino.com.mx,800-718-0090,CDMX,CDMX,México,,Alta,8,Gourmet tostado,dirind
Distribuidor de café,Granos de café,CAFE EL MARINO CULIACAN,https://www.cafemarino.com.mx,culiacan@cafemarino.com.mx,(667) 713-2454,Culiacán,Sinaloa,México,,Alta,8,Sucursal,dirind
