giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Salud,Colágeno hidrolizado,Grenetina Andrade / PIASA,http://www.grenetina.mx/,,(477) 763-6312,León,Guanajuato,México,Fabricante,Alta,6,Colágeno medio mayoreo desde 20kg,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,PROSA Productos Naturales,https://www.prosaproductosnaturales.mx,prosa@prosaenlinea.com.mx,(55) 5741-2966,CDMX,CDMX,México,Naturales,Alta,8,Cápsulas y naturales,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Prosperidad Vital NeoLife,https://www.prosperidadvital.com.mx,prosperidad.vital@gmail.com,(55) 8580-7013,CDMX,CDMX,México,Distribuidor MLM,Alta,9,NeoLife,retail_ecom
Salud,Colágeno hidrolizado,Sesén Company / Sesén Colágeno,https://sesencompany.com/,servicioalcliente@sesencolageno.com,(238) 241-1090,Santiago Miahuatlán,Puebla,México,Marca D2C / fabricante,Alta,9,Top Profeco; péptidos bioactivos; matcha/silver,marcas_d2c
Salud,Colágeno hidrolizado,Suplementos de Colágeno S.A. de C.V.,,suplementosdecolageno@gmail.com,(477) 781-2762,León,Guanajuato,México,Fabricante B2B,Alta,7,Colágeno bovino polvo + grenetina; WA 4776487025,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Tecnua Tecnología y Nutrición,https://www.soyamix.com.mx,alberto_perez@tecnua.com,800-500-4567,León,Guanajuato,México,Nutrición aplicada,Alta,8,Proteínas y nutracéuticos,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Ultra Soya,https://www.ultrasoya.com.mx,ultrasoya85@hotmail.com,(33) 3694-4103,Guadalajara,Jalisco,México,Vitaminas naturales,Alta,8,Distribuidor,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Vivalvia / Vivalvia SAS,https://www.vivalvia.com,contacto@vivalvia.com,55 5692 3893,CDMX,CDMX,México,B2B péptidos,Alta,9,Distribución péptidos,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Vivalvia S.A.S. de C.V.,https://www.vivalvia.com,contacto@vivalvia.com,(55) 5692-3893,CDMX,CDMX,México,Distribuidor péptidos,Alta,9,Materia prima péptidos bioactivos mayoreo,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Welbing Inc / Welbing México,https://www.welbingmexico.com,equipodeventas@welbingmexico.com,(55) 5360-4763,CDMX,CDMX,México,Superfoods granel,Alta,8,Marca propia + granel,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,A&G Persea,https://agpersea.mx/,,,México,México,México,Marca,Media,3,Colágeno arándano 1.2kg,marcas_d2c
Salud,Colágeno hidrolizado,Al Natural Colágeno,https://alnatural.mx/,,,México,México,México,Marca D2C,Media,3,10g porción,marcas_d2c
Salud,Colágeno hidrolizado,Altagamma Colágeno Marino,https://altagamma.mx/,,,México,México,México,Marca,Media,3,Origen marino,marcas_d2c
Salud,Colágeno hidrolizado,AMARU Colágeno,,,,Ecatepec,EdoMex,México,Mayoreo,Media,2,Polvo 25kg,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,AMINOVITA Y QUIMICOS,,,55 8920 2387,EdoMex,EdoMex,México,Químicos,Media,3,Colágeno San Mateo Nopala,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Amway Nutrilite MX,https://www.amway.com.mx/,,,México,México,México,MLM,Media,2,Nutrilite,retail_ecom
Salud,Colágeno hidrolizado,Azelis México,https://www.azelis.com/,,,México,México,México,Distribuidor,Media,3,Life sciences,b2b_quiminet_dirind
