giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Alimentos,Frutos secos,Alimentos ENCO,https://www.encoalimentos.com,ventas@encoalimentos.com,(81) 8355-8648,Guadalupe,NL,México,Fabricante,Alta,9,Nuez análoga soya panificación,dirind
Alimentos,Frutos secos,Alimentos Hergran,https://www.hergran.com,informacion@hergran.com,(81) 8104-1891,Monterrey,NL,México,Marca granola/snacks,Alta,8,Granola + arándanos snacks,dirind
Alimentos,Frutos secos,Alimentos Mexicanos Tonatiuh / Frutissima,,frutissima@hotmail.com,(777) 313-5887,Cuernavaca,Morelos,México,Frutas deshidratadas,Alta,6,Confitería artesanal,dirind
Alimentos,Frutos secos,Alonso Loera Nuez,,alonsoalejandroloera40@gmail.com,(844) 452-4229,Parras,Coahuila,México,Productor pecana,Alta,7,40+ años Wichita Western,dirind
Alimentos,Frutos secos,Beneficiadora de Nueces y Piñones,,bnpsa@hotmail.com,(55) 5370-1053,Atotonilco el Grande,Hidalgo,México,Beneficio frutos secos,Alta,6,Nuez almendra pistache avellana,dirind
Alimentos,Frutos secos,Beneficiadora de Semillas y Oleaginosas BENSOL,https://www.bensol.com.mx,bensol@prodigy.net.mx,(81) 8384-0708,Escobedo,NL,México,Distribuidor nueces,Alta,9,Sucursal CDMX Granjas México,dirind
Alimentos,Frutos secos,Cremo Chanty de México,https://www.cremochanty.mx,,(55) 5571-3557,CDMX,CDMX,México,Insumos panadería,Alta,5,Nuez granillo + insumos,dirind
Alimentos,Frutos secos,Dualmex,,gilberto.valencia@dualmex.com,(55) 5685-1911,CDMX,CDMX,México,Distribuidor,Alta,7,Almendras avellanas pasta frutas secas,dirind
Alimentos,Frutos secos,El Beneficio,https://elbeneficio.mx,gustavo@elbeneficio.mx,(55) 4459-2729,Atotonilco El Grande,Hidalgo,México,Insumos Horeca,Alta,8,Nuez almendra pistache arándano,dirind
Alimentos,Frutos secos,El Fresno Express / Empacadora El Fresno,https://elfresnoexpress.com/,rosalia.romero@despensaselfresno.com.m,(55) 3863-6660,Valle de Chalco,EdoMex,México,Empacadora mayoreo,Alta,9,CDMX/Edomex repostería abarrotes,research
Alimentos,Frutos secos,El Ruiseñor de México,https://www.ruisenor.com.mx,salvador@ruisenor.com,(55) 5694-2611,CDMX,CDMX,México,Mayoreo Central Abastos,Alta,9,Nueces pistache almendra uva pasa,dirind
Alimentos,Frutos secos,Engloba Food Solutions,https://www.engloba.com.mx,ventas_01@engloba.com.mx,(33) 3122-7127,Zapopan,Jalisco,México,Ingredientes industria,Alta,8,Frutos secos granos semillas deshidratados,dirind
Alimentos,Frutos secos,Fun Fruit,https://funfruit.com.mx/,shop@funfruit.com.mx,,CDMX,EdoMex,México,Mayoreo B2B,Alta,7,Mayoreo semillas y frutos secos envíos nacionales,research
Alimentos,Frutos secos,Galdisa / Golden Nuts,https://www.galdisa.com,info@galdisa.com.mx,(55) 5630-4616,CDMX,CDMX,México,Fabricante marca GOLDEN,Alta,9,Almendra pistache nuez botanas maquila,dirind
Alimentos,Frutos secos,Grupo Maxilu,https://www.maxilu.com.mx,corporativas@maxilu.com.mx,(55) 5319-2711,CDMX,CDMX,México,Granola fabricante,Alta,9,Cereales + frutos secos desde 1986,dirind
Alimentos,Frutos secos,Grupo Paraíso / Comercializadora Paraíso,https://paraisomex.com/,,+52 33 3121 3506,Guadalajara,Jalisco,México,Mayorista nacional,Alta,5,Semillas frutos secos especias centrales abasto,research
Alimentos,Frutos secos,Humphrey Pecan,https://www.humphreypecan.com.mx,ghumphrey@humphreypecan.com.mx,(871) 731-6004,Torreón,Coahuila,México,Mayoreo pecanas,Alta,9,Nacionales e internacionales,dirind
Alimentos,Frutos secos,Importaciones y Distribuciones MS,,importacionesms@prodigy.net.mx,5556944546,CDMX,CDMX,México,Mayoreo CEDA,Alta,7,Semillas nuez pistache almendra dulces,research
