giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Coleccionables,Cartas/tarjetas de coleccion,Lofty TCG,https://loftytcg.com/,contacto@loftytcg.com,8124161170,San Pedro Garza García,NL,México,Tienda TCG + grading,Alta,9,R. de la Plata 203 Plaza Alejandria Piso 2,main_ecom
Coleccionables,Cartas/tarjetas de coleccion,Mexplay,https://www.mexplay.com/,,+526648664124,Tijuana,BC,México,Tienda oficial Bandai/WPN,Alta,6,Aquiles Serdan 10875 Libertad; OP Pokémon MTG YGO Digimon,main_ecom
Coleccionables,Cartas/tarjetas de coleccion,Mithrandir Store,https://www.mithrandirstore.com/,,4272265432,San Juan del Río,Querétaro,México,Tienda TCG + figuras,Alta,6,YGO Pokémon Digimon; Hacienda San Nicolás 159,main_ecom
Coleccionables,Cartas/tarjetas de coleccion,ProCards México,https://procardsmexico.com.mx/,procardsmexico@gmail.com,7444894283,Acapulco,Guerrero,México,Ecom TCG,Alta,9,Pokémon YGO OP DB Digimon Lorcana; soporte@procardsmexico.com.mx,main_ecom
Coleccionables,Cartas/tarjetas de coleccion,Akibara Xpress,https://akibaraxpress.com/,,,Monterrey,NL,México,Geek + TCG ecom,Media,4,Pokémon YGO Digimon DB; envíos nacionales,main_ecom
Coleccionables,Cartas/tarjetas de coleccion,Andy Cards,,,,CDMX,CDMX,México,Tienda TCG,Media,2,Eje Central 10 2do piso Local 5,digimon_auth_list
Coleccionables,Cartas/tarjetas de coleccion,Animundo,,,,Celaya,Guanajuato,México,Tienda TCG,Media,2,Morelos 133 Int 8 Centro,digimon_auth_list
Coleccionables,Cartas/tarjetas de coleccion,Battle City,,,,Coatzacoalcos,Veracruz,México,Tienda TCG,Media,2,Benito Juárez 911,digimon_auth_list
Coleccionables,Cartas/tarjetas de coleccion,Caravana Gamelab,,,,Zapopan,Jalisco,México,Tienda TCG,Media,2,Beethoven 5162 La Estancia,digimon_auth_list
Coleccionables,Cartas/tarjetas de coleccion,CardTemple,https://cardtemple.com.mx/,,,Guadalajara,Jalisco,México,Ecom singles Pokémon,Media,4,Singles competitivos; pickup Plaza del Sol,main_ecom
Coleccionables,Cartas/tarjetas de coleccion,Cartoncito Cards,https://cartoncitocards.com/,,,Monterrey,NL,México,Tienda TCG,Media,4,Pokémon YGO OP Lorcana MTG desde 2023,main_ecom
Coleccionables,Cartas/tarjetas de coleccion,Cartoncito Cards Facebook,https://www.facebook.com/CartoncitoCards,,,Monterrey,NL,México,Social + tienda,Media,3,Comunidad MTY,extra
Coleccionables,Cartas/tarjetas de coleccion,Colecciona MX,https://colecciona.mx/,,,,México,México,Ecom TCG,Media,3,Pokémon MTG OP Lorcana YGO Gundam SWU,main_ecom
Coleccionables,Cartas/tarjetas de coleccion,Collector's Realm,,,,CDMX,CDMX,México,Tienda TCG,Media,2,Comunidad MTG/Pokémon CDMX,cdmx_scene
Coleccionables,Cartas/tarjetas de coleccion,Conejo Blanco TCG,,,,CDMX,CDMX,México,Tienda TCG oriente,Media,2,Comunidad Pokémon grande,cdmx_scene
Coleccionables,Cartas/tarjetas de coleccion,Explosion Group wholesale,,,,Cd. Juárez,Chihuahua,México,Mayoreo TCG,Media,2,Mayoreo para tiendas/negocios,online
Coleccionables,Cartas/tarjetas de coleccion,Explosion Shops,https://explosionshops.com.mx/,,,Cd. Juárez,Chihuahua,México,Retail + mayoreo TCG,Media,4,Distribuidor autorizado Pokémon; Av de los Aztecas 8020,main_ecom
