giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Alimentos,Botanas y snacks mexicanos,Aceites para freír Oleofinos canal botana,https://www.oleofinos.com.mx,sucet.alvarez@oleofinos.com.mx,(477) 392-6516,Zapopan,Jalisco,México,Insumo industria,Alta,8,Easy Fried — proveedores de fábricas,dirind
Alimentos,Botanas y snacks mexicanos,Afrima / Tostadas Luz Ma,https://www.tostadasluzma.com.mx,alimentos_fritos@yahoo.com.mx,(443) 313-7098,Morelia,Michoacán,México,Fabricante,Alta,9,Tostadas tradicional/botanera/horneada y churros de maíz,dirind
Alimentos,Botanas y snacks mexicanos,Alimentos Extruidos / Gustinos,https://www.gustinos.com,ventas@gustinos.com,(33) 3686-1771,Tlajomulco,Jalisco,México,Fabricante insumos,Alta,9,"Pellets para snacks de trigo, papa y maíz",dirind
Alimentos,Botanas y snacks mexicanos,Alimentos Finos del Norte,,jgarza@hotmail.com,(844) 432-0602,Saltillo,Coahuila,México,Fabricante insumos,Alta,7,Pellet de cuero de cerdo para chicharrón,dirind
Alimentos,Botanas y snacks mexicanos,Alimentos Procesados de Zamora / Aproza,https://www.aprozaoficial.com,aproza2@prodigy.net.mx,(351) 517-0212,Zamora,Michoacán,México,Fabricante,Alta,9,"Cereales y botanas extruidas, palomitas, Troncheese",dirind
Alimentos,Botanas y snacks mexicanos,Alimentos Susalia,https://www.susalia.com,info@susalia.com,(55) 8788-1860,CDMX,CDMX,México,Marca tostadas,Alta,9,"Tortillas, totopos y tostadas de nopal",dirind
Alimentos,Botanas y snacks mexicanos,Alimentos Típicos Mexicanos GAVI,,administracion@gavi.com.mx,(55) 5360-0980,Naucalpan,EdoMex,México,Fabricante,Alta,7,"Tostadas, totopos, tortillas de harina",dirind
Alimentos,Botanas y snacks mexicanos,Alimentos y Botanas Herrera,https://www.botanasherrera.com,ventas@botanasherrera.com,(999) 946-1491,Mérida,Yucatán,México,Fabricante,Alta,9,"Charritos, papas, churritos, cacahuate, chicharrón, totopos, platanitos",dirind
Alimentos,Botanas y snacks mexicanos,Beto Botanas,https://betobotanas.com.mx/,ventas@betobotanas.com.mx,5553052136,Cd. López Mateos,EdoMex,México,Fabricante/distribuidor,Alta,9,"Churritos, chicharrones, chetos, palomitas, papas, mayoreo",research
Alimentos,Botanas y snacks mexicanos,Boka-2 Bokados,https://www.bokados.com,info@bokados.com,800-800-3442,Santa Catarina,NL,México,Marca,Alta,9,Entremeses Arca Continental,research
Alimentos,Botanas y snacks mexicanos,Bokados / Nacional de Alimentos y Helados,https://www.bokados.com,info@bokados.com,800-800-3442,Santa Catarina,NL,México,Marca nacional,Alta,9,"Botanas BOKA-2, Arca Continental, Monterrey",dirind
Alimentos,Botanas y snacks mexicanos,Botanamex,https://botanamex.com.mx/,ventas@botanamex.com.mx,5575854444,Chalco,EdoMex,México,Fabricante,Alta,9,"Zona industrial Chalco, elaboración de botanas",research
Alimentos,Botanas y snacks mexicanos,Botanas Bibisnacks,http://botanasbibisnacks.com/,botanasbibi@gmail.com,5562841244,Iztapalapa,CDMX,México,Fabricante mayoreo,Alta,9,"Papas, chicharrones, churritos nopal/amaranto, palomitas — Santa Isabel Industrial",research
Alimentos,Botanas y snacks mexicanos,Botanas Crounsh / Tostadas Chihuahua,https://www.botanascrounsh.com,tostadas_chihuahua@hotmail.com,(614) 435-4092,Chihuahua,Chihuahua,México,Fabricante tostadas,Alta,9,Tostadas y botanas regionales,dirind
Alimentos,Botanas y snacks mexicanos,Botanas de amaranto Indugrumex,https://www.indugrumex.com,ventas@indugrumex.com,(55) 2483-7013,Atizapán,EdoMex,México,Línea amaranto,Alta,8,Churros y palanquetas,research
Alimentos,Botanas y snacks mexicanos,Botanas de tamarindo K-Botanas,https://www.k-botanas.com/,,5656566389,Pachuca,Hidalgo,México,Línea tamarindo,Alta,5,Enchilado fábrica,research
Alimentos,Botanas y snacks mexicanos,Botanas Esnafer,https://www.botanasesnafer.com.mx,contacto@botanasesnafer.com.mx,(595) 951-1061,Texcoco,EdoMex,México,Fabricante,Alta,9,"Cacahuates, haba, garbanzo, girasol y calabaza — cobertura nacional",dirind
Alimentos,Botanas y snacks mexicanos,Botanas Julimoy,https://www.julimoy.com.mx,escalera.m@julimoy.com.mx,(55) 5694-4437,Iztapalapa,CDMX,México,Fabricante,Alta,9,"Papas, palomitas, aros, donitas, churritos, cacahuates",dirind
Alimentos,Botanas y snacks mexicanos,Botanas Kande / Tronquitos,https://www.fritostronquitos.com.mx,botanaskande@prodigy.net.mx,(81) 8354-5871,Monterrey,NL,México,Fabricante,Alta,9,"TRONQUITOS, CRUCITAS, TOSKYS — harina maíz/trigo/papa",dirind
Alimentos,Botanas y snacks mexicanos,Botanas Los Compadres,https://botanasloscompadres.com/,,9991779873,Kanasín,Yucatán,México,Fabricante/distribuidor,Alta,6,"Proveedor tiendas y supermercados, mayoreo por kilo",research
Alimentos,Botanas y snacks mexicanos,Botanas Los Compadres sucursal Pensiones,https://botanasloscompadres.com/,,9996474830,Mérida,Yucatán,México,Sucursal mayoreo,Alta,6,"Calle 23 diagonal, Residencial Pensiones",research
Alimentos,Botanas y snacks mexicanos,Botanas Mima,,tostadasmima@gmail.com,(81) 8336-1600,Santa Catarina,NL,México,Fabricante regional,Alta,7,Tostadas — Col. La Fama,dirind
Alimentos,Botanas y snacks mexicanos,Botanas Mina,https://www.facebook.com/Botanasminaoficial,josueweromina@gmail.com,9988424833,Cancún,Quintana Roo,México,Fabricante regional,Alta,9,"Plátanos fritos, papas, palomitas, chicharrón de trigo/maíz",dirind
Alimentos,Botanas y snacks mexicanos,Botanas Provi / Productos VYL,https://botanasprovi.com.mx/,bety@botanasprovi.com.mx,(444) 833-6922,San Luis Potosí,SLP,México,Fabricante,Alta,9,"Papas, cacahuates, haba, churritos, chicharrón 100% naturales",dirind
