giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Belleza,Maquillaje artistico,Academia Azul Ultravioleta,https://academia-azul-ultravioleta.ueniweb.com/,,3310935138,Guadalajara,Jalisco,México,Academia,Alta,5,Hacienda Huescalapa 1818 — maquillaje profesional,research
Belleza,Maquillaje artistico,Academia Bonds,https://www.bondsboutique.com.mx/pages/academia-bonds,ventas@bondsboutique.com.mx,5555585862,CDMX,CDMX,México,Academia artística,Alta,8,"Bodypaint, facepaint, FX y caracterización",research
Belleza,Maquillaje artistico,Adhesivos teatrales Bonds,https://www.bondsboutique.com.mx/,,5555585862,CDMX,CDMX,México,Insumos FX,Alta,5,Spirit gum y adhesivos,research
Belleza,Maquillaje artistico,Aqua Bonds colores mate,https://www.bondsboutique.com.mx/,ventas@bondsboutique.com.mx,5555585862,CDMX,CDMX,México,Marca propia,Alta,9,Face paint aqua MX,research
Belleza,Maquillaje artistico,Aquacolor paletas MX,https://www.artistcity.com.mx/,,(55) 3547-6444,CDMX,CDMX,México,Producto clave,Alta,5,Aqua 6/12/24,research
Belleza,Maquillaje artistico,Artist City,https://www.artistcity.com.mx/,,(55) 3547-6444,CDMX,CDMX,México,Tienda profesional,Alta,5,"Distribuidor exclusivo Kryolan MX, Roma Norte",research
Belleza,Maquillaje artistico,Artist City caracterización FX,https://www.artistcity.com.mx/,,(55) 3547-6444,CDMX,CDMX,México,Insumos FX,Alta,5,"Prostéticos, calvas, dientes, pupilentes FX",research
Belleza,Maquillaje artistico,Artist City glitter y pedrería,https://www.artistcity.com.mx/,,(55) 3547-6444,CDMX,CDMX,México,Insumos artísticos,Alta,5,Glitter cosmético y pedrería corporal,research
Belleza,Maquillaje artistico,Artist City peluquería teatral,https://www.artistcity.com.mx/,,(55) 3547-6444,CDMX,CDMX,México,Peluquería teatral,Alta,5,"Pelucas, postizos, barbas, bigotes",research
Belleza,Maquillaje artistico,Artist City sucursal Roma,https://www.artistcity.com.mx/,,(55) 3547-6444,CDMX,CDMX,México,Sucursal,Alta,5,Jalapa 119 Col. Roma,research
Belleza,Maquillaje artistico,Belly paint maternidad CDMX,https://helios-body-paint.ueniweb.com/,,5527156654,CDMX,CDMX,México,Servicio artístico,Alta,5,Bellypaint y sesión foto,research
Belleza,Maquillaje artistico,Bodyart Productos,,bodyartproductos@gmail.com,5554703792,CDMX,CDMX,México,Marca body paint,Alta,7,Producto profesional para body paint y caracterización,research
Belleza,Maquillaje artistico,Bond's Boutique,https://www.bondsboutique.com.mx/,ventas@bondsboutique.com.mx,5555585862,CDMX,CDMX,México,Tienda artística,Alta,8,"Body paint, face paint, payasos, Mehron — Venustiano Carranza",research
Belleza,Maquillaje artistico,Bonds Boutique sucursal Puebla metro,https://www.bondsboutique.com.mx/,ventas@bondsboutique.com.mx,5555585862,CDMX,CDMX,México,Sucursal,Alta,8,Calle 61 #122 Col. Puebla,research
Belleza,Maquillaje artistico,Bésame Mucho Make Up Academy,https://www.facebook.com/,,8134705608,Monterrey,NL,México,Academia,Alta,5,Blvd Puerta del Sol 526 Colinas San Jerónimo,research
Belleza,Maquillaje artistico,Calvas Glatzan MX,https://www.artistcity.com.mx/,,(55) 3547-6444,CDMX,CDMX,México,Insumos FX,Alta,5,Gorras plásticas teatrales,research
Belleza,Maquillaje artistico,Camerino Makeup & Academy,https://camerino.mx/,camerino_makeup@live.com.mx,8119358833,Monterrey,NL,México,Academia,Alta,8,10a Avenida 503 Cumbres 1er sector,research
Belleza,Maquillaje artistico,Caracterización ballet / danza CDMX,https://www.artistcity.com.mx/,,(55) 3547-6444,CDMX,CDMX,México,Danza + makeup,Alta,5,Insumos para bailarines,research
Belleza,Maquillaje artistico,Cera moldeable cine MX,https://www.artistcity.com.mx/,,(55) 3547-6444,CDMX,CDMX,México,Insumos FX,Alta,5,Cine-wax y special plastic,research
Belleza,Maquillaje artistico,Clown White Supracolor MX,https://www.artistcity.com.mx/,,(55) 3547-6444,CDMX,CDMX,México,Producto clave,Alta,5,Blanco payaso/teatro,research
Belleza,Maquillaje artistico,Color Spray / Glitter Spray Kryolan,https://themakeupcenter.com/,,5565491471,CDMX,CDMX,México,Producto clave,Alta,5,Sprays artísticos,research
Belleza,Maquillaje artistico,Comienza la Función,https://www.comienzalafuncion.com.mx/,,5555213037,CDMX,CDMX,México,Tienda teatral,Alta,5,Vestuario y maquillaje de escena,research
