giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Ropa,Disfraces,Abracadabra Disfraces,https://tododisfraces.com.mx/tiendas/abracadabra-disfraces/,,5521069660,Cuautitlán Izcalli,EdoMex,México,Tienda,Alta,5,"Minas de Tepetate, La Piedad",research
Ropa,Disfraces,Accesorios Halloween La Festa,https://lafestadisfraces.com/,contacto@lafestadisfraces.com,5552607406,CDMX,CDMX,México,Accesorios,Alta,8,"Pelucas, maquillaje, props",research
Ropa,Disfraces,Alquiladora de disfraces Chayito,https://tododisfraces.com.mx/tiendas/disfraces-en-renta-chayito/,,5564015577,Nicolás Romero,EdoMex,México,Renta,Alta,5,Camino a la Presa 54 San Isidro,research
Ropa,Disfraces,Alquiladora de disfraces Fortuna,https://tododisfraces.com.mx/tiendas/disfraces-fortuna/,,5511130702,Cuautitlán Izcalli,EdoMex,México,Renta,Alta,5,Valle de México 93 Cumbria,research
Ropa,Disfraces,Alta Costura Naucalpan disfraces,https://tododisfraces.com.mx/tiendas/alta-costura/,,5553931165,Naucalpan,EdoMex,México,Tienda,Alta,5,Cruz Valle Verde 30 Santa Cruz del Monte,research
Ropa,Disfraces,Artist City disfraces,https://www.artistcity.com.mx/,,(55) 3547-6444,CDMX,CDMX,México,Tienda teatral,Alta,5,"Vestuario danza, teatro y show",research
Ropa,Disfraces,Artist City vestuario extra,https://www.artistcity.com.mx/,,(55) 3547-6444,CDMX,CDMX,México,Teatro/danza,Alta,5,Show,research
Ropa,Disfraces,Bazar de temporadas Las Chinas,https://tododisfraces.com.mx/tiendas/bazar-de-temporadas-las-chinas/,,5553901103,Tlalnepantla,EdoMex,México,Tienda temporada,Alta,5,Av. de los Ejidos 48 Los Reyes Ixtacala,research
Ropa,Disfraces,Bazar Rossy,https://tododisfraces.com.mx/tiendas/bazar-rossy/,,5558536427,Chimalhuacán,EdoMex,México,Tienda,Alta,5,Av. Nezahualcóyotl cabecera,research
Ropa,Disfraces,Baúl Mágico Ecatepec,https://tododisfraces.com.mx/tiendas/baul-magico-tienda-de-disfraces-globos-de-helio-adornos-y-todo-para-tus-fiestas/,,5517972820,Ecatepec,EdoMex,México,Tienda fiesta,Alta,5,Carlos Hank González 50 Fuentes de Aragón,research
Ropa,Disfraces,Bota y Rebota,https://tododisfraces.com.mx/tiendas/bota-y-rebota/,,5559347078,Tecámac,EdoMex,México,Renta,Alta,5,"Felipe Villanueva, Nueva Santa María",research
Ropa,Disfraces,Botargas Chanez,https://tododisfraces.com.mx/tiendas/botargas-chanez/,,5561895628,Ecatepec,EdoMex,México,Fabricante botargas,Alta,6,Jilguero 29-60,research
Ropa,Disfraces,Botargas Hernández,https://tododisfraces.com.mx/tiendas/botargas-hernandez/,,5587044866,Ecatepec,EdoMex,México,Fabricante botargas,Alta,6,Popocatépetl 56,research
Ropa,Disfraces,Botargas Innovaciones Corp,https://tododisfraces.com.mx/tiendas/botargas-innovaciones/,,5579849799,GAM,CDMX,México,Fabricante botargas,Alta,6,León 44 Jardines de Guadalupe,research
Ropa,Disfraces,Botargas y Cabezones Toluca,https://tododisfraces.com.mx/tiendas/botargas-y-cabezones/,,7224181713,Toluca,EdoMex,México,Fabricante,Alta,6,Cinco de Mayo 616 Américas Cárdenas,research
Ropa,Disfraces,Came Fotografía y Disfraces,https://tododisfraces.com.mx/tiendas/came-fotografia-y-disfraces/,,5521394734,Coacalco,EdoMex,México,Renta,Alta,5,"4.8 Google, Villa de las Flores",research
Ropa,Disfraces,Casa de disfraces Fulanitas,https://tododisfraces.com.mx/tiendas/casa-de-disfraces-fulanitas/,,5512371830,Nezahualcóyotl,EdoMex,México,Tienda,Alta,5,Ignacio Aldama 193 Loma Bonita,research
Ropa,Disfraces,Casita artesanal extra,http://lacasitadedisfraces.com.mx/,,5555986267,CDMX,CDMX,México,Artesanal,Alta,5,+35 años,research
Ropa,Disfraces,Comienza la Función,https://www.comienzalafuncion.com.mx/,,5555213037,CDMX,CDMX,México,Tienda teatral,Alta,5,Vestuario y disfraces,research
Ropa,Disfraces,Comienza la Función teatro extra,https://www.comienzalafuncion.com.mx/,,5555213037,CDMX,CDMX,México,Teatro,Alta,5,Vestuario escena,research
Ropa,Disfraces,Confección disfraces Toluca,https://www.partyzonedisfraces.com/,,7228642693,Toluca,EdoMex,México,Taller + tienda,Alta,5,Estado de México,research
Ropa,Disfraces,Creaciones DS,https://tododisfraces.com.mx/tiendas/creaciones-ds/,,5627611798,Coacalco,EdoMex,México,Tienda,Alta,5,Miguel Hidalgo 15,research
Ropa,Disfraces,Delmi extra,,disfracesdelmi@gmail.com,5544491501,CDMX,CDMX,México,Tienda,Alta,6,Venustiano Carranza,research
Ropa,Disfraces,DePeli preventa Halloween,https://disfracesdepeli.com/,contacto@disfracesdepeli.com,5583935960,CDMX,CDMX,México,Preventa,Alta,8,Precios especiales temporada,research
Ropa,Disfraces,DePeli sucursales extra,https://disfracesdepeli.com/,contacto@disfracesdepeli.com,5583935960,CDMX,CDMX,México,Multi-sucursal,Alta,8,3+ sucursales,research
Ropa,Disfraces,Disfraces ABACOR,https://disfracesabacor.com/,,5529611113,México,México,México,Fabricante mayoreo,Alta,5,Diseño y confección Halloween,research
Ropa,Disfraces,Disfraces ABACOR WhatsApp mayoreo,https://disfracesabacor.com/,,5529611113,México,México,México,Mayoreo,Alta,5,Alta calidad niños/adultos,research
Ropa,Disfraces,Disfraces bebé DePeli,https://disfracesdepeli.com/,contacto@disfracesdepeli.com,5583935960,CDMX,CDMX,México,Línea bebé,Alta,8,"Bebé, niño, niña, dama, caballero",research
Ropa,Disfraces,Disfraces bebé extra DePeli,https://disfracesdepeli.com/,,5583935960,CDMX,CDMX,México,Bebé,Alta,5,Línea completa,research
Ropa,Disfraces,Disfraces de oficios y profesiones,https://lamagiadeldisfraz.mx/,,5556784736,CDMX,CDMX,México,Línea catálogo,Alta,5,Oficios además de Halloween,research
Ropa,Disfraces,Disfraces DePeli,https://disfracesdepeli.com/,contacto@disfracesdepeli.com,5583935960,CDMX,CDMX,México,Tienda multi-sucursal,Alta,8,"Pedregal, Polanco, Miramontes",research
Ropa,Disfraces,Disfraces DePeli Miramontes,https://disfracesdepeli.com/,,5556784094,CDMX,CDMX,México,Sucursal,Alta,5,Miramontes,research
Ropa,Disfraces,Disfraces DePeli Pedregal,https://disfracesdepeli.com/,,5530893006,CDMX,CDMX,México,Sucursal,Alta,5,Plaza Pedregal,research
Ropa,Disfraces,Disfraces DePeli Polanco,https://disfracesdepeli.com/,,5552822742,CDMX,CDMX,México,Sucursal,Alta,5,Polanco,research
Ropa,Disfraces,Disfraces Día de Muertos CDMX,https://www.elfamundi.com.mx/,,5555525294,CDMX,CDMX,México,Temporada,Alta,5,Catrinas y calacas,research
Ropa,Disfraces,Disfraces Mancera,https://disfracesmancera.com.mx/,contacto@disfracesmancera.com.mx,5555597641,CDMX,CDMX,México,Mayoreo,Alta,9,Pilares 401 Col. del Valle,research
Ropa,Disfraces,Disfraces Mancera mayoristas web,https://disfracesmancera.com.mx/home/,contacto@disfracesmancera.com.mx,5545010993,CDMX,CDMX,México,Mayoreo web,Alta,9,Registro RFC mayorista,research
Ropa,Disfraces,Disfraces Morelos extra Ghoulish,https://ghoulishproductions.com.mx/,,7771645169,Jiutepec,Morelos,México,Fábrica máscaras,Alta,5,Mayoreo,research
Ropa,Disfraces,Disfraces MTY extra Muñoz fábrica,,distmunoz@gmail.com,8183745074,Monterrey,NL,México,Fábrica,Alta,6,Mallas y leotardos,research
Ropa,Disfraces,Disfraces MTY extra Remate,,elrematedeldisfraz@gmail.com,8120953757,Monterrey,NL,México,Renta volumen,Alta,6,Temporada,research
Ropa,Disfraces,Disfraces Party Zone,https://www.partyzonedisfraces.com/,,7228642693,Toluca,EdoMex,México,Tienda + ecom,Alta,6,"+20 años, envíos nacionales",research
Ropa,Disfraces,Disfraces pastorelas MX,https://www.elfamundi.com.mx/,,5555525294,CDMX,CDMX,México,Temporada navidad,Alta,5,Pastorelas y corpus,research
Ropa,Disfraces,Disfraces primavera / corpus,https://www.elfamundi.com.mx/,,5555525294,CDMX,CDMX,México,Temporada,Alta,5,Calendario festivo MX,research
