giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Regalos,Cestas de regalo,"5,000 productos para armar",https://canastasyarcones.mx/,ventas@canastasyarcones.mx,5571596103,Naucalpan,EdoMex,México,Catálogo insumos,Alta,8,Armado a la medida,research
Regalos,Cestas de regalo,Arcones centro CDMX,https://canastas.com/,contacto@canastas.com,5599901630,CDMX,CDMX,México,Cobertura centro,Alta,8,Entrega centro histórico,research
Regalos,Cestas de regalo,Arcones corporativo Toreo,https://arcones.mx/contact/,ventas@arcones.mx,5598165166,Naucalpan,EdoMex,México,CD / corporativo,Alta,8,Blvd Ávila Camacho 80 Int 204,research
Regalos,Cestas de regalo,Arcones corporativos NL,https://canastas.com/,contacto@canastas.com,5599901630,Monterrey,NL,México,B2B norte,Alta,9,Empresas Nuevo León,research
Regalos,Cestas de regalo,Arcones empresariales 2026 catálogo,https://canastas.com/,contacto@canastas.com,5524284169,CDMX,CDMX,México,Catálogo temporada,Alta,8,WhatsApp ventas,research
Regalos,Cestas de regalo,Arcones Polanco CD,https://arcones.mx/contact/,ventas@canastasyarcones.mx,5616545039,Naucalpan,EdoMex,México,Centro distribución,Alta,8,Calz San Esteban 18,research
Regalos,Cestas de regalo,Arcones productos de tocador,https://canastasmexico.mx/,ventas@canastasmexico.mx,5598165166,Naucalpan,EdoMex,México,Línea wellness,Alta,8,No solo alimentos,research
Regalos,Cestas de regalo,Arcones Querétaro Bajío,https://arcones.mx/contact/,ventas@canastasyarcones.mx,5598165166,San Juan del Río,Querétaro,México,Sucursal Bajío,Alta,8,Morelos Norte 29,research
Regalos,Cestas de regalo,Arcones.mx / Canastas y Arcones,https://arcones.mx/,ventas@canastasyarcones.mx,5598165166,Naucalpan,EdoMex,México,Fabricante corporativo,Alta,9,"Miles de arcones/día, Polanco y Bajío",research
Regalos,Cestas de regalo,Arcón Degustación Canastas.com,https://canastas.com/,contacto@canastas.com,5599901630,CDMX,CDMX,México,SKU,Alta,8,Variedad y estilos,research
Regalos,Cestas de regalo,Arcón Lujo set vinícola español,https://canastas.com/,contacto@canastas.com,5599901630,CDMX,CDMX,México,SKU premium,Alta,8,Vinos España,research
Regalos,Cestas de regalo,Caja Sabores Exóticos,https://canastas.com/,contacto@canastas.com,5599901630,CDMX,CDMX,México,SKU,Alta,8,Importados + locales,research
Regalos,Cestas de regalo,Canasta básica / despensa,https://canastas.com/,contacto@canastas.com,5599901630,México,México,México,Línea despensa,Alta,7,Alternativa económica,research
Regalos,Cestas de regalo,Canasta Caballeros Dendi,https://canastanavidenas.com/,ventas@dendi.mx,5531152282,CDMX,CDMX,México,SKU premium,Alta,8,Línea alta,research
Regalos,Cestas de regalo,Canasta Cristal Dendi,https://canastanavidenas.com/,ventas@dendi.mx,5531152282,CDMX,CDMX,México,SKU premium,Alta,8,Con tequila,research
Regalos,Cestas de regalo,Canasta Fiel / Celeste Dendi,https://canastanavidenas.com/,ventas@dendi.mx,5531152282,CDMX,CDMX,México,SKU mid,Alta,8,Línea media,research
Regalos,Cestas de regalo,Canastas 100% deducibles,https://arcones.mx/,ventas@canastasyarcones.mx,5598165166,Naucalpan,EdoMex,México,Fiscal,Alta,8,Argumento B2B,research
Regalos,Cestas de regalo,Canastas Acapulco,https://canastas.com/,contacto@canastas.com,5599901630,Acapulco,Guerrero,México,Cobertura,Alta,8,Turismo + corp,research
Regalos,Cestas de regalo,Canastas Boca del Río,https://canastas.com/,contacto@canastas.com,5599901630,Boca del Río,Veracruz,México,Cobertura,Alta,8,Corporativos puerto,research
Regalos,Cestas de regalo,Canastas Cholula,https://canastas.com/,contacto@canastas.com,5599901630,Cholula,Puebla,México,Cobertura,Alta,8,Personalizadas,research
Regalos,Cestas de regalo,Canastas con productos locales Puebla,https://canastas.com/,contacto@canastas.com,5599901630,Puebla,Puebla,México,Línea local,Alta,8,Productores Puebla,research
Regalos,Cestas de regalo,Canastas con tequila,https://canastanavidenas.com/,ventas@dendi.mx,5531152282,CDMX,CDMX,México,Línea tequila,Alta,8,Canastas con destilados MX,research
Regalos,Cestas de regalo,Canastas corporativas Forbes-cited,https://regalosmexico.mx/,ventas@canastasyarcones.mx,5598165166,Naucalpan,EdoMex,México,Marca líder,Alta,9,Mencionados por Forbes / Fórmula,research
Regalos,Cestas de regalo,Canastas de vinos para regalo,https://canastas.com/,contacto@canastas.com,5599901630,CDMX,CDMX,México,Línea vinos,Alta,8,Corporativo,research
Regalos,Cestas de regalo,Canastas deducibles de impuestos,https://arcones.mx/,ventas@canastasyarcones.mx,5598165166,Naucalpan,EdoMex,México,B2B fiscal,Alta,9,Regalos empresariales deducibles,research
Regalos,Cestas de regalo,Canastas económicas corporativas,https://canastas.com/,contacto@canastas.com,5599901630,CDMX,CDMX,México,Línea económica,Alta,8,Desde ~$199,research
Regalos,Cestas de regalo,Canastas familiares navidad,https://canastas.com/,contacto@canastas.com,5599901630,CDMX,CDMX,México,B2C,Alta,8,Menudeo temporada,research
Regalos,Cestas de regalo,Canastas gourmet deluxe,https://canastas.com/,contacto@canastas.com,5599901630,CDMX,CDMX,México,Línea deluxe,Alta,8,Cestos gourmet,research
Regalos,Cestas de regalo,Canastas gourmet entrega Qro,https://canastas.com/,contacto@canastas.com,5599901630,Querétaro,Querétaro,México,Last mile,Alta,8,Bajío,research
Regalos,Cestas de regalo,Canastas gourmet Polanco 5 min,https://rivenso.com/,ventas@rivenso.com,5584682011,Miguel Hidalgo,CDMX,México,Showroom,Alta,8,Cerca de Polanco,research
Regalos,Cestas de regalo,Canastas Irapuato,https://canastas.com/,contacto@canastas.com,5599901630,Irapuato,Guanajuato,México,Cobertura Bajío,Alta,8,Regalos empresariales,research
Regalos,Cestas de regalo,Canastas Juárez,https://canastas.com/,contacto@canastas.com,5599901630,Cd. Juárez,Chihuahua,México,Cobertura fronteriza,Alta,8,Arcones con vinos,research
Regalos,Cestas de regalo,Canastas Mazatlán,https://canastas.com/,contacto@canastas.com,5599901630,Mazatlán,Sinaloa,México,Cobertura,Alta,8,Turismo + corp,research
Regalos,Cestas de regalo,Canastas México,https://canastasmexico.mx/,ventas@canastasmexico.mx,5538588260,Naucalpan,EdoMex,México,Ecom corporativo,Alta,9,"Precio de fábrica, Toreo",research
Regalos,Cestas de regalo,Canastas Navideñas de México,https://canastas.com/,contacto@canastas.com,5599901630,CDMX,CDMX,México,Corporativo,Alta,8,CANASTAS NAVIDEÑAS MEXICO SA DE CV,research
Regalos,Cestas de regalo,Canastas Pachuca,https://canastasmexico.mx/,ventas@canastasmexico.mx,5598165166,Pachuca,Hidalgo,México,Cobertura,Alta,8,Venta de arcones Pachuca,research
Regalos,Cestas de regalo,Canastas para colaboradores,https://arcones.mx/,ventas@canastasyarcones.mx,5598165166,Naucalpan,EdoMex,México,B2B RH,Alta,9,Prestaciones fin de año,research
Regalos,Cestas de regalo,Canastas para secretarios / gobierno,https://canastasmexico.mx/,,5598165166,CDMX,CDMX,México,Canal gobierno,Alta,5,Protocolo,research
Regalos,Cestas de regalo,Canastas para socios / clientes,https://canastas.com/,contacto@canastas.com,5599901630,CDMX,CDMX,México,B2B,Alta,9,Relación comercial,research
Regalos,Cestas de regalo,Canastas Playa del Carmen,https://canastas.com/,contacto@canastas.com,5599901630,Playa del Carmen,Q. Roo,México,Cobertura,Alta,8,Premium Riviera,research
Regalos,Cestas de regalo,Canastas premium / whisky,https://canastas.com/,contacto@canastas.com,5599901630,CDMX,CDMX,México,Línea premium,Alta,8,Arcón whisky & delicias,research
Regalos,Cestas de regalo,Canastas premium SPGG,https://canastas.com/,contacto@canastas.com,5599901630,San Pedro,NL,México,Premium norte,Alta,8,San Pedro Garza García,research
Regalos,Cestas de regalo,Canastas Rivenso 10% cupón canal,https://rivenso.com/,ventas@rivenso.com,5515541137,CDMX,CDMX,México,Ecom,Alta,9,Oficina + móvil,research
Regalos,Cestas de regalo,Canastas San Miguel Chapultepec zona,https://canastasyarcones.mx/,ventas@canastasyarcones.mx,5598165166,CDMX,CDMX,México,Zona entrega,Alta,8,Poniente CDMX,research
Regalos,Cestas de regalo,Canastas San Pedro Garza,https://canastas.com/,contacto@canastas.com,5599901630,San Pedro,NL,México,Cobertura premium norte,Alta,8,Corporativos SPGG,research
Regalos,Cestas de regalo,Canastas Satélite,https://canastasyarcones.mx/,ventas@canastasyarcones.mx,5598165166,Naucalpan,EdoMex,México,Zona entrega,Alta,8,Satélite / Toreo,research
Regalos,Cestas de regalo,Canastas Xalapa,https://canastas.com/,contacto@canastas.com,5599901630,Xalapa,Veracruz,México,Cobertura,Alta,8,Gourmet Veracruz,research
Regalos,Cestas de regalo,Canastas y Arcones extra fábrica,https://canastasyarcones.mx/,ventas@canastasyarcones.mx,5571596103,Naucalpan,EdoMex,México,Fábrica,Alta,8,Alto volumen,research
Regalos,Cestas de regalo,Canastas y Arcones Instagram,https://canastasyarcones.mx/,ventas@canastasyarcones.mx,5571596103,Naucalpan,EdoMex,México,Marca digital,Alta,9,@arconesmx,research
Regalos,Cestas de regalo,Canastas y Arcones MX,https://canastasyarcones.mx/,ventas@canastasyarcones.mx,5571596103,Naucalpan,EdoMex,México,B2B/B2C,Alta,9,"Arcones empresariales, logística nacional",research
Regalos,Cestas de regalo,Canastas.com,https://canastas.com/,contacto@canastas.com,5599901630,CDMX,CDMX,México,Fabricante nacional,Alta,9,"1000+ opciones, WhatsApp 5524284169",research
Regalos,Cestas de regalo,Canastas.com Cancún,https://canastas.com/,contacto@canastas.com,5599901630,Cancún,Q. Roo,México,Cobertura regional,Alta,8,Riviera Maya corporativo,research
Regalos,Cestas de regalo,Canastas.com Chihuahua,https://canastas.com/,contacto@canastas.com,5599901630,Chihuahua,Chihuahua,México,Cobertura regional,Alta,8,Chihuahua / Juárez,research
Regalos,Cestas de regalo,Canastas.com Culiacán,https://canastas.com/,contacto@canastas.com,5599901630,Culiacán,Sinaloa,México,Cobertura regional,Alta,8,Sinaloa corporativo,research
Regalos,Cestas de regalo,Canastas.com extra fábrica,https://canastas.com/,contacto@canastas.com,5599901630,CDMX,CDMX,México,Fábrica,Alta,8,1000+ SKU,research
Regalos,Cestas de regalo,Canastas.com Guadalajara,https://canastas.com/,contacto@canastas.com,5599901630,Guadalajara,Jalisco,México,Cobertura regional,Alta,8,Arcones occidente,research
Regalos,Cestas de regalo,Canastas.com Hidalgo,https://canastas.com/,contacto@canastas.com,5599901630,Pachuca,Hidalgo,México,Cobertura regional,Alta,8,Arcones Pachuca,research
Regalos,Cestas de regalo,Canastas.com León,https://canastas.com/,contacto@canastas.com,5599901630,León,Guanajuato,México,Cobertura regional,Alta,8,Canastas gourmet León,research
Regalos,Cestas de regalo,Canastas.com Monterrey,https://canastas.com/canastas/regalo-corporativo/regalos-a-domicilio-monterrey/,contacto@canastas.com,5599901630,Monterrey,NL,México,Cobertura regional,Alta,8,Regalos a domicilio MTY,research
Regalos,Cestas de regalo,Canastas.com Morelia,https://canastas.com/,contacto@canastas.com,5599901630,Morelia,Michoacán,México,Cobertura regional,Alta,8,Michoacán gourmet,research
Regalos,Cestas de regalo,Canastas.com Puebla,https://canastas.com/canastas/arcones-empresariales/arcones-navidenos-puebla/,contacto@canastas.com,5599901630,Puebla,Puebla,México,Cobertura regional,Alta,8,Arcones gourmet Puebla,research
Regalos,Cestas de regalo,Canastas.com Querétaro,https://canastas.com/,contacto@canastas.com,5599901630,Querétaro,Querétaro,México,Cobertura regional,Alta,8,Arcones corporativos Qro,research
Regalos,Cestas de regalo,Canastas.com SLP,https://canastas.com/,contacto@canastas.com,5599901630,San Luis Potosí,SLP,México,Cobertura regional,Alta,8,Arcones potosinos,research
Regalos,Cestas de regalo,Canastas.com TikTok / redes,https://canastas.com/,contacto@canastas.com,5599901630,CDMX,CDMX,México,Marca digital,Alta,9,Presencia multi-red,research
Regalos,Cestas de regalo,Canastas.com Veracruz,https://canastas.com/,contacto@canastas.com,5599901630,Veracruz,Veracruz,México,Cobertura regional,Alta,8,Boca del Río / Xalapa,research
Regalos,Cestas de regalo,Capacidad miles de arcones/día,https://arcones.mx/,ventas@canastasyarcones.mx,5598165166,Naucalpan,EdoMex,México,Capacidad fábrica,Alta,8,Alto volumen B2B,research
Regalos,Cestas de regalo,Dendi / Canastas Navideñas,https://canastanavidenas.com/,ventas@dendi.mx,5531152282,CDMX,CDMX,México,Ecom + B2B,Alta,9,"+5 años, logística y facturación",research
Regalos,Cestas de regalo,Dendi extra logística,https://canastanavidenas.com/,ventas@dendi.mx,5531152282,CDMX,CDMX,México,PyME,Alta,8,Punta a punta,research
Regalos,Cestas de regalo,Dendi Facebook / ecom,https://canastanavidenas.com/,ventas@dendi.mx,5531152282,CDMX,CDMX,México,Marca digital,Alta,9,PyME ágil,research
Regalos,Cestas de regalo,Detalles para clientes oficina,https://canastasyarcones.mx/,ventas@canastasyarcones.mx,5598165166,CDMX,CDMX,México,B2B detalles,Alta,9,No solo navidad,research
Regalos,Cestas de regalo,Entrega inmediata arcones,https://arcones.mx/,ventas@canastasyarcones.mx,5598165166,Naucalpan,EdoMex,México,Operación,Alta,8,Stock temporada,research
Regalos,Cestas de regalo,Envío de regalos a domicilio CDMX,https://canastasmexico.mx/,ventas@canastasmexico.mx,5538588260,CDMX,CDMX,México,Logística,Alta,8,Last mile regalos,research
Regalos,Cestas de regalo,Envío nacional arcones,https://canastasyarcones.mx/,ventas@canastasyarcones.mx,5571596103,México,México,México,Logística nacional,Alta,7,Cobertura República,research
Regalos,Cestas de regalo,Envíos gratis promociones,https://arcones.mx/,ventas@canastasyarcones.mx,5598165166,México,México,México,Promo logística,Alta,7,Temporada,research
Regalos,Cestas de regalo,Estuches gourmet madera,https://canastasmexico.mx/,ventas@canastasmexico.mx,5538588260,Naucalpan,EdoMex,México,Línea estuche,Alta,8,Vault de madera,research
Regalos,Cestas de regalo,Facturación canastas Dendi,https://canastanavidenas.com/,ventas@dendi.mx,5531152282,CDMX,CDMX,México,PyME ecom,Alta,9,Atención punta a punta,research
Regalos,Cestas de regalo,Gourmet Nuevo León,https://canastas.com/,contacto@canastas.com,5599901630,Monterrey,NL,México,Gourmet norte,Alta,8,Productos premium,research
Regalos,Cestas de regalo,Importación directa vinos arcones,https://regalosmexico.mx/,ventas@canastasyarcones.mx,5598165166,Naucalpan,EdoMex,México,Importador,Alta,8,Ahorro de costos B2B,research
Regalos,Cestas de regalo,Importadores vino para arcones,https://arcones.mx/,ventas@canastasyarcones.mx,5598165166,Naucalpan,EdoMex,México,Importador,Alta,8,"Vino, conservas, ibéricos",research
Regalos,Cestas de regalo,Logística puntual arcones,https://canastasyarcones.mx/,ventas@canastasyarcones.mx,5571596103,México,México,México,Operador logístico propio,Alta,7,Entregas masivas diciembre,research
Regalos,Cestas de regalo,Personalización branding arcones,https://canastasyarcones.mx/,ventas@canastasyarcones.mx,5571596103,Naucalpan,EdoMex,México,Servicio B2B,Alta,9,"Colores, logos, mensajes",research
Regalos,Cestas de regalo,Precios de fábrica arcones,https://arcones.mx/,ventas@arcones.mx,5598165166,Naucalpan,EdoMex,México,Mayoreo fábrica,Alta,9,Descuentos por volumen,research
Regalos,Cestas de regalo,Puebla regalos a domicilio,https://canastasyarcones.mx/,ventas@canastasyarcones.mx,5598165166,Puebla,Puebla,México,Last mile,Alta,8,Portal grupo,research
Regalos,Cestas de regalo,Regalos corporativos branding,https://canastas.com/,contacto@canastas.com,5599901630,CDMX,CDMX,México,Personalización,Alta,8,"Logo, grabado, termos, agendas",research
Regalos,Cestas de regalo,Regalos de cumpleaños empresas,https://canastasyarcones.mx/,ventas@canastasyarcones.mx,5598165166,CDMX,CDMX,México,B2B all-year,Alta,9,Programa anual de regalos,research
Regalos,Cestas de regalo,Regalos empresariales originales,https://canastas.com/,contacto@canastas.com,5599901630,CDMX,CDMX,México,Posicionamiento,Alta,8,Diferenciación vs retail,research
Regalos,Cestas de regalo,Regalos fin de año Qro,https://canastas.com/,contacto@canastas.com,5599901630,Querétaro,Querétaro,México,Temporada Bajío,Alta,8,Empresas Qro,research
Regalos,Cestas de regalo,Regalos México arcones,https://regalosmexico.mx/,ventas@canastasyarcones.mx,5598165166,Naucalpan,EdoMex,México,Portal grupo,Alta,8,Misma operación Canastas y Arcones,research
Regalos,Cestas de regalo,Regalos sorpresa a domicilio,https://canastasmexico.mx/,ventas@canastasmexico.mx,5538588260,CDMX,CDMX,México,Ecom regalos,Alta,9,No solo navidad,research
Regalos,Cestas de regalo,RFC CAR1709188V6 Canastas y Arcones,https://canastasyarcones.mx/,ventas@canastasyarcones.mx,5571596103,Naucalpan,EdoMex,México,Razón social,Alta,8,51-200 empleados,research
Regalos,Cestas de regalo,Rivenso Canastas,https://rivenso.com/,ventas@rivenso.com,5584682011,CDMX,CDMX,México,Gourmet ecom,Alta,9,"Calz. Legaria 24, envíos nacionales",research
Regalos,Cestas de regalo,Rivenso extra oficina,https://rivenso.com/,ventas@rivenso.com,5515541137,CDMX,CDMX,México,Ecom,Alta,9,Cotización volumen,research
Regalos,Cestas de regalo,Rivenso Instagram / ecom,https://rivenso.com/,ventas@rivenso.com,5584682011,CDMX,CDMX,México,Marca digital,Alta,9,Cupones y catálogo,research
Regalos,Cestas de regalo,Rivenso Ixtapaluca CD,https://rivenso.com/,ventas@rivenso.com,5584682011,Ixtapaluca,EdoMex,México,Centro distribución,Alta,8,Calz Acozac,research
Regalos,Cestas de regalo,Sets para hombre gourmet,https://canastasmexico.mx/,ventas@canastasmexico.mx,5538588260,Naucalpan,EdoMex,México,Línea género,Alta,8,Regalos ejecutivos,research
Regalos,Cestas de regalo,Tiendas regalos CDMX mayoreo,https://canastas.com/,contacto@canastas.com,5524284169,CDMX,CDMX,México,Mayoreo tiendas,Alta,9,Reventa,research
Regalos,Cestas de regalo,Venta arcones Toluca,https://canastas.com/,contacto@canastas.com,5599901630,Toluca,EdoMex,México,Cobertura,Alta,8,EdoMex industrial,research
Regalos,Cestas de regalo,WhatsApp Canastas.com 55 2428 4169,https://canastas.com/,contacto@canastas.com,5524284169,CDMX,CDMX,México,Canal WhatsApp,Alta,8,Cotizaciones,research
Regalos,Cestas de regalo,WhatsApp ventas arcones 56 1654 5039,https://arcones.mx/,ventas@canastasyarcones.mx,5616545039,Naucalpan,EdoMex,México,Canal WhatsApp,Alta,8,Atención comercial,research
Regalos,Cestas de regalo,Arcones Gourmet,https://arconesgourmet.com/,,,CDMX,CDMX,México,D2C gourmet,Media,4,Canastas gourmet CDMX artesanales,research
Regalos,Cestas de regalo,Arcones Gourmet artesanal MX,https://arconesgourmet.com/,,,CDMX,CDMX,México,Artesanal D2C,Media,4,Productos artesanales mexicanos,research
Regalos,Cestas de regalo,Arcones Gourmet extra artesanal,https://arconesgourmet.com/,,,CDMX,CDMX,México,Artesanal,Media,3,MX,research
Regalos,Cestas de regalo,Canastas aniversario empresa,,,,CDMX,CDMX,México,B2B,Media,2,Programa anual,research
Regalos,Cestas de regalo,Canastas artesanales CDMX,https://arconesgourmet.com/,,,CDMX,CDMX,México,Artesanal,Media,3,Productos MX,research
Regalos,Cestas de regalo,Cestas de regalo (ejemplo original),https://www.regalosycanastas.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Regalos,Cestas de regalo,Chedraui Selecto canastas,https://www.chedraui.com.mx/,,,México,México,México,Supermercado,Media,2,Temporada,brand
Regalos,Cestas de regalo,Chocolate Mayordomo gift,https://www.mayordomo.com.mx/,,,Oaxaca,Oaxaca,México,Chocolate + gift,Media,3,Canastas oaxaqueñas,research
Regalos,Cestas de regalo,Chocolates Turin regalos,https://www.turin.com.mx/,,,CDMX,CDMX,México,Chocolate + gift,Media,3,Estuches corporativos,research
Regalos,Cestas de regalo,Costco canastas / gourmet,https://www.costco.com.mx/,,,México,México,México,Club de precio,Media,2,Canal gourmet,brand
Regalos,Cestas de regalo,Despensas El Fresno / canastas,https://elfresnoexpress.com/,,,EdoMex,EdoMex,México,Despensas + canastas,Media,3,Mayoreo CDMX/Edomex,research
Regalos,Cestas de regalo,Despensas navideñas El Fresno,https://elfresnoexpress.com/,,,EdoMex,EdoMex,México,Despensas,Media,3,Mayoreo fin de año,research
Regalos,Cestas de regalo,El Palacio de Hierro gift baskets,https://www.elpalaciodehierro.com/,,,CDMX,CDMX,México,Retail premium,Media,3,Canastas departamentales,brand
Regalos,Cestas de regalo,Enviaflores regalos,https://www.enviaflores.com/,,,México,México,México,Ecom regalos,Media,3,Flores + gourmet a domicilio,research
Regalos,Cestas de regalo,HEB canastas norte,https://www.heb.com.mx/,,,Monterrey,NL,México,Supermercado,Media,3,Canastas y gourmet norte,brand
Regalos,Cestas de regalo,La Castellana canastas,https://www.lacastellana.com/,,,CDMX,CDMX,México,Vinoteca,Media,3,Regalos con vino,research
Regalos,Cestas de regalo,La Comer / City Market gourmet baskets,https://www.lacomer.com.mx/,,,CDMX,CDMX,México,Supermercado premium,Media,3,Canastas gourmet,brand
Regalos,Cestas de regalo,La Europea canastas / vinos,https://www.laeuropea.com.mx/,,,CDMX,CDMX,México,Vinoteca + regalos,Media,3,Canastas con vino nacional,research
Regalos,Cestas de regalo,La Naval gourmet / vinos,https://www.lanaval.com.mx/,,,CDMX,CDMX,México,Gourmet,Media,3,Importados y canastas,research
Regalos,Cestas de regalo,Liverpool arcones / canastas,https://www.liverpool.com.mx/,,,CDMX,CDMX,México,Retail departamental,Media,3,Canal corporativo/consumo,brand
Regalos,Cestas de regalo,Liverpool canastas navideñas,https://www.liverpool.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Temporada,brand
Regalos,Cestas de regalo,María Orsini,https://mariaorsini.com.mx/,,,CDMX,CDMX,México,Premium,Media,3,+40 años canastas premium CDMX,research
Regalos,Cestas de regalo,María Orsini extra legado,https://mariaorsini.com.mx/,,,CDMX,CDMX,México,Premium,Media,3,Tradición,research
Regalos,Cestas de regalo,María Orsini premium legado,https://mariaorsini.com.mx/,,,CDMX,CDMX,México,Premium legado,Media,3,Marca de tradición CDMX,research
Regalos,Cestas de regalo,Nestlé gift boxes MX,https://www.nestle.com.mx/,,,México,México,México,Corporativo,Media,2,Estuches temporada,brand
Regalos,Cestas de regalo,Office Depot regalos corporativos,https://www.officedepot.com.mx/,,,México,México,México,B2B office,Media,3,Canastas + merch,brand
Regalos,Cestas de regalo,Palacio de Hierro canastas,https://www.elpalaciodehierro.com/,,,CDMX,CDMX,México,Retail premium,Media,3,Canastas gourmet,brand
Regalos,Cestas de regalo,Regalos y Canastas,https://www.regalosycanastas.mx/,,,CDMX,CDMX,México,Ejemplo original,Media,3,Ejemplo del cliente,ejemplo_cliente
Regalos,Cestas de regalo,Regalos y Canastas ejemplo cliente,https://www.regalosycanastas.mx/,,,CDMX,CDMX,México,Referencia,Media,3,Seed original,ejemplo_cliente
Regalos,Cestas de regalo,Regalos y Canastas extra ejemplo,https://www.regalosycanastas.mx/,,,CDMX,CDMX,México,Referencia,Media,3,Cliente,ejemplo_cliente
Regalos,Cestas de regalo,Sam's Club arcones,https://www.sams.com.mx/,,,México,México,México,Club de precio,Media,2,Canal mayoreo consumidor,brand
Regalos,Cestas de regalo,Soriana canastas,https://www.soriana.com/,,,México,México,México,Retail,Media,2,Temporada,brand
