giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Blancos,"Almohadas, cobijas",90 años Perla extra,https://lanuevaperla.com/,,3336145388,Guadalajara,Jalisco,México,Tradición,Alta,5,Textil GDL,research
Blancos,"Almohadas, cobijas",Airbnb paquetes Casa Linda extra,https://blancoscasalinda.com.mx/,,(55) 5395-2526,CDMX,CDMX,México,Paquete host,Alta,5,Sobre pedido,research
Blancos,"Almohadas, cobijas",Airbnb starter kits blancos,https://blancoscasalinda.com.mx/,,5524418163,CDMX,CDMX,México,Canal Airbnb,Alta,5,Paquetes host,research
Blancos,"Almohadas, cobijas",Almohadas cooling gel MX,https://luuna.mx/,hola@luuna.mx,,CDMX,CDMX,México,Línea cooling,Alta,6,Luuna / Emma,research
Blancos,"Almohadas, cobijas",Batas de baño mayoreo,https://www.blancosmexicanos.com/,blancosmexico@hotmail.com,5555221017,CDMX,CDMX,México,Línea batas,Alta,8,Hotel y spa,research
Blancos,"Almohadas, cobijas",Blancolor,https://blancolor.com.mx/,info@blancolor.com.mx,(33) 3827-1170,Tlajomulco,Jalisco,México,Fabricante hotelero,Alta,9,"48 años blancos hoteleros, Niños Héroes 603",research
Blancos,"Almohadas, cobijas",Blancolor fábrica Tlajomulco extra,https://blancolor.com.mx/,info@blancolor.com.mx,(33) 3827-1170,Tlajomulco,Jalisco,México,Fábrica,Alta,8,6 líneas tel,research
Blancos,"Almohadas, cobijas",Blancos Casa Linda,https://blancoscasalinda.com.mx/,,(55) 5395-2526,CDMX,CDMX,México,Mayoreo hotel/Airbnb,Alta,6,Presa Tepuxtepec 32-201 Lomas de Sotelo,research
Blancos,"Almohadas, cobijas",Blancos Casa Linda WhatsApp,https://blancoscasalinda.com.mx/,,5591883332,CDMX,CDMX,México,Canal WA,Alta,5,Mayoreo,research
Blancos,"Almohadas, cobijas",Blancos Mexicanos,https://www.blancosmexicanos.com/,blancosmexico@hotmail.com,5555221017,CDMX,CDMX,México,Fabricante mayoreo,Alta,9,"+40 años, hotel/hospital — Poniente 122 #473 Vallejo",research
Blancos,"Almohadas, cobijas",Blancos Mexicanos WhatsApp,https://www.blancosmexicanos.com/,blancosmexico@hotmail.com,5513583528,CDMX,CDMX,México,Canal WA,Alta,8,Cotización mismo día,research
Blancos,"Almohadas, cobijas",Blancos para moteles mayoreo,https://www.blancosmexicanos.com/,,5555227902,CDMX,CDMX,México,Canal motel,Alta,5,Alta rotación,research
Blancos,"Almohadas, cobijas",Bordado y estampado blancos,https://www.blancosmexicanos.com/,blancosmexico@hotmail.com,5555424420,CDMX,CDMX,México,Personalización,Alta,8,Logo hotel/hospital,research
Blancos,"Almohadas, cobijas",Camas y bases Luuna,https://luuna.mx/,hola@luuna.mx,,CDMX,CDMX,México,Complemento,Alta,6,Sistema descanso,research
Blancos,"Almohadas, cobijas",Catálogo colchas Casa Linda,https://blancoscasalinda.com.mx/,,5524418163,CDMX,CDMX,México,Catálogo,Alta,5,Colchas,research
Blancos,"Almohadas, cobijas",Cobertores polar mayoreo gobierno,https://www.blancosmexicanos.com/cobertores,blancosmexico@hotmail.com,5553583528,CDMX,CDMX,México,Mayoreo institucional,Alta,9,Donación y dependencias,research
Blancos,"Almohadas, cobijas",Cobijas donación institucional,https://lanuevaperla.com/venta-de-cobijas-en-chiapas/,,3331263789,Guadalajara,Jalisco,México,Institucional,Alta,5,"Fibras regeneradas, envíos MX",research
Blancos,"Almohadas, cobijas",Colchas y Blancos Del Valle,https://colchasdelvalle.wixsite.com/colchasdelvalle,,5574217685,Nezahualcóyotl,EdoMex,México,Retail regional,Alta,5,"Vianney / Concord, Mexibús L3",research
Blancos,"Almohadas, cobijas",Edredones mayoreo GDL,https://blancolor.com.mx/,info@blancolor.com.mx,(33) 3827-1170,Jalisco,Jalisco,México,Línea edredón,Alta,8,Hotelería occidente,research
Blancos,"Almohadas, cobijas",Entrega inmediata blancos CDMX,https://www.blancosmexicanos.com/,,5555221017,CDMX,CDMX,México,Operación,Alta,5,Pedido urgente,research
Blancos,"Almohadas, cobijas",Envíos nacionales blancos,https://blancoscasalinda.com.mx/,,(55) 6395-2276,CDMX,CDMX,México,Logística,Alta,5,Toda la República,research
Blancos,"Almohadas, cobijas",Fabricamos a la medida blancos,https://www.blancosmexicanos.com/,,5555227902,CDMX,CDMX,México,Custom,Alta,5,Hotel specs,research
Blancos,"Almohadas, cobijas",Fibras regeneradas cobijas,https://lanuevaperla.com/,,3331263789,Guadalajara,Jalisco,México,Sustentable,Alta,5,Algodón/poliéster/lana,research
Blancos,"Almohadas, cobijas",Frazadas institucionales,https://www.blancosmexicanos.com/,,5555227902,CDMX,CDMX,México,Institucional,Alta,5,Gobierno y albergues,research
Blancos,"Almohadas, cobijas",Gobierno / protección civil cobijas,https://www.blancosmexicanos.com/,,5555221017,CDMX,CDMX,México,Licitación,Alta,5,Emergencias,research
Blancos,"Almohadas, cobijas",Gobierno y empresas Casa Linda,https://blancoscasalinda.com.mx/,,(55) 5395-5362,CDMX,CDMX,México,B2G/B2B,Alta,6,Institucional,research
Blancos,"Almohadas, cobijas",Hotelería 48 años Blancolor extra,https://blancolor.com.mx/,info@blancolor.com.mx,(33) 3827-1170,Jalisco,Jalisco,México,Especialista hotel,Alta,8,Alta durabilidad,research
Blancos,"Almohadas, cobijas",La Nueva Perla,https://lanuevaperla.com/,,3336145388,Guadalajara,Jalisco,México,Fábrica textil,Alta,5,"+80 años cobijas, mantelería, blancos hospital",research
Blancos,"Almohadas, cobijas",La Nueva Perla WhatsApp,https://lanuevaperla.com/,,3338015019,Guadalajara,Jalisco,México,Canal WA,Alta,5,Mayoreo,research
Blancos,"Almohadas, cobijas",Lomas de Sotelo showroom,https://blancoscasalinda.com.mx/,,(55) 5395-2526,Miguel Hidalgo,CDMX,México,Showroom,Alta,5,Sotelo,research
Blancos,"Almohadas, cobijas",Luuna,https://luuna.mx/,hola@luuna.mx,,CDMX,CDMX,México,Marca D2C,Alta,7,"Colchones y almohadas, Reforma 296",research
Blancos,"Almohadas, cobijas",Luuna almohadas línea,https://luuna.mx/,hola@luuna.mx,,CDMX,CDMX,México,Línea almohada,Alta,6,Cooling,research
Blancos,"Almohadas, cobijas",Luuna Original Cooling extra,https://luuna.mx/,hola@luuna.mx,,CDMX,CDMX,México,D2C,Alta,7,Mejor calificado MX,research
Blancos,"Almohadas, cobijas",Mantelería eventos La Nueva Perla,https://lanuevaperla.com/,,3336138245,Guadalajara,Jalisco,México,Eventos,Alta,5,Manteles y servilletas,research
Blancos,"Almohadas, cobijas",Manteles restaurante mayoreo,https://lanuevaperla.com/,,3336138245,Guadalajara,Jalisco,México,Horeca,Alta,5,Eventos y rest,research
Blancos,"Almohadas, cobijas",Mejoramos precio blancos,https://www.blancosmexicanos.com/,,5555221017,CDMX,CDMX,México,Mayoreo precio,Alta,6,Cotiza,research
Blancos,"Almohadas, cobijas",Pijamas y batas Vianney,https://vianney.com.mx/,ventas.institucionales@vianney.mx,,México,México,México,Línea pijama,Alta,5,Retail,brand
Blancos,"Almohadas, cobijas",Reforma 296 Luuna HQ,https://luuna.mx/,hola@luuna.mx,,CDMX,CDMX,México,HQ,Alta,6,Piso 31 Juárez,research
Blancos,"Almohadas, cobijas",Ropa hospitalaria La Nueva Perla,https://lanuevaperla.com/,,3331519445,Guadalajara,Jalisco,México,Hospital,Alta,5,Campos quirúrgicos y sábanas,research
Blancos,"Almohadas, cobijas",Santa Anita planta Blancolor extra,https://blancolor.com.mx/,info@blancolor.com.mx,(33) 3827-1170,Tlajomulco,Jalisco,México,Planta,Alta,8,Col. Santa Anita,research
Blancos,"Almohadas, cobijas",Sofás y puffs Luuna adyacente,https://luuna.mx/,hola@luuna.mx,,CDMX,CDMX,México,Adyacente hogar,Alta,6,Mismo D2C,research
Blancos,"Almohadas, cobijas",Sábanas hotel mayoreo,https://blancoscasalinda.com.mx/,,5591883332,CDMX,CDMX,México,Línea sábanas,Alta,5,Airbnb y boutique,research
Blancos,"Almohadas, cobijas",Sábanas quirúrgicas / campos,https://lanuevaperla.com/,,3331519445,Guadalajara,Jalisco,México,Médico,Alta,5,Hospital,research
Blancos,"Almohadas, cobijas",Tapetes de baño mayoreo,https://blancoscasalinda.com.mx/,,(55) 5395-5362,CDMX,CDMX,México,Línea baño,Alta,5,Hotel,research
Blancos,"Almohadas, cobijas",Telas crudas / mantas teñidas,https://lanuevaperla.com/,,3336138245,Guadalajara,Jalisco,México,Insumo textil,Alta,5,Confección,research
Blancos,"Almohadas, cobijas",Tienda física Perla GDL,https://lanuevaperla.com/,,3336145388,Guadalajara,Jalisco,México,Showroom,Alta,5,Mayoreo presencial,research
Blancos,"Almohadas, cobijas",Toallas hotel mayoreo CDMX,https://www.blancosmexicanos.com/,blancosmexico@hotmail.com,5555227902,CDMX,CDMX,México,Línea toallas,Alta,8,"Hotel, spa, gym",research
Blancos,"Almohadas, cobijas",Vallejo fábrica Blancos MX extra,https://www.blancosmexicanos.com/,blancosmexico@hotmail.com,5555221017,CDMX,CDMX,México,Planta,Alta,8,CP 02300,research
Blancos,"Almohadas, cobijas",Ventas Luuna 8am-11pm,https://luuna.mx/,hola@luuna.mx,,CDMX,CDMX,México,Canal ventas,Alta,6,Todos los días,research
Blancos,"Almohadas, cobijas",Vianney,https://vianney.com.mx/,ventas.institucionales@vianney.mx,,México,México,México,Marca nacional,Alta,6,"Edredones, sábanas, almohadas, toallas",brand
Blancos,"Almohadas, cobijas",Vianney institucional empresas,https://vianney.com.mx/,ventas.institucionales@vianney.mx,,México,México,México,B2B,Alta,6,Ventas empresas,brand
Blancos,"Almohadas, cobijas",Accesorios de baño textiles,https://vianney.com.mx/,,,México,México,México,Baño,Media,2,Retail,brand
Blancos,"Almohadas, cobijas",Almohadas memory foam mayoreo,,,,CDMX,CDMX,México,Mayoreo,Media,2,D2C y hotel,research
Blancos,"Almohadas, cobijas","Almohadas, cobijas (ejemplo original)",https://mintandlime.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Blancos,"Almohadas, cobijas",Amazon MX blancos sellers,https://www.amazon.com.mx/s?k=almohadas,,,México,México,México,Marketplace,Media,2,Sellers MX,research
Blancos,"Almohadas, cobijas",Ancho 3 metros estampado,https://www.kaltex.com.mx/,,,Querétaro,Querétaro,México,Capacidad,Media,3,Rotativo 20 colores,research
Blancos,"Almohadas, cobijas",Blancos Azteca,https://listado.mercadolibre.com.mx/almohadas_Store_blancos-azteca,,,México,México,México,Marca D2C,Media,3,Almohadas muy vendidas MX,research
