giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Ropa,Trajes tipicos,Calzado Manzano (trajes típicos),https://calzadomanzano.com/,hola@calzadomanzano.com,7221016661,San Mateo Atenco,EdoMex,México,Calzado adyacente,Alta,8,Pareja del traje,research
Ropa,Trajes tipicos,Confección a la medida charro CDMX,https://fabricadetrajesdecharrogabrieles.com/,ventas@fabricadetrajesdecharrogabrieles.com,(55) 2631-6476,CDMX,CDMX,México,Taller,Alta,8,Azcapotzalco,research
Ropa,Trajes tipicos,Confección a la medida El Charro,https://www.elcharro1.com/,sales@elcharro1.com,,Guadalajara,Jalisco,México,Taller,Alta,6,Mayoreo US/MX,research
Ropa,Trajes tipicos,Disfrazia trajes regionales,https://www.disfrazia.com.mx/,,5555262563,CDMX,CDMX,México,Tienda,Alta,5,Disfraces y típicos,research
Ropa,Trajes tipicos,El Charro,https://www.elcharro1.com/,sales@elcharro1.com,9155347956,Guadalajara,Jalisco,México,Fabricante,Alta,9,"Desde 1961 mariachi, folklórico, tiendas GDL/CDMX/El Paso",research
Ropa,Trajes tipicos,El Charro sucursal CDMX,https://www.elcharro1.com/,sales@elcharro1.com,,CDMX,CDMX,México,Sucursal,Alta,6,Retail,research
Ropa,Trajes tipicos,El Famundi trajes regionales,https://www.elfamundi.com.mx/,,5555525294,CDMX,CDMX,México,Fabricante,Alta,6,Regionales y fantasía,research
Ropa,Trajes tipicos,Fábrica Los Gabrieles,https://fabricadetrajesdecharrogabrieles.com/,ventas@fabricadetrajesdecharrogabrieles.com,(55) 6794-1664,CDMX,CDMX,México,Fabricante charro,Alta,9,"+45 años, Calle 5 #235 Azcapotzalco",research
Ropa,Trajes tipicos,Isa y Alex Mayoreo Artesanal,https://trajesartesanales.com/,,9711164783,Juchitán,Oaxaca,México,Mayoreo istmeño,Alta,6,"Huipiles, enaguas, tehuana, envíos MX",research
Ropa,Trajes tipicos,Los Gabrieles sucursal León,https://fabricadetrajesdecharrogabrieles.com/,ventas@fabricadetrajesdecharrogabrieles.com,(55) 3701-5964,León,Guanajuato,México,Sucursal,Alta,8,"Plaza La Esperanza, Justo Sierra 224",research
Ropa,Trajes tipicos,Renta charro León,https://fabricadetrajesdecharrogabrieles.com/,,(55) 3701-5964,León,Guanajuato,México,Renta/venta,Alta,5,Sucursal Gabrieles,research
Ropa,Trajes tipicos,Trajes jarabe tapatío,https://www.elcharro1.com/,sales@elcharro1.com,,Guadalajara,Jalisco,México,Folklórico,Alta,6,El Charro línea,research
Ropa,Trajes tipicos,Zapatos folklóricos Manzano canal traje,https://calzadomanzano.com/,hola@calzadomanzano.com,7221016661,San Mateo Atenco,EdoMex,México,Calzado adyacente,Alta,8,Pareja del traje,research
Ropa,Trajes tipicos,Amazon MX typical dresses,https://www.amazon.com.mx/s?k=traje+tipico,,,México,México,México,Marketplace,Media,2,Sellers,research
Ropa,Trajes tipicos,Charrería y Vestidos Reyes,,,5511353982,CDMX,CDMX,México,Lagunilla,Media,3,Trajes de charro y regionales,research
Ropa,Trajes tipicos,Charros and Cowboys Toluca,,,7223579599,Toluca,EdoMex,México,Mayoreo/menudeo,Media,4,Ignacio López Rayón 200 Centro + Villa Charra,research
Ropa,Trajes tipicos,Distribuidora Zucami CDMX,,,5534516463,CDMX,CDMX,México,Mayoreo artesanías,Media,4,República del Salvador 96 2o piso Centro,research
Ropa,Trajes tipicos,Dos Malinches,https://dosmalinches.com/,,,México,México,México,Ejemplo original,Media,2,"Ejemplo del cliente — ropa étnica, huipiles y vestidos",ejemplo_cliente
Ropa,Trajes tipicos,FONART tiendas,https://www.gob.mx/fonart,,,CDMX,CDMX,México,Institucional,Media,3,Artesanías oficiales,brand
Ropa,Trajes tipicos,Huipiles Oaxaca mayoreo,,,,Oaxaca,Oaxaca,México,Mayoreo,Media,2,Bordado a mano,research
Ropa,Trajes tipicos,JBO Lino,https://www.jbolino.com/,,,Mérida,Yucatán,México,Guayaberas,Media,3,"Bazar García Rejón, lino ~1000 MXN",research
Ropa,Trajes tipicos,Liverpool ropa típica / fiestas,https://www.liverpool.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Temporada,brand
Ropa,Trajes tipicos,Mayakim,https://www.mayakim.com.mx/,,,Mérida,Yucatán,México,Marca yucateca,Media,4,"Guayaberas y vestidos, Calle 40 #506 Los Pinos",research
Ropa,Trajes tipicos,ML vestidos típicos sellers,https://listado.mercadolibre.com.mx/traje-tipico-mexicano,,,México,México,México,Marketplace,Media,2,Tiendas oficiales,research
Ropa,Trajes tipicos,Palacio artesanías / textil,https://www.elpalaciodehierro.com/,,,CDMX,CDMX,México,Retail premium,Media,3,Diseño,brand
Ropa,Trajes tipicos,Renta charro Toluca,,,7221603175,Toluca,EdoMex,México,Renta,Media,3,Boutique charro,research
Ropa,Trajes tipicos,Renta trajes regionales CDMX,,,2283062367,CDMX,CDMX,México,Renta,Media,3,Eventos escolares,research
Ropa,Trajes tipicos,Trajes tipicos (ejemplo original),https://dosmalinches.com/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Ropa,Trajes tipicos,Abanicos y mandiles típicos,,,,México,México,México,Accesorio,Baja,0,Veracruz / Jalisco,research
Ropa,Trajes tipicos,Agujas de oro / filigrana textil,,,,Oaxaca,Oaxaca,México,Artesanal premium,Baja,1,Novia istmeña,research
Ropa,Trajes tipicos,Blusas campesinas mayoreo,,,,CDMX,CDMX,México,Prenda,Baja,1,Folklor,research
Ropa,Trajes tipicos,Bordadoras Chiapas cooperativas,,,,San Cristóbal,Chiapas,México,Cooperativa,Baja,1,Broches y huipil,research
Ropa,Trajes tipicos,Bordadoras Guerrero Costa Chica,,,,Ometepec,Guerrero,México,Cooperativa,Baja,1,Textil afromexicano,research
Ropa,Trajes tipicos,Bordadoras Oaxaca cooperativas,,,,Oaxaca,Oaxaca,México,Cooperativa,Baja,1,Huipil,research
Ropa,Trajes tipicos,Bordadoras Tenango Hidalgo,,,,Tenango de Doria,Hidalgo,México,Artesanal,Baja,1,Tenangos,research
Ropa,Trajes tipicos,Bordadoras Yucatán cooperativas,,,,Mérida,Yucatán,México,Cooperativa,Baja,1,Hipil,research
Ropa,Trajes tipicos,Botonadura y herrajes charro,,,,León,Guanajuato,México,Insumos,Baja,1,Piel y metal,research
Ropa,Trajes tipicos,Boutique típicos Coyoacán,,,,CDMX,CDMX,México,Boutique,Baja,1,Artesanal,research
Ropa,Trajes tipicos,Boutique típicos Polanco,,,,CDMX,CDMX,México,Boutique,Baja,1,Premium,research
Ropa,Trajes tipicos,Boutique típicos Roma / Condesa,,,,CDMX,CDMX,México,Boutique,Baja,1,Diseño contemporáneo,research
Ropa,Trajes tipicos,Casa de las Artesanías Jalisco,,,,Guadalajara,Jalisco,México,Institucional,Baja,1,Charro y huichol,research
Ropa,Trajes tipicos,Casa de las Artesanías Michoacán,,,,Morelia,Michoacán,México,Institucional,Baja,1,Textiles,research
Ropa,Trajes tipicos,Cintos piteados mayoreo,,,,Colotlán,Jalisco,México,Accesorio,Baja,1,Piteado tradicional,research
Ropa,Trajes tipicos,Delantales folklóricos mayoreo,,,,México,México,México,Prenda,Baja,0,Estados varios,research
Ropa,Trajes tipicos,Enaguas de listón mayoreo,,,,CDMX,CDMX,México,Prenda,Baja,1,Folklor,research
Ropa,Trajes tipicos,G. Candila,,,,Mérida,Yucatán,México,Tienda,Baja,1,Guayaberas temporada,research
Ropa,Trajes tipicos,Guayaberas Izamal,,,,Izamal,Yucatán,México,Cluster pueblo,Baja,1,Varias tiendas,research
Ropa,Trajes tipicos,Hipiles mayas Quintana Roo,,,,Cancún,Q. Roo,México,Artesanal,Baja,1,Turismo + local,research
Ropa,Trajes tipicos,Huaraches danza folklórica,,,,México,México,México,Calzado adyacente,Baja,0,Complemento traje,research
Ropa,Trajes tipicos,Huipiles Tehuacán / Sierra,,,,Tehuacán,Puebla,México,Artesanal,Baja,1,Región,research
Ropa,Trajes tipicos,IEPA / artesanías Yucatán,,,,Mérida,Yucatán,México,Institucional,Baja,1,Hipil y hamaca,research
Ropa,Trajes tipicos,Insumos listón y encaje folklor,,,,CDMX,CDMX,México,Insumos,Baja,1,Mercería danza,research
Ropa,Trajes tipicos,La Ciudadela artesanías CDMX,,,,CDMX,CDMX,México,Mercado artesanal,Baja,1,Textiles y trajes,research
Ropa,Trajes tipicos,La Joyita Portal de Granos,,,,Mérida,Yucatán,México,Tienda centro,Baja,1,Bordados y guayaberas,research
Ropa,Trajes tipicos,Moños y corbatas de charro,,,,CDMX,CDMX,México,Accesorio,Baja,1,Lagunilla / Centro,research
Ropa,Trajes tipicos,Peinetas y accesorios peinado,,,,CDMX,CDMX,México,Accesorio,Baja,1,Folklor / china poblana,research
Ropa,Trajes tipicos,Presuel guayaberas,,,,Mérida,Yucatán,México,Tienda,Baja,1,Precios locales,research
Ropa,Trajes tipicos,Productos Regionales CT Tabasco,,,,Villahermosa,Tabasco,México,Tienda,Baja,1,Plaza Campestre / Galerías,research
Ropa,Trajes tipicos,Rebozos Santa María del Río,,,,Santa María del Río,SLP,México,Textil,Baja,1,Seda y algodón,research
Ropa,Trajes tipicos,Rebozos Tenancingo,,,,Tenancingo,EdoMex,México,Textil,Baja,1,Rebozo tradicional,research
Ropa,Trajes tipicos,Renta charro GDL,,,,Guadalajara,Jalisco,México,Renta,Baja,1,Eventos y XV,research
Ropa,Trajes tipicos,Renta trajes regionales Apatzingán,,,,Apatzingán,Michoacán,México,Renta,Baja,1,Eventos escolares y cívicos,research
Ropa,Trajes tipicos,Renta trajes regionales Huatulco,,,,Huatulco,Oaxaca,México,Renta,Baja,1,Eventos escolares y cívicos,research
Ropa,Trajes tipicos,Renta trajes regionales Iguala,,,,Iguala,Guerrero,México,Renta,Baja,1,Eventos escolares y cívicos,research
Ropa,Trajes tipicos,Renta trajes regionales Palenque,,,,Palenque,Chiapas,México,Renta,Baja,1,Eventos escolares y cívicos,research
Ropa,Trajes tipicos,Renta trajes regionales Puerto Escondido,,,,Puerto Escondido,Oaxaca,México,Renta,Baja,1,Eventos escolares y cívicos,research
Ropa,Trajes tipicos,Renta trajes regionales Salina Cruz,,,,Salina Cruz,Oaxaca,México,Renta,Baja,1,Eventos escolares y cívicos,research
Ropa,Trajes tipicos,Renta trajes regionales Taxco,,,,Taxco,Guerrero,México,Renta,Baja,1,Eventos escolares y cívicos,research
