giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Zapatos,Zapatos para danza,Allegro Dance Store,https://allegro.mx/,,(222) 169-7869,Puebla,Puebla,México,Retail danza,Alta,5,Circuito Juan Pablo II 3111 Las Ánimas,research
Zapatos,Zapatos para danza,Andanzza,https://andanzza.com.mx/,,(55) 6155-8577,CDMX,CDMX,México,Tienda ballet,Alta,5,Interlomas (55) 5580-5898,research
Zapatos,Zapatos para danza,Bluëin Shoes,https://www.blueinshoes.com/,,5510082182,CDMX,CDMX,México,Fabricante baile social,Alta,6,Tango/salsa/bachata — Parroquia 637 Del Valle,research
Zapatos,Zapatos para danza,Calzado Manzano,https://calzadomanzano.com/,hola@calzadomanzano.com,7221016661,San Mateo Atenco,EdoMex,México,Ejemplo original,Alta,8,"Ejemplo del cliente — folklórico, Juan Aldama 603",ejemplo_cliente
Zapatos,Zapatos para danza,Dance Field,https://www.dancefield.com.mx/,,3343160899,Guadalajara,Jalisco,México,Tienda líder GDL,Alta,5,Plaza Los Arcos Vallarta 2440 — 33 3616 2036,research
Zapatos,Zapatos para danza,Dance Field Los Robles Zapopan,https://www.dancefield.com.mx/,,3343160899,Zapopan,Jalisco,México,Dirección fiscal/tienda,Alta,5,Av. Los Robles 2075,research
Zapatos,Zapatos para danza,Mayoreo escuelas folklor Atenco,https://calzadomanzano.com/,hola@calzadomanzano.com,7221016661,San Mateo Atenco,EdoMex,México,Mayoreo escuelas,Alta,9,Folklor,research
Zapatos,Zapatos para danza,Pirouette Dancewear,https://www.pirouette.mx/,tienda@pirouette.mx,3336100291,Zapopan,Jalisco,México,Tienda ballet,Alta,8,Pablo Neruda 4341 Plaza Universidad Local G4,research
Zapatos,Zapatos para danza,ZA&ZA Dancewear,https://info.zazadancewear.com/,contacto@zazadancewear.com,5561371366,Monterrey,NL,México,Multimarca,Alta,9,"+15 años, MTY/Puebla/Oaxaca, envíos MX",research
Zapatos,Zapatos para danza,ZA&ZA sucursal Monterrey,https://info.zazadancewear.com/,contacto@zazadancewear.com,5561371366,Monterrey,NL,México,Sucursal,Alta,8,Hidalgo 2258 Pte Plaza Picachos Local 10,research
Zapatos,Zapatos para danza,ZA&ZA sucursal Oaxaca,https://info.zazadancewear.com/,,5561894779,Oaxaca,Oaxaca,México,Sucursal,Alta,5,Heroico Colegio Militar 420 Reforma,research
Zapatos,Zapatos para danza,ZA&ZA sucursal Puebla,https://info.zazadancewear.com/,,5561894779,Puebla,Puebla,México,Sucursal,Alta,5,Plaza Universidad Local 1C,research
Zapatos,Zapatos para danza,Zapatillas de punta fitting Pirouette,https://www.pirouette.mx/,tienda@pirouette.mx,3336100291,Zapopan,Jalisco,México,Fitting profesional,Alta,8,Cita,research
Zapatos,Zapatos para danza,Zapatos De Danza Regional Lagunilla,,castrolopezamerica@icloud.com,5539682121,CDMX,CDMX,México,Mayoreo mercado,Alta,7,Lagunilla pasillo 1 local 97-98,research
Zapatos,Zapatos para danza,Centro Proveedora de Tacones,,,7282872026,San Mateo Atenco,EdoMex,México,Insumos,Media,3,Benito Juárez 821 San Luquitas,research
Zapatos,Zapatos para danza,Danzar S.A. de C.V.,,,,San Mateo Atenco,EdoMex,México,Fabricante,Media,2,Industria Norte 59,research
Zapatos,Zapatos para danza,Don León Calzado Danza Teatral,,,,San Mateo Atenco,EdoMex,México,Fabricante,Media,2,Guerrero 611 Barrio San Miguel,research
Zapatos,Zapatos para danza,Fábrica de Sandalias FASA,,,,San Mateo Atenco,EdoMex,México,Fabricante,Media,2,Blvd Miguel Alemán 65,research
Zapatos,Zapatos para danza,Gonze But,,,7282874087,San Mateo Atenco,EdoMex,México,Fabricante,Media,4,Independencia 432 San Francisco,research
Zapatos,Zapatos para danza,Insumos suelas danza Atenco,,,7282872026,San Mateo Atenco,EdoMex,México,Insumo,Media,3,Tacones y suelas,research
Zapatos,Zapatos para danza,Ital Group de México,,,7282880173,San Mateo Atenco,EdoMex,México,Fabricante,Media,4,Del Panteón 309,research
Zapatos,Zapatos para danza,Kuali Shoes,https://listado.mercadolibre.com.mx/zapatos-flamenco-danza_Store_kuali-shoes,,,México,México,México,Marca ML,Media,3,Flamenco y folklórica,research
Zapatos,Zapatos para danza,Mayoreo folklor Mercado de Sonora,,,,CDMX,CDMX,México,Mayoreo mercado,Media,2,Calzado + traje,research
Zapatos,Zapatos para danza,Mayoreo zapatillas ballet CDMX centro,,,,CDMX,CDMX,México,Mayoreo,Media,2,Escuelas,research
Zapatos,Zapatos para danza,Miguelito Dancing Shoes,https://miguelitousa.com/home.html,,,CDMX,CDMX,México,Fabricante teatral,Media,4,Ballet/flamenco/folklore CDMX,research
Zapatos,Zapatos para danza,Plaza Azul calzado Atenco,,,7282870863,San Mateo Atenco,EdoMex,México,Grupo artesanal,Media,3,Mayoreo calzado,research
Zapatos,Zapatos para danza,Supllies de México / Berrendo,,,7282882501,San Mateo Atenco,EdoMex,México,Insumos calzado,Media,3,Benito Juárez 218,research
