giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Juguetes,Juguetes sensoriales y terapeuticos,AIPAI Cositas,https://aipaicositas.com/,cositas.aipai@gmail.com,5522657691,Guadalajara,Jalisco,México,Montessori/Waldorf,Alta,8,Alejandro 3296 Vallarta San Jorge,research
Juguetes,Juguetes sensoriales y terapeuticos,Alfonso Huberto Schick / XMajo legal extra,https://xmajodidacticos.com/,info@xmajodidacticos.com,8117537880,Monterrey,NL,México,Razón social,Alta,8,Legal name,research
Juguetes,Juguetes sensoriales y terapeuticos,Casa Didáctica mayoristas extra,https://www.ideashands.com.mx/,ventas@casadidactica.com,2222998488,Querétaro,Querétaro,México,B2B,Alta,9,Distribuidores,research
Juguetes,Juguetes sensoriales y terapeuticos,Envíos nacionales XMajo extra,https://xmajodidacticos.com/,info@xmajodidacticos.com,8117537880,Monterrey,NL,México,Logística,Alta,8,Todo México,research
Juguetes,Juguetes sensoriales y terapeuticos,Grupo Educar,https://grupoeducar.com.mx/,,5514036115,CDMX,CDMX,México,Juguetes + mobiliario,Alta,5,Fresno 133 Santa María la Ribera,research
Juguetes,Juguetes sensoriales y terapeuticos,Grupo Educar líderes extra,https://grupoeducar.com.mx/,,5514036115,CDMX,CDMX,México,Posicionamiento,Alta,5,Juguetes+mobiliario,research
Juguetes,Juguetes sensoriales y terapeuticos,Grupo Educar Montessori extra,https://grupoeducar.com.mx/productos/categoria/30/0/montessori,,(55) 2630-1194,CDMX,CDMX,México,Línea Montessori,Alta,5,CDMX,research
Juguetes,Juguetes sensoriales y terapeuticos,Horario XMajo extra,https://xmajodidacticos.com/,info@xmajodidacticos.com,8117537880,Monterrey,NL,México,Operación,Alta,8,L-V 9:30-18:30 S 9:30-17,research
Juguetes,Juguetes sensoriales y terapeuticos,Ideas Hands / Casa Didáctica,https://www.ideashands.com.mx/,ventas@casadidactica.com,2222998488,Querétaro,Querétaro,México,Fabricante/distribuidor,Alta,9,"Juguetes educativos, WhatsApp 7911131839",research
Juguetes,Juguetes sensoriales y terapeuticos,Jugueterías didácticas Qro extra,https://www.ideashands.com.mx/,ventas@casadidactica.com,2222998488,Querétaro,Querétaro,México,Regional,Alta,8,Casa Didáctica,research
Juguetes,Juguetes sensoriales y terapeuticos,L-V 9-6 Casa Didáctica extra,https://www.ideashands.com.mx/,ventas@casadidactica.com,2222998488,Querétaro,Querétaro,México,Horario,Alta,8,Atención,research
Juguetes,Juguetes sensoriales y terapeuticos,Libros apoyo TEA extra,https://xmajodidacticos.com/,,8117537880,Monterrey,NL,México,Libros,Alta,5,Terapeutas,research
Juguetes,Juguetes sensoriales y terapeuticos,Material Montessori madera extra,https://xmajodidacticos.com/,info@xmajodidacticos.com,8117537880,Monterrey,NL,México,Madera,Alta,8,0-12 años,research
Juguetes,Juguetes sensoriales y terapeuticos,Mayoreo Didáctico,https://www.mayoreodidactico.mx/,monica@mayoreodidactico.mx,8189891980,Monterrey,NL,México,Mayoreo,Alta,9,"Sensoriales, antiestrés, envíos MX y USA — Zaragoza 410 Centro",research
Juguetes,Juguetes sensoriales y terapeuticos,Mayoreo Didáctico sucursal Zaragoza extra,https://www.mayoreodidactico.com/,monica@mayoreodidactico.mx,8189891980,Monterrey,NL,México,Sucursal,Alta,8,Zaragoza Nte 410,research
Juguetes,Juguetes sensoriales y terapeuticos,Mesas y sillas XMajo extra,https://xmajodidacticos.com/,,8117537880,Monterrey,NL,México,Mobiliario,Alta,5,Aula,research
Juguetes,Juguetes sensoriales y terapeuticos,Mobiliario infantil Grupo Educar extra,https://grupoeducar.com.mx/,,(55) 6724-0866,CDMX,CDMX,México,Mobiliario,Alta,5,Aulas,research
Juguetes,Juguetes sensoriales y terapeuticos,Neurogym XMajo extra,https://xmajodidacticos.com/,info@xmajodidacticos.com,8117537880,Monterrey,NL,México,Motricidad,Alta,8,Estimulación,research
Juguetes,Juguetes sensoriales y terapeuticos,San Pedro / Cumbres cobertura XMajo extra,https://xmajodidacticos.com/,,8117537880,Monterrey,NL,México,Zona,Alta,5,Área metropolitana,research
Juguetes,Juguetes sensoriales y terapeuticos,Showroom AIPAI extra,https://aipaicositas.com/,cositas.aipai@gmail.com,5522657691,Guadalajara,Jalisco,México,Retiro en tienda,Alta,8,Vallarta San Jorge,research
Juguetes,Juguetes sensoriales y terapeuticos,Showroom Grupo Educar extra,https://grupoeducar.com.mx/,,(55) 2630-1196,CDMX,CDMX,México,Showroom,Alta,5,Santa María la Ribera,research
Juguetes,Juguetes sensoriales y terapeuticos,Showroom Mayoreo Didáctico extra,https://www.mayoreodidactico.mx/,monica@mayoreodidactico.mx,8189891980,Monterrey,NL,México,Showroom,Alta,8,Centro MTY,research
Juguetes,Juguetes sensoriales y terapeuticos,Showroom Toys2Teach extra,https://www.toys2teach.mx/,,5556014509,CDMX,CDMX,México,Showroom,Alta,5,Letrán Valle,research
Juguetes,Juguetes sensoriales y terapeuticos,Showroom XMajo extra,https://xmajodidacticos.com/,info@xmajodidacticos.com,8117537880,Monterrey,NL,México,Showroom,Alta,8,Chepevera,research
Juguetes,Juguetes sensoriales y terapeuticos,Toys2Teach,https://www.toys2teach.mx/,,5565854337,CDMX,CDMX,México,Fábrica escolar,Alta,5,Petén 555 Letrán Valle,research
Juguetes,Juguetes sensoriales y terapeuticos,Toys2Teach 3 teléfonos extra,https://www.toys2teach.mx/,,5565854337,CDMX,CDMX,México,Contacto,Alta,5,3 líneas,research
Juguetes,Juguetes sensoriales y terapeuticos,Toys2Teach mobiliario extra,https://www.toys2teach.mx/,,5556049891,CDMX,CDMX,México,Mobiliario escolar,Alta,5,Benito Juárez,research
Juguetes,Juguetes sensoriales y terapeuticos,Universo neurodiverso extra,https://xmajodidacticos.com/,,8117537880,Monterrey,NL,México,Línea,Alta,5,XMajo,research
Juguetes,Juguetes sensoriales y terapeuticos,Waldorf madera AIPAI extra,https://aipaicositas.com/,cositas.aipai@gmail.com,5522657691,Guadalajara,Jalisco,México,Waldorf,Alta,8,Sostenible,research
Juguetes,Juguetes sensoriales y terapeuticos,WhatsApp Ideas Hands extra,https://www.ideashands.com.mx/,ventas@casadidactica.com,7911131839,Querétaro,Querétaro,México,Canal WA,Alta,8,Mayoreo,research
Juguetes,Juguetes sensoriales y terapeuticos,WhatsApp Toys2Teach extra,https://www.toys2teach.mx/,,5565854337,CDMX,CDMX,México,Canal WA,Alta,5,Fábrica,research
Juguetes,Juguetes sensoriales y terapeuticos,XMajo Didácticos,https://xmajodidacticos.com/,info@xmajodidacticos.com,8117537880,Monterrey,NL,México,Retail educativo,Alta,8,"Montessori, TEA, Simón Bolívar Sur 127 Chepevera",research
Juguetes,Juguetes sensoriales y terapeuticos,XMajo Pikler extra,https://xmajodidacticos.com/,info@xmajodidacticos.com,8117537880,Monterrey,NL,México,Motricidad,Alta,8,Triángulo Pikler,research
