giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Juguetes,Articulos miniatura o a escala,Fenix Hobby / Big Bang Planet,https://fenixhobby.com.mx/,contacto@bigbangtoys.com.mx,3322937386,Guadalajara,Jalisco,México,Tienda + ecom,Alta,9,Plaza Fiesta Arboledas E18-E19,research
Juguetes,Articulos miniatura o a escala,Hobby Models,https://hobbymodels.com.mx/,,4433150122,Morelia,Michoacán,México,Mayoreo/menudeo,Alta,6,"Modelismo y RC — García de León 1555-A, WA 4434808804",research
Juguetes,Articulos miniatura o a escala,Hobbymex,https://hobbymex.com.mx/,,5552771444,CDMX,CDMX,México,Tienda modelismo,Alta,5,"Agricultura 67-D Escandón, WA 5541363690",research
Juguetes,Articulos miniatura o a escala,Modelismo México Store,,mastermodelworks@hotmail.com,6141842343,Chihuahua,Chihuahua,México,Tienda + club,Alta,6,Lateral La Esperanza 16 Plaza Los Arquitos,research
Juguetes,Articulos miniatura o a escala,Tiendas hobby GDL cluster,https://fenixhobby.com.mx/,contacto@bigbangtoys.com.mx,3322937386,Guadalajara,Jalisco,México,Cluster,Alta,7,Fenix / Big Bang,research
Juguetes,Articulos miniatura o a escala,Trenes.mx / Trenes S.A. de C.V.,https://trenes.mx/,,5568683070,Naucalpan,EdoMex,México,Ejemplo original,Alta,5,Ejemplo del cliente — Plaza Satélite C-137 desde 1974,ejemplo_cliente
Juguetes,Articulos miniatura o a escala,Articulos miniatura o a escala (ejemplo original),https://trenes.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Juguetes,Articulos miniatura o a escala,Atlas Model Railroad,,,,USA,,México,Marca,Media,2,"Vías y modelos HO/N, vía HO de México",brand
Juguetes,Articulos miniatura o a escala,B&P Toys-Trains,https://www.toystrains.com.mx/,,,México,México,México,Tienda,Media,2,"Escalas Z, N, HO, O y G; surtido de locomotoras y accesorios",research
Juguetes,Articulos miniatura o a escala,Bachmann Trains,,,,USA,,México,Marca,Media,2,"Trenes HO/N y control DCC, importado",brand
Juguetes,Articulos miniatura o a escala,HO de México,https://treneshodemexico.com/,,,México,México,México,Ecom,Media,3,"Tienda virtual del ferromodelista mexicano: escalas HO, N, DCC, estructuras",research
Juguetes,Articulos miniatura o a escala,Tiendas hobby CDMX cluster,https://hobbymex.com.mx/,,5552771444,CDMX,CDMX,México,Cluster,Media,4,Hobbymex + Trenes Satélite,research
Juguetes,Articulos miniatura o a escala,Walthers,,,,USA,,México,Marca,Media,2,"Modelos HO y accesorios ferroviarios, importado",brand
Juguetes,Articulos miniatura o a escala,Armatrenes,,,,Guadalajara,Jalisco,México,Tienda,Baja,1,"Ferromodelismo y maquetas, 4.5★ (28 reseñas) en GDL",research
Juguetes,Articulos miniatura o a escala,Central de Maquetas Guadalajara,,,,Guadalajara,Jalisco,México,Tienda,Baja,1,Tienda de modelismo y maquetas en GDL,research
Juguetes,Articulos miniatura o a escala,Jobbees,,,,Guadalajara,Jalisco,México,Tienda,Baja,1,"Tienda de maquetas antigua en GDL: modelismo estático, ferroviario y figuras",research
Juguetes,Articulos miniatura o a escala,Maquetas en Acrílico Acosta,,,,Guadalajara,Jalisco,México,Tienda,Baja,1,"Maquetas en acrílico, 4.1★ (8 reseñas) GDL",research
Juguetes,Articulos miniatura o a escala,Mundo Hobby,,,,Guadalajara,Jalisco,México,Tienda,Baja,1,"Modelismo y juguetes a escala, aviones de motor en GDL",research
