giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Medicina,Insumos para tatuar,AGMA Pachuca extra,https://agmatattoo.com/,,7714267166,Pachuca,Hidalgo,México,2o teléfono,Alta,5,Hidalgo,research
Medicina,Insumos para tatuar,AGMA Tattoo Supply,https://agmatattoo.com/,,7711691599,Pachuca,Hidalgo,México,Proveedor,Alta,5,Rojo Gómez 1019 Cubitos,research
Medicina,Insumos para tatuar,Anestesia tópica extra,https://zebratattoosupply.com/,,5541880654,Tultitlán,EdoMex,México,Tópico,Alta,5,Profesional,research
Medicina,Insumos para tatuar,Anestesias / TKTX extra,https://zebratattoosupply.com/,,5541880654,Tultitlán,EdoMex,México,Cuidado piel,Alta,5,Uso profesional,research
Medicina,Insumos para tatuar,Bishop oficial Reyes extra,https://www.reyestattoosupply.com/,ventas@reyestattoosupply.com,3331088920,Zapopan,Jalisco,México,Marca,Alta,9,Distribuidor oficial,research
Medicina,Insumos para tatuar,Caducidad TKTX extra,https://zebratattoosupply.com/,,5541880654,Tultitlán,EdoMex,México,Norma,Alta,5,Tópico,research
Medicina,Insumos para tatuar,Cartuchos universales Zebra extra,https://zebratattoosupply.com/,,5541880654,Tultitlán,EdoMex,México,Cartuchos,Alta,5,Membrana,research
Medicina,Insumos para tatuar,Chapalita Reyes extra,https://www.reyestattoosupply.com/,ventas@reyestattoosupply.com,3331088920,Zapopan,Jalisco,México,Ubicación,Alta,8,45040,research
Medicina,Insumos para tatuar,Condesa Soulflower extra,https://soulflower.mx/,soulflowercustom@gmail.com,5545127515,CDMX,CDMX,México,Ubicación,Alta,8,Cuauhtémoc,research
Medicina,Insumos para tatuar,Cremas previas Zebra extra,https://zebratattoosupply.com/,,5541880654,Tultitlán,EdoMex,México,Cuidado,Alta,5,Pre-tattoo,research
Medicina,Insumos para tatuar,Cubitos Pachuca AGMA extra,https://agmatattoo.com/,,7711691599,Pachuca,Hidalgo,México,Ubicación,Alta,5,42090,research
Medicina,Insumos para tatuar,Cómo comprar Reyes extra,https://www.reyestattoosupply.com/,,3331088920,Zapopan,Jalisco,México,Soporte,Alta,5,Ecom,research
Medicina,Insumos para tatuar,Daruma Neza extra,https://www.darumasupplytattoo.com/contacto,,5519649709,Nezahualcóyotl,EdoMex,México,Sucursal,Alta,5,Pantitlán 40,research
Medicina,Insumos para tatuar,Daruma Puebla Soles extra,https://www.darumasupplytattoo.com/contacto,,2224071643,Puebla,Puebla,México,Sucursal,Alta,5,Plaza Soles / El Carmen,research
Medicina,Insumos para tatuar,Daruma Supply Tattoo,https://www.darumasupplytattoo.com/,castillo.aguil4@gmail.com,5519649709,CDMX,CDMX,México,Multi-sucursal,Alta,8,Hojalatería 29 Morelos + Neza + Puebla,research
Medicina,Insumos para tatuar,Distribuidores oficiales Reyes extra,https://www.reyestattoosupply.com/pages/nosotros,ventas@reyestattoosupply.com,3331088920,Zapopan,Jalisco,México,Canal,Alta,8,Directo fabricante,research
Medicina,Insumos para tatuar,Envíos nacionales Zebra extra,https://zebratattoosupply.com/,ventas@zebratattoosupply.com,5541880654,Tultitlán,EdoMex,México,Logística,Alta,8,32 estados,research
Medicina,Insumos para tatuar,Envíos Reyes extra,https://www.reyestattoosupply.com/,ventas@reyestattoosupply.com,3331088920,Zapopan,Jalisco,México,Logística,Alta,8,CDMX MTY TIJ PUE,research
Medicina,Insumos para tatuar,EZ Tattoo extra,https://zebratattoosupply.com/,ventas@zebratattoosupply.com,5541880654,Tultitlán,EdoMex,México,Máquinas,Alta,8,Zebra,research
Medicina,Insumos para tatuar,Facebook Soulflower extra,https://www.facebook.com/SoulflowerMX/,soulflowercustom@gmail.com,5589544434,CDMX,CDMX,México,Canal,Alta,8,Estudio,research
Medicina,Insumos para tatuar,FAQ Zebra extra,https://zebratattoosupply.com/,,5541880654,Tultitlán,EdoMex,México,Soporte,Alta,5,Uso profesional,research
Medicina,Insumos para tatuar,Horario Daruma extra,https://www.darumasupplytattoo.com/contacto,,5519649709,CDMX,CDMX,México,Operación,Alta,5,L-V 9-6 S 9-3,research
Medicina,Insumos para tatuar,Horario Reyes tienda extra,https://www.reyestattoosupply.com/,,3331088920,Zapopan,Jalisco,México,Operación,Alta,5,L-S 11-8,research
Medicina,Insumos para tatuar,Horario Zebra extra,https://zebratattoosupply.com/,,5541880654,Tultitlán,EdoMex,México,Operación,Alta,5,9-17,research
Medicina,Insumos para tatuar,Inkside complementos extra,https://inksidesupply.com/,ventas@inksidesupply.com,5510480496,CDMX,CDMX,México,Complementos,Alta,8,Médicos,research
Medicina,Insumos para tatuar,Inkside EZ cartuchos extra,https://inksidesupply.com/,ventas@inksidesupply.com,5510480496,CDMX,CDMX,México,Cartuchos,Alta,8,EZ / Inkin Revo,research
Medicina,Insumos para tatuar,Inkside Supply,https://inksidesupply.com/,ventas@inksidesupply.com,5510480496,CDMX,CDMX,México,Tienda CDMX,Alta,8,Mar Jónico 50 Popotla — tintas y cartuchos,research
Medicina,Insumos para tatuar,Inkside tintas extra,https://inksidesupply.com/,ventas@inksidesupply.com,5510480496,CDMX,CDMX,México,Tintas,Alta,8,Dynamic / Revolution,research
Medicina,Insumos para tatuar,Inkside Vselect extra,https://inksidesupply.com/,ventas@inksidesupply.com,5510480496,CDMX,CDMX,México,Cartuchos,Alta,8,Vselect,research
Medicina,Insumos para tatuar,Instagram Reyes extra,https://www.reyestattoosupply.com/,ventas@reyestattoosupply.com,3331088920,Zapopan,Jalisco,México,Canal,Alta,8,@reyestattoosupply,research
Medicina,Insumos para tatuar,Instagram Zebra extra,https://zebratattoosupply.com/,ventas@zebratattoosupply.com,5541880654,Tultitlán,EdoMex,México,Canal,Alta,8,@zebra_tattoo_supply,research
Medicina,Insumos para tatuar,Kits aprendiz extra,https://www.reyestattoosupply.com/collections/kit,,3331088920,Zapopan,Jalisco,México,Paquete,Alta,5,Inicio,research
Medicina,Insumos para tatuar,Liverpool Juárez Tarmex extra,https://tarmex-vip.com/,ventas@tarmex-vip.com,(55) 6278-6666,CDMX,CDMX,México,Ubicación,Alta,8,Col. Juárez,research
Medicina,Insumos para tatuar,Manuales Zebra extra,https://zebratattoosupply.com/,,5541880654,Tultitlán,EdoMex,México,Soporte,Alta,5,Productos,research
Medicina,Insumos para tatuar,Morelos Daruma extra,https://www.darumasupplytattoo.com/,,5519649709,CDMX,CDMX,México,Ubicación,Alta,5,Venustiano Carranza,research
Medicina,Insumos para tatuar,PMU cejas labios extra,https://zebratattoosupply.com/,,5541880654,Tultitlán,EdoMex,México,PMU,Alta,5,Micropigmento,research
Medicina,Insumos para tatuar,Políticas envío Zebra extra,https://zebratattoosupply.com/,,5541880654,Tultitlán,EdoMex,México,Logística,Alta,5,Nacional,research
Medicina,Insumos para tatuar,Popotla Inkside extra,https://inksidesupply.com/,ventas@inksidesupply.com,5510480496,CDMX,CDMX,México,Ubicación,Alta,8,Miguel Hidalgo,research
Medicina,Insumos para tatuar,Precios IVA Reyes extra,https://www.reyestattoosupply.com/,ventas@reyestattoosupply.com,3331088920,Zapopan,Jalisco,México,Fiscal,Alta,8,MXN + IVA,research
Medicina,Insumos para tatuar,Reyes kits inicio extra,https://www.reyestattoosupply.com/collections/kit,ventas@reyestattoosupply.com,3331088920,Zapopan,Jalisco,México,Kits,Alta,8,Envío >$2500 gratis,research
