giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Papeleria,Invitaciones fisicas,La Fabrika Invitaciones,https://www.lafabrikainvitaciones.com/,,5540367726,CDMX,CDMX,México,Fábrica,Alta,5,Privada Cuatotonque 79 CP 02050,research
Papeleria,Invitaciones fisicas,Paradisa Print,https://paradisaprint.com/,,9999269331,Mérida,Yucatán,México,Ejemplo original,Alta,5,"Ejemplo del cliente — Calle 30 #507 Col. Maya, WA 9991325218",ejemplo_cliente
Papeleria,Invitaciones fisicas,Print The Joy / Tienda de Invitaciones,https://tiendadeinvitaciones.com/,,4444922233,San Luis Potosí,SLP,México,Imprenta,Alta,5,"Envíos nacionales, @PrintTheJoy",research
Papeleria,Invitaciones fisicas,Te Invito,https://te-invito.com.mx/,,5578660556,CDMX,CDMX,México,Digital + evento,Alta,5,Panel RSVP,research
Papeleria,Invitaciones fisicas,Amelia Paper Design,https://www.ameliapaperdesign.com/,,,México,México,México,Ecom,Media,3,"Invitaciones premium con hot stamping, serigrafía artesanal y nombre rotulado a mano; 8 años",research
Papeleria,Invitaciones fisicas,Creear,https://creear.mx/,,,México,México,México,Papelería,Media,2,Bolsas e invitaciones adyacente,research
Papeleria,Invitaciones fisicas,Empapelarte,https://empapelarte.com.mx/,,,México,México,México,Papelería eventos,Media,2,"Invitaciones boda/XV, mayoreo y menudeo",research
Papeleria,Invitaciones fisicas,Event Planner México invitaciones,https://www.eventplannermexico.mx/invitaciones-para-eventos/,,,CDMX,CDMX,México,Agencia + print,Media,3,Hot stamping y lacre,research
Papeleria,Invitaciones fisicas,Imprenta Vintage,https://www.imprentavintage.com/,,,CDMX,CDMX,México,Imprenta,Media,3,"Letterpress, stamping, golpe seco y relieve para invitaciones de boda y eventos",research
Papeleria,Invitaciones fisicas,Invitaciones fisicas (ejemplo original),https://paradisaprint.com/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Papeleria,Invitaciones fisicas,Invitación MX,https://invitacionmx.com/,,,México,México,México,Web + física,Media,2,Bodas XV bautizos,research
Papeleria,Invitaciones fisicas,InvitameOK,https://invitameok.com/,,,México,México,México,Ecom,Media,3,"Invitaciones digitales boda/XV con confirmación, mesa de regalos y panel de invitados",research
Papeleria,Invitaciones fisicas,La Invitación de Liana,https://www.lainvitaciondeliana.com/,,,México,México,México,Ecom,Media,3,"Invitaciones de boda pintadas a mano con acuarela, sobres premium",research
Papeleria,Invitaciones fisicas,Samsara Invitaciones,https://www.samsarainvitaciones.com.mx/,,,México,México,México,Imprenta eventos,Media,2,"Bodas, XV, hot stamping, empresariales",research
