giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Alimentos,Miel afrodisiaca,Abarca Coapa extra,https://apiariosabarca.com/,,5520455835,CDMX,CDMX,México,Sucursal,Alta,5,División del Norte 4158 local 14,research
Alimentos,Miel afrodisiaca,Abarca Eje 8 extra,https://apiariosabarca.com/,,5520455835,CDMX,CDMX,México,Sucursal,Alta,5,Popocatépetl 153 Bis Portales,research
Alimentos,Miel afrodisiaca,Abarca Tlalpan extra,https://apiariosabarca.com/,info@apiariosabarca.com,5555498200,CDMX,CDMX,México,Sucursal,Alta,8,Calz. Tlalpan 1831 Local B,research
Alimentos,Miel afrodisiaca,Apiarios Abarca / La Casita de la Miel,https://apiariosabarca.com/,info@apiariosabarca.com,5520455835,CDMX,CDMX,México,Productor,Alta,9,Tlalpan 1831 Churubusco + Eje 8 + Coapa,research
Alimentos,Miel afrodisiaca,Apicultores Puebla cluster extra,,raiznativamx@gmail.com,2229547635,Puebla,Puebla,México,Cluster,Alta,5,Raíz Nativa zona,research
Alimentos,Miel afrodisiaca,Apicultores Qro cluster extra,https://mielesmexico.com/,info@mielesmexico.com,4423281287,Querétaro,Querétaro,México,Cluster,Alta,7,Mieles México zona,research
Alimentos,Miel afrodisiaca,Black Horse extra,https://www.mielesdemalasiamx.com/,,2222627488,Puebla,Puebla,México,Marca,Alta,6,Línea masculina,research
Alimentos,Miel afrodisiaca,Cera de abeja Campeche extra,,mielera_campeche@hotmail.com,9818175261,Campeche,Campeche,México,Derivado,Alta,6,Cera + miel granel,research
Alimentos,Miel afrodisiaca,Colmenas Langstroth extra,https://mieloro.com.mx/,,3338262242,Guadalajara,Jalisco,México,Insumo,Alta,5,Material apícola,research
Alimentos,Miel afrodisiaca,Comercio justo miel extra,https://mieloro.com.mx/,,3338262242,Guadalajara,Jalisco,México,Canal,Alta,5,Precio productor,research
Alimentos,Miel afrodisiaca,Cursos apicultura Miel Oro extra,https://mieloro.com.mx/,informacion@mieloro.com.mx,3338262242,Guadalajara,Jalisco,México,Educación,Alta,8,Apicultor por un día,research
Alimentos,Miel afrodisiaca,Cápsulas vigorizantes extra,https://www.mielesdemalasiamx.com/,,2222627488,Puebla,Puebla,México,Adyacente,Alta,5,Línea cápsulas,research
Alimentos,Miel afrodisiaca,Distribuidores GDL extra,https://mieloro.com.mx/,informacion@mieloro.com.mx,3338262242,Guadalajara,Jalisco,México,Hub,Alta,8,Occidente,research
Alimentos,Miel afrodisiaca,Distribuidores Mérida extra,https://www.tropicalhoney.com.mx/,ventas@tropicalhoney.com.mx,9999262622,Mérida,Yucatán,México,Hub,Alta,8,Apícola península,research
Alimentos,Miel afrodisiaca,Distribuidores Puebla extra,https://www.mielesdemalasiamx.com/,mielesdemalasiamx@hotmail.com,2222627488,Puebla,Puebla,México,Hub,Alta,8,Origen ejemplo,research
Alimentos,Miel afrodisiaca,Distribuidores Satélite extra,https://www.naturasol.com.mx/,recepcion@mielmex.com,5555626587,Naucalpan,EdoMex,México,Hub,Alta,8,Zona metropolitana,research
Alimentos,Miel afrodisiaca,Dulces de miel extra,,raiznativamx@gmail.com,2229547635,Puebla,Puebla,México,Adyacente,Alta,6,Paletas y caramelos,research
