giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Joyeria,Charms,Aretes coordinados extra,https://plateriaemma-mayoreo.com/,,7626226231,Taxco,Guerrero,México,Adyacente,Alta,5,Sets,research
Joyeria,Charms,Baño de oro 18k extra,https://www.elrelicariodeplata.com/,,7621098780,Taxco,Guerrero,México,Acabado,Alta,5,Gold filled / vermeil,research
Joyeria,Charms,Cadenas plata clip extra,https://plarte.com.mx/,ventas@plarte.com.mx,4444909860,San Luis Potosí,SLP,México,Insumo,Alta,8,Base pulsera,research
Joyeria,Charms,Catálogo mayoreo Plarte extra,https://plarte.com.mx/,ventas@plarte.com.mx,4444909860,San Luis Potosí,SLP,México,B2B,Alta,9,Cita mayoreo,research
Joyeria,Charms,Charms animales extra,https://plarte.com.mx/,ventas@plarte.com.mx,4444909860,San Luis Potosí,SLP,México,Estilo,Alta,8,Delfín / patita,research
Joyeria,Charms,Charms corazón circonia extra,https://plarte.com.mx/,ventas@plarte.com.mx,4444909860,San Luis Potosí,SLP,México,SKU,Alta,8,Colgante,research
Joyeria,Charms,Charms florales extra,https://plarte.com.mx/,,4444909860,San Luis Potosí,SLP,México,Estilo,Alta,5,Flor circonias,research
Joyeria,Charms,Charms kawaii extra,https://charmslab.mx/,hola@charmslab.mx,3315309966,Guadalajara,Jalisco,México,Estilo,Alta,8,Tortuga / erizo,research
Joyeria,Charms,Charms Lab,https://charmslab.mx/,hola@charmslab.mx,3315309966,Guadalajara,Jalisco,México,Ejemplo original,Alta,8,"Ejemplo del cliente — envío gratis >$399, WA 3325080045",ejemplo_cliente
Joyeria,Charms,Charms Lab envío extra,https://charmslab.mx/,hola@charmslab.mx,3315309966,Guadalajara,Jalisco,México,Logística,Alta,8,Gratis desde $399,research
Joyeria,Charms,Charms Lab Gmail extra,https://charmslab.mx/,charmslabmx@gmail.com,3315309966,Guadalajara,Jalisco,México,Canal,Alta,8,Soporte / garantía,research
Joyeria,Charms,Charms Lab Instagram extra,https://www.instagram.com/charms.lab.mx,hola@charmslab.mx,3315309966,Guadalajara,Jalisco,México,Canal,Alta,8,@charms.lab.mx,research
Joyeria,Charms,Charms Lab WA 2 extra,https://charmslab.mx/,hola@charmslab.mx,3325080045,Guadalajara,Jalisco,México,Canal WA,Alta,8,Segundo WhatsApp,research
Joyeria,Charms,Charms minimal extra,https://malandra.mx/,clientes@malandra.mx,8114886601,San Pedro Garza García,NL,México,Estilo,Alta,8,Contemporáneo,research
Joyeria,Charms,Charms religiosos extra,https://www.taxco925.com/,,7621224439,Taxco,Guerrero,México,Estilo,Alta,5,Fe / protección,research
Joyeria,Charms,Circonias pavé extra,https://plarte.com.mx/,,4444909860,San Luis Potosí,SLP,México,Insumo,Alta,5,Brillo,research
Joyeria,Charms,Citas Palma Plarte extra,https://plarte.com.mx/,ventas@plarte.com.mx,4444909860,CDMX,CDMX,México,Operación,Alta,8,+52 444 490 98 60,research
