giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Belleza,"Insumos para uñas, uñas press on",Círculo B,https://circulob.mx/,contacto@circulob.mx,2381270502,Tehuacán,Puebla,México,Mayoreo,Alta,9,"Plaza Kristal local 5, Independencia Ote 316, L-S 9-20:30",research
Belleza,"Insumos para uñas, uñas press on",Fantasy Nails Shop CDMX,https://www.facebook.com/fantasynailscdmx/,,5579007784,CDMX,CDMX,México,Mayoreo,Alta,6,Envíos nacionales e internacionales,research
Belleza,"Insumos para uñas, uñas press on",Nails Shop SLP,https://www.nailsshop.com.mx/,,4448096424,San Luis Potosí,SLP,México,Mayoreo,Alta,6,"Río Verde 315 Genovevo Rivas, mín. $6000, Fantasy/Organic/Wapizima",research
Belleza,"Insumos para uñas, uñas press on",Wapizima,https://wapizima.shop/,antonio@wapizima.info,,México,México,México,Marca,Alta,6,"Mayoreo nacional, Av Benito Juárez Sur 105-308",research
Belleza,"Insumos para uñas, uñas press on",Cololab press on,,,5539946917,CDMX,CDMX,México,Tienda,Media,3,"Izazaga 89 mezanine local 108, L-D 11-18",research
Belleza,"Insumos para uñas, uñas press on","Insumos para uñas, uñas press on (ejemplo original)",https://unikastudiomexico.com/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Belleza,"Insumos para uñas, uñas press on",Kiss México,https://www.kissmexico.mx/collections/press-on,,,México,México,México,Marca,Media,3,"imPRESS press-on, sin pegamento extra",brand
Belleza,"Insumos para uñas, uñas press on",Mayoreo Luz María,https://luzma.catalog.to/,,,México,México,México,Mayoreo,Media,3,"Material de uñas, insumos para pestañas, press on y gamas de gelish",research
Belleza,"Insumos para uñas, uñas press on",MC Nails Oficial,https://mcnails.mx/,,,México,México,México,Marca,Media,3,"Kits de polygel, acrílico y esmaltes semipermanentes premium",brand
Belleza,"Insumos para uñas, uñas press on",Mi Shop MX,https://www.mishop.mx/,,,México,México,México,Mayoreo,Media,3,Press on y accesorios belleza,research
Belleza,"Insumos para uñas, uñas press on",Unika Studio México,https://unikastudiomexico.com/,,,México,México,México,Ejemplo original,Media,2,Ejemplo del cliente — press on e insumos,ejemplo_cliente
Belleza,"Insumos para uñas, uñas press on",KISS imPRESS,,,,México,México,México,Marca,Baja,1,"Uñas press on acabado gel, vía ML",brand
Belleza,"Insumos para uñas, uñas press on",María Cibeles Royalty,,,,México,México,México,Marca,Baja,1,"Tips press on 240 pzs, vía ML",brand
Belleza,"Insumos para uñas, uñas press on",Miss Cherry,,,,México,México,México,Marca,Baja,1,"Kit poligel/acrigel sistema dual, vía ML",brand
Belleza,"Insumos para uñas, uñas press on",MISSTU,,,,México,México,México,Marca,Baja,1,"Kit polygel Beaucat 18 pcs, el más vendido en ML (4.4★, 946 reviews)",brand
Belleza,"Insumos para uñas, uñas press on",Sally Hansen,,,,México,México,México,Marca,Baja,1,"Uñas press on y esmaltes, vía ML",brand
Belleza,"Insumos para uñas, uñas press on",Studio Nails,,,,México,México,México,Marca,Baja,1,"Polygel en colores, 4.8★ vía ML",brand
