giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Articulos religiosos,"Tarot, lociones y velas esotericas",Rinconcito Mágico,https://www.rinconcitomagico.mx/,info@rinconcitomagico.mx,7711429045,Pachuca,Hidalgo,México,Tienda,Alta,8,"Cita previa, velas y esoterismo",research
Articulos religiosos,"Tarot, lociones y velas esotericas",Stellum,https://www.stellum.mx/,tienda.stellum@icloud.com,8123619626,Monterrey,NL,México,Tienda,Alta,8,"Plaza Fiesta San Agustín 222, velas mágicas y tarot",research
Articulos religiosos,"Tarot, lociones y velas esotericas",Tarot México León,https://tarotmexico.com.mx/,informes@tarotmexico.com,4771843418,León,Guanajuato,México,Servicio + retail,Alta,8,Loma 103 Jardines del Moral,research
Articulos religiosos,"Tarot, lociones y velas esotericas",Tarots del Mundo,https://tarotsdelmundo.com/,info@tarotsdelmundo.com,5519983301,CDMX,CDMX,México,Tienda,Alta,8,"Horacio 136 Polanco, 555335000 / WA 5590228817",research
Articulos religiosos,"Tarot, lociones y velas esotericas",Bougie Boyer,https://bougieboyer.com.mx/,,,CDMX,CDMX,México,Fabricante,Media,4,"Fábrica de velas desde 1951: decorativas, aromáticas, soya, masaje; venta de fábrica",research
Articulos religiosos,"Tarot, lociones y velas esotericas",Los 7 Arcángeles Boutique,,,5536431447,CDMX,CDMX,México,Tienda,Media,3,"Av. Cuauhtémoc 24 local 1, lecturas + retail",research
Articulos religiosos,"Tarot, lociones y velas esotericas",Magic Ways,https://magicways.mx/,,,Metepec,EdoMex,México,D2C,Media,4,"Paseo San Isidro 202, velas soya / cuarzos / tarot",research
Articulos religiosos,"Tarot, lociones y velas esotericas",Pinka,https://pinka.com.mx/tarots-y-oraculos/tarot/,,,México,México,México,Ejemplo original,Media,2,Ejemplo del cliente — tarots y oráculos,ejemplo_cliente
Articulos religiosos,"Tarot, lociones y velas esotericas",Serendipia Esotérica,,,,CDMX,CDMX,México,Ecom,Media,2,"Velas, sahumerios, cuarzos, sales de baño y kits mágicos en línea",research
Articulos religiosos,"Tarot, lociones y velas esotericas","Tarot, lociones y velas esotericas (ejemplo original)",https://pinka.com.mx/tarots-y-oraculos/tarot/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Articulos religiosos,"Tarot, lociones y velas esotericas",The Candle Place,https://thecandleplace.mx/,,,EdoMex,EdoMex,México,Fabricante,Media,4,"Velas de cera de soya artesanales; capacidad 10,000/mes; desarrollo de marcas",research
Articulos religiosos,"Tarot, lociones y velas esotericas",Tiara Mayorista Uruguay,,,,CDMX,CDMX,México,Mayoreo,Media,2,"República de Uruguay 66, velas / santería / Yoruba",research
Articulos religiosos,"Tarot, lociones y velas esotericas",Tienda Esotérica MX,https://tiendaesoterica.com.mx/,,,México,México,México,Ecom,Media,3,"Tarot, velas, wicca, amuletos, runas",research
Articulos religiosos,"Tarot, lociones y velas esotericas",Café Libertad,,,,CDMX,CDMX,México,Tienda,Baja,1,"Condesa: sahumerios, velas aromáticas y productos para rituales",research
Articulos religiosos,"Tarot, lociones y velas esotericas",La Cofradía WitchCraft Store,,,,CDMX,CDMX,México,Tienda,Baja,1,"Kits de hechizos, suministros de altar, velas, libros y joyas paganas",research
Articulos religiosos,"Tarot, lociones y velas esotericas",Makia,,,,CDMX,CDMX,México,Tienda,Baja,1,"C. Querétaro 182G, Roma Norte: cuarzos, amuletos, sahumerios y velas",research
Articulos religiosos,"Tarot, lociones y velas esotericas",Piedra de Luna,,,,CDMX,CDMX,México,Tienda,Baja,1,Velas aromáticas con ingredientes orgánicos y cuarzos incrustados,research
Articulos religiosos,"Tarot, lociones y velas esotericas",Todos los Ángeles,,,,CDMX,CDMX,México,Tienda,Baja,1,"Veladoras de alta magia, Flores de Bach y artículos Feng Shui",research
Articulos religiosos,"Tarot, lociones y velas esotericas",Velas Artesanal MX (Monte Vitro),,,,México,México,México,Marca,Baja,1,"Velas aromáticas citronela en balde, 4.8★ vía ML",brand
Articulos religiosos,"Tarot, lociones y velas esotericas",Víctor Tarot,,,,CDMX,CDMX,México,Tienda,Baja,1,"Calz. Acoxpa 550, Prado Coapa: cuarzos, inciensos, velas y tarot",research
