giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Belleza,"Shampoo artesanal, shampoo con tinte",Bam Boo Lifestyle,https://www.bamboolifestyle.com.mx/,onnearrss@gmail.com,5579388337,CDMX,CDMX,México,Marca eco,Alta,9,"Saratoga 904 Benito Juárez, shampoo sólido rizos",research
Belleza,"Shampoo artesanal, shampoo con tinte",Don Juan Beauty Supply,https://donjuan.mx/,contacto@donjuan.mx,6621940726,Hermosillo,Sonora,México,Mayoreo,Alta,9,"Keratina, cremas, ampolletas, L-S 9-17",research
Belleza,"Shampoo artesanal, shampoo con tinte",Jabones Artesanales Ordaz,https://www.jabonesartesanalesordaz.net/,ventas@jabonesartesanalesordaz.net,5536169938,CDMX,CDMX,México,Fabricante,Alta,9,"Avena 161 Granjas Esmeralda Iztapalapa, WA 5514966392",research
Belleza,"Shampoo artesanal, shampoo con tinte",RIS.O.S.,https://risos.com.mx/tienda/,,5564657515,CDMX,CDMX,México,Marca rizos,Alta,6,Mariano Escobedo 194 Miguel Hidalgo 11320,research
Belleza,"Shampoo artesanal, shampoo con tinte",Rizos Mexicanos,https://www.rizosmexicanos.com/,,5514718602,México,México,México,Marca D2C,Alta,5,"Shampoo sólido avena, rizos, sin sulfatos",research
Belleza,"Shampoo artesanal, shampoo con tinte",AMAI MX,https://amai.mx/,,,México,México,México,Marca D2C,Media,3,Shampoo en barra anticaída / rizos / hidratación,research
Belleza,"Shampoo artesanal, shampoo con tinte",MEIDU México,https://www.meidu.com.mx/,,5511336665,México,México,México,Ejemplo original,Media,4,Ejemplo del cliente — shampoo tinte 3 en 1 cubre canas,ejemplo_cliente
Belleza,"Shampoo artesanal, shampoo con tinte",OnlyShop México,https://www.onlyshop.com.mx/,,,México,México,México,Ecom,Media,3,Shampoo tinte cubre canas jengibre 500ml; sin amoníaco,research
Belleza,"Shampoo artesanal, shampoo con tinte","Shampoo artesanal, shampoo con tinte (ejemplo original)",https://www.meidu.com.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Belleza,"Shampoo artesanal, shampoo con tinte",Avellana Beauty Eco Boutique,,,,México,México,México,Marca,Baja,1,"Shampoo sólido anti-canas a base de nogal, salvia y romero",brand
Belleza,"Shampoo artesanal, shampoo con tinte",Baregk,,,,México,México,México,Marca,Baja,1,"Tinte shampoo café castaño en sobres, vía ML",brand
Belleza,"Shampoo artesanal, shampoo con tinte",Kaisasa,,,,México,México,México,Marca,Baja,1,Shampoo con tinte cubre canas jengibre; 4.7★ (687 reseñas) vía ML,brand
Belleza,"Shampoo artesanal, shampoo con tinte",Lu'um Nuestra Tierra,,,,México,México,México,Marca,Baja,1,Shampoo matizante de canas sólido,brand
Belleza,"Shampoo artesanal, shampoo con tinte",Raíces Co,,,,México,México,México,Marca,Baja,1,"Shampoo sólido anti-canas de nogal, $180/90g",brand
