giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Merceria,Hilos y estambre,Agujas de gancho extra,http://www.estambressansebastian.com.mx/,,2222669886,Puebla,Puebla,México,Insumo,Alta,5,Crochet,research
Merceria,Hilos y estambre,Alize extra,https://www.estambresymerceria.com.mx/,,5562124807,México,México,México,Marca,Alta,5,Import Tapyarte,brand
Merceria,Hilos y estambre,Carta de colores extra,,pedidos@hilosomega.com.mx,5555228660,CDMX,CDMX,México,Soporte,Alta,6,Catálogo Omega,research
Merceria,Hilos y estambre,Clases de tejido extra,http://www.estambressansebastian.com.mx/,,2222669886,Puebla,Puebla,México,Educación,Alta,5,Si no sabe tejer le enseñamos,research
Merceria,Hilos y estambre,Cluster Mesones extra,https://www.hilosyestambresdemexicosadecv.com/,hemsa20132@gmail.com,5555227065,CDMX,CDMX,México,Cluster,Alta,7,Centro Histórico mercería,research
Merceria,Hilos y estambre,Cluster San Antonio Abad extra,,pedidos@hilosomega.com.mx,5555228660,CDMX,CDMX,México,Cluster,Alta,5,Omega / Tránsito,research
Merceria,Hilos y estambre,Confeccionistas extra,,hilosp-laconfeccion@hotmail.com,5557091812,CDMX,CDMX,México,Canal B2B,Alta,7,Hilo industrial,research
Merceria,Hilos y estambre,Conos 5k extra,,pedidos@hilosomega.com.mx,5555228660,CDMX,CDMX,México,Mayoreo,Alta,7,Industrial,research
Merceria,Hilos y estambre,Cordón de algodón extra,https://makrama.com.mx/,contacto@makrama.mx,2214418442,Puebla,Puebla,México,Producto,Alta,8,Wall hanging,research
Merceria,Hilos y estambre,Dasa extra,http://www.estambressansebastian.com.mx/,,2222669886,Puebla,Puebla,México,Marca,Alta,6,Estambre,brand
Merceria,Hilos y estambre,Día de las madres extra,https://makrama.com.mx/,,2214418442,Puebla,Puebla,México,Temporada,Alta,5,Kits regalo,research
Merceria,Hilos y estambre,El Gato extra,https://www.estambresymerceria.com.mx/,,5562124807,México,México,México,Marca,Alta,5,Nacional,brand
Merceria,Hilos y estambre,Envíos HEMSA extra,https://www.hilosyestambresdemexicosadecv.com/,hemsa20132@gmail.com,5555227065,CDMX,CDMX,México,Logística,Alta,8,Cotiza WhatsApp,research
Merceria,Hilos y estambre,Envíos San Sebastián extra,http://www.estambressansebastian.com.mx/,,2222669886,Puebla,Puebla,México,Logística,Alta,5,Toda la República,research
Merceria,Hilos y estambre,Estambre acrílico extra,http://www.estambressansebastian.com.mx/,,2222669886,Puebla,Puebla,México,Producto,Alta,5,Mayoreo ovillos,research
Merceria,Hilos y estambre,Expo mercería extra,,pedidos@hilosomega.com.mx,5555228660,CDMX,CDMX,México,Expo,Alta,6,Textil,research
Merceria,Hilos y estambre,Facebook Makrama extra,https://makrama.com.mx/,contacto@makrama.mx,2214418442,Puebla,Puebla,México,Canal,Alta,8,Social,research
