giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Papeleria,Bolsas de regalo,BK Bolsas,https://bolsasbk.com.mx/,ventas@bolsasbk.com.mx,5554567770,Naucalpan,EdoMex,México,Fabricante,Alta,9,"Chalco 26 El Conde, kraft / tote / tornasol desde 50 pzas",research
Papeleria,Bolsas de regalo,BolsaDeRegalo / Cachito Mío,https://bolsaderegalo.com/,hola@bolsaderegalo.com,5543960137,CDMX,CDMX,México,Mayoreo,Alta,9,"Misioneros 7 Local 3 Centro, L-S 8-17:45 Dom 9-13:30",research
Papeleria,Bolsas de regalo,CORPER,https://corper.mx/,ventas@corper.mx,5544568805,CDMX,CDMX,México,Fabricante,Alta,9,"Bolsas de papel personalizadas desde 1000 pzas, WA 5531262547",research
Papeleria,Bolsas de regalo,Creear,https://creear.mx/,,5549491671,CDMX,CDMX,México,Ejemplo original,Alta,5,"Ejemplo del cliente — bolsas y envolturas, cotiza 5591881827",ejemplo_cliente
Papeleria,Bolsas de regalo,Cristaline,https://www.cristaline.mx/,ventas@cristaline.mx,5515411753,Tlalnepantla,EdoMex,México,Fabricante,Alta,9,"34 años fabricando bolsas de celofán y pliegos para regalo; Guadalajara 17, Const. 1917",research
Papeleria,Bolsas de regalo,Packsys,https://packsys.com/,info@packsys.com,5515004000,Tepotzotlán,EdoMex,México,Mayoreo,Alta,9,"México-Qro Km 37.5 Texcacoa, L-V 8-18",research
Papeleria,Bolsas de regalo,Bolsas de regalo (ejemplo original),https://creear.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Papeleria,Bolsas de regalo,Bolsas Papel Kraft CDMX,https://bolsaspapelkraftcdmx.com/,,,CDMX,CDMX,México,Fabricante,Media,4,Kraft / cartón por mayor,research
Papeleria,Bolsas de regalo,BÖRSE,https://borse.com.mx/,,,,,México,Fabricante,Media,3,"Bolsas personalizadas de plástico, papel y tela para uso promocional y comercial",research
Papeleria,Bolsas de regalo,El Centro Bolsero,https://www.elcentrobolserosa.com/,,,CDMX,CDMX,México,Distribuidor,Media,4,"60+ años; bolsas de papel con/sin asas, envolturas y cajas para regalo",research
Papeleria,Bolsas de regalo,Entelequia,https://desechablesbiodegradables.com/collections/bolsas-papel-kraft,,,CDMX,CDMX,México,Mayoreo,Media,4,"Kraft alimentos, envío gratis CDMX >$3900",research
Papeleria,Bolsas de regalo,FABOLSA,,,,CDMX,CDMX,México,Fabricante,Media,2,"Fábrica de bolsas y envolturas; Eje 5 Ote (Javier Rojo Gómez) 468B, Iztapalapa; 51-100 empleados",research
Papeleria,Bolsas de regalo,FiuBags,https://fiubags.mx/,,,Puebla,Puebla,México,Fabricante,Media,4,"Fábrica de bolsas de tela (manta, loneta, poliéster) en Puebla/Tlaxcala; personalización desde 100 pzs",research
Papeleria,Bolsas de regalo,Emepak,,,,México,México,México,Marca,Baja,1,"Bolsas kraft personalizadas 150u y de regalo, vía ML",brand
