giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Ropa y calzado,"Tenis, botas, playeras",Calzado Andy Mayoreo,https://calzadoandymexmayoreo.com/,calzado.andy12331@gmail.com,4777631422,León,Guanajuato,México,Fabricante,Alta,9,"Paseo de los Cóndores 203 San Isidro, desde 1991",research
Ropa y calzado,"Tenis, botas, playeras",Mayoreo de Tenis,https://www.mayoreodetenis.com.mx/,contacto@mayoreodetenis.com.mx,4761490544,San Francisco del Rincón,Guanajuato,México,Mayoreo,Alta,9,Envíos México,research
Ropa y calzado,"Tenis, botas, playeras",Mayoreo de Zapato León,https://mayoreo-de-zapato-en-leon-gto.ueniweb.com/,,4772082506,León,Guanajuato,México,Mayoreo,Alta,6,Zapatería mayorista,research
Ropa y calzado,"Tenis, botas, playeras",Mayoreo Tenis MTY,https://www.facebook.com/MayoreoTenisMTY/,shoesf56@gmail.com,8115148837,Monterrey,NL,México,Mayoreo,Alta,9,Juárez 470 Sur entre 5 y 15 de Mayo,research
Ropa y calzado,"Tenis, botas, playeras",Mi Tennis,https://www.mitennis.mx/,,5594629696,Huixquilucan,EdoMex,México,Retail,Alta,5,"Parque Interlomas, WA 5574546190",research
Ropa y calzado,"Tenis, botas, playeras",Mistertennis,https://www.mistertennis.shop/,contacto@mtsport.com.mx,2222123151,Puebla,Puebla,México,Retail deportivo,Alta,8,Calzado y ropa tennis,research
Ropa y calzado,"Tenis, botas, playeras",Tenis Mayoreo,https://tenismayoreo.com/,,4761900834,San Francisco del Rincón,Guanajuato,México,Mayoreo,Alta,6,"Fábrica, cajas cerradas 6 pares, $1200-1500",research
Ropa y calzado,"Tenis, botas, playeras",Tenis Morgan,https://www.tenismorgan.com/,,4774958719,León,Guanajuato,México,Mayoreo,Alta,6,500+ modelos; proveedor de tenis mayoreo en León; Calle Juan Nepomuceno Herrera 608a,research
Ropa y calzado,"Tenis, botas, playeras",LHESH,https://lhesh.mx/,,,México,México,México,Mayoreo,Media,3,Botas tácticas / lona por caja 12 pares,research
Ropa y calzado,"Tenis, botas, playeras",Mayoreando,https://mayoreando.mx/,,,México,México,México,Mayoreo,Media,3,Playeras / jerseys deportivos,research
Ropa y calzado,"Tenis, botas, playeras",Mayoreo Borcelle,,,4777320943,León,Guanajuato,México,Mayoreo,Media,4,"Prendas $100, mayoreo y menudeo",research
Ropa y calzado,"Tenis, botas, playeras",Miky Shop,https://mikyshop.com.mx/,,,México,México,México,Ejemplo original,Media,2,"Ejemplo del cliente — tenis, botas, playeras",ejemplo_cliente
Ropa y calzado,"Tenis, botas, playeras",MOGA Shoes MX,,,4776025037,León,Guanajuato,México,Mayoreo,Media,4,"Calzado femenino, envíos República",research
Ropa y calzado,"Tenis, botas, playeras",Tenis Clon Mayoreo León,,,,León,Guanajuato,México,Mayoreo,Media,2,"Venta de tenis al mayoreo por corridas; La Luz 1213, León Centro",research
Ropa y calzado,"Tenis, botas, playeras","Tenis, botas, playeras (ejemplo original)",https://mikyshop.com.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
