giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Belleza,"Skincare, cosmeticos",Beauty Care Latam,https://beautycarelatam.com.mx/,,5591382000,CDMX,CDMX,México,Mayoreo,Alta,6,Reforma 1015 Piso 5 Lomas Santa Fe,research
Belleza,"Skincare, cosmeticos",Beauty Latin México,https://www.beautylatinmexico.com.mx/,,4492114422,Aguascalientes,Aguascalientes,México,Distribuidor,Alta,6,Nacionales e internacionales,research
Belleza,"Skincare, cosmeticos",Bond's Boutique,https://www.bondsboutique.com.mx/,ventas@bondsboutique.com.mx,5555585862,CDMX,CDMX,México,Tienda artística,Alta,8,"Calle 61 #110 Col. Puebla, L-V 9-18 S 9-15",research
Belleza,"Skincare, cosmeticos",Cosmetics CDMX Mayoreo,https://www.facebook.com/cdmxcosmeticosmayoreo/,,5577619644,CDMX,CDMX,México,Mayoreo,Alta,6,"Transvaal 531 int 1, sin mínimo, envíos República",research
Belleza,"Skincare, cosmeticos",KBeauty MX,https://kbeautymx.com/,contacto.kbeautymx@gmail.com,,México,México,México,K-beauty,Alta,5,"Skin1004, Tocobo, Medicube, L-V 9-18",research
Belleza,"Skincare, cosmeticos",Klara Beauty,https://klarabeauty.com.mx/,hola@klarabeauty.com.mx,4776121896,León,Guanajuato,México,K-beauty,Alta,8,"Muralista Latino 204, marcas coreanas originales",research
Belleza,"Skincare, cosmeticos",MakeupMX Distribuidora,https://makeupmx.com/,equipomakeupmx@gmail.com,4424673394,Querétaro,Querétaro,México,Mayoreo,Alta,9,"Campo Real 1402 local 4 El Refugio, K-beauty",research
Belleza,"Skincare, cosmeticos",Mayoreo y Más Mérida,,judithy5@hotmail.com,9984082106,Mérida,Yucatán,México,Mayoreo,Alta,7,"Calle 86 B #544 Centro, Chedraui Itzaes",research
Belleza,"Skincare, cosmeticos",Meriti Cosmetics,https://meriticosmetics.com.mx/,,5528655026,CDMX,CDMX,México,Ejemplo original,Alta,5,"Ejemplo del cliente — Balsas 14 Benito Juárez, ecom express",ejemplo_cliente
Belleza,"Skincare, cosmeticos",The Makeup Center,https://themakeupcenter.com/,ventas@themakeupc.com,5565491471,CDMX,CDMX,México,Tienda profesional,Alta,8,"Roma Norte, Kryolan / academia",research
Belleza,"Skincare, cosmeticos",Yoon Lab,https://yoonlab.mx/,contacto@yoonlab.mx,5520041035,CDMX,CDMX,México,K-beauty,Alta,8,"Juan Salvador Agraz 73, skincare coreano auténtico",research
Belleza,"Skincare, cosmeticos",Celiz,https://www.celiz.com.mx/,,,México,México,México,Mayoreo,Media,3,Proveedor de skincare coreano al mayoreo (50% desc al invertir $30k),research
Belleza,"Skincare, cosmeticos",Halo Skin,https://haloskin.mx/,,,México,México,México,K-beauty,Media,2,Skincare coreano D2C,research
Belleza,"Skincare, cosmeticos",Laly Skin,https://www.lalyskin.com/,,,México,México,México,Mayoreo,Media,3,Mayoreo de skincare coreano en línea,research
Belleza,"Skincare, cosmeticos",Piel Coreana,https://www.pielcoreana.com/,,,México,México,México,Mayoreo,Media,3,8+ años con marcas coreanas; mayoreo K-beauty con factura y envíos express,research
Belleza,"Skincare, cosmeticos","Skincare, cosmeticos (ejemplo original)",https://meriticosmetics.com.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Belleza,"Skincare, cosmeticos",Youngmi,https://youngmi.mx/,,,México,México,México,K-beauty,Media,2,"+800 productos COSRX, Anua, Medicube",research
Belleza,"Skincare, cosmeticos",Kkul,,,,México,México,México,Mayoreo,Baja,1,Skincare coreano a precio de mayoreo desde 1 pieza; envíos MX y USA,research
