giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Belleza,"Productos para uñas (esmaltes, pegamentos, piedritas)",Bella Bella Distribuidora,https://bellabella.mx/,ventas@bellabella.mx,5588530819,CDMX,CDMX,México,Mayoreo,Alta,9,"Mín. $8000, WA 5614874776, Miss Cherry / Fantasy",research
Belleza,"Productos para uñas (esmaltes, pegamentos, piedritas)",Círculo B,https://circulob.mx/,contacto@circulob.mx,2381270502,Tehuacán,Puebla,México,Ejemplo original,Alta,8,"Ejemplo del cliente — esmaltes, pegamentos, piedritas",ejemplo_cliente
Belleza,"Productos para uñas (esmaltes, pegamentos, piedritas)",Fantasy Nails Shop CDMX,https://www.facebook.com/fantasynailscdmx/,,5579007784,CDMX,CDMX,México,Mayoreo,Alta,6,Envíos nacionales,research
Belleza,"Productos para uñas (esmaltes, pegamentos, piedritas)",Mc Nails México,https://www.mcnailsmexico.com/,ventas@mcnailsmexico.com,5570290745,CDMX,CDMX,México,Mayoreo,Alta,9,Productos para uñas y accesorios; mayoreo WhatsApp 55 1224 2149,research
Belleza,"Productos para uñas (esmaltes, pegamentos, piedritas)",Nails Shop SLP,https://www.nailsshop.com.mx/,,4448096424,San Luis Potosí,SLP,México,Mayoreo,Alta,6,"Río Verde 315, Fantasy/Organic/Wapizima",research
Belleza,"Productos para uñas (esmaltes, pegamentos, piedritas)",Romez Distribuidora,https://www.romezdistribuidora.com.mx/,,4448096424,San Luis Potosí,SLP,México,Mayoreo,Alta,6,"Fantasy Nails, Organic, Mc Nails, Wapizima, Gelish; Carretera Río Verde 315; subdistribuidor",research
Belleza,"Productos para uñas (esmaltes, pegamentos, piedritas)",Wapizima,https://wapizima.shop/,antonio@wapizima.info,,México,México,México,Marca,Alta,6,Esmaltes y acrílico nacional,research
Belleza,"Productos para uñas (esmaltes, pegamentos, piedritas)",Cyndy Nails,,,5512242149,Tlalnepantla,EdoMex,México,Mayoreo,Media,4,"Venta de productos para uñas; Moctezuma 104, Tlalnepantla",research
Belleza,"Productos para uñas (esmaltes, pegamentos, piedritas)",MC Nails Oficial,https://mcnails.mx/,,,México,México,México,Marca,Media,3,"Kits de polygel, acrílico y esmaltes semipermanentes premium",brand
Belleza,"Productos para uñas (esmaltes, pegamentos, piedritas)","Productos para uñas (esmaltes, pegamentos, piedritas) (ejemplo original)",https://circulob.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Belleza,"Productos para uñas (esmaltes, pegamentos, piedritas)",Wapizima Tienda,https://wapizima.shop/,,,Guadalajara,Jalisco,México,Marca,Media,4,Mayoreo de productos de uñas en GDL; asesoría a manicuristas,research
Belleza,"Productos para uñas (esmaltes, pegamentos, piedritas)",Miss Cherry,,,,México,México,México,Marca,Baja,1,"Kit poligel/acrigel sistema dual, vía ML",brand
Belleza,"Productos para uñas (esmaltes, pegamentos, piedritas)",MISSTU,,,,México,México,México,Marca,Baja,1,"Kit polygel Beaucat 18 pcs, más vendido en ML",brand
Belleza,"Productos para uñas (esmaltes, pegamentos, piedritas)",Studio Nails,,,,México,México,México,Marca,Baja,1,"Polygel en colores, 4.8★ vía ML",brand
