giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Hogar,"Utensilios de cocina, tuppers",ACMA Plastics,https://acmaplastics.com/,hola@acmaplastics.com,5561063801,Nextlalpan,EdoMex,México,Fabricante,Alta,9,"Fabricante PP: cubetas, tuppers, tazas, palanganas; mayoreo directo de fábrica",research
Hogar,"Utensilios de cocina, tuppers",Almacenes Anfora,https://anfora.com/,ventas@anfora.com,7717163100,Mineral de la Reforma,Hidalgo,México,Cadena,Alta,8,"85+ años; fábrica Camino a Pozos Téllez km 1.5, HGO; 85+ años; fábrica Camino a Pozos Téllez km 1.5, HGO; 85+ años: utensilios, vajillas, cristalería y electrodomésticos",research
Hogar,"Utensilios de cocina, tuppers",Anfora showroom Constituyentes,https://anfora.com/,,5568004839,CDMX,CDMX,México,Sucursal,Alta,5,"Av. Constituyentes 345, Daniel Garza; cita 55 6800 4839",research
Hogar,"Utensilios de cocina, tuppers",Anfora tienda fábrica CDMX,https://anfora.com/,,5555885426,CDMX,CDMX,México,Sucursal,Alta,5,"Dr. Lucio 181, Col. Doctores; 55 5588 5426",research
Hogar,"Utensilios de cocina, tuppers",Anforama,https://anforama.com/,contacto@anforama.com,5555108826,CDMX,CDMX,México,Cadena,Alta,8,5000+ artículos cocina y comedor; 34 sucursales CDMX/metro/Bajío; 5000+ artículos cocina y comedor; 34 sucursales CDMX/metro/Bajío; 5000+ artículos cocina y comedor; mayoreo con cotización,research
Hogar,"Utensilios de cocina, tuppers",Anforama WhatsApp canal,https://anforama.com/,,5538559676,CDMX,CDMX,México,Canal,Alta,5,WhatsApp 55 3855 9676,research
Hogar,"Utensilios de cocina, tuppers",MAHA Food Service,https://maha.com.mx/,hola@maha.com.mx,,CDMX,CDMX,México,Mayoreo,Alta,7,"Food service: vajillas, cristalería, tuppers y desechables para restaurantes",research
Hogar,"Utensilios de cocina, tuppers",Surtiloza,https://surtiloza.mx/,ventas@surtiloza.com,3323851294,Guadalajara,Jalisco,México,Ejemplo original,Alta,8,"Ejemplo del cliente — loza, utensilios y equipo de cocina; ventas@surtiloza.com; Ejemplo del cliente — loza, utensilios y equipo de cocina; ventas@surtiloza.com; Ejemplo del cliente — utensilios de cocina y tuppers",ejemplo_cliente
Hogar,"Utensilios de cocina, tuppers",Surtiloza WhatsApp canal,https://surtiloza.mx/,,3323851294,Guadalajara,Jalisco,México,Canal,Alta,5,WhatsApp ventas empresas (33) 2385 1294,research
Hogar,"Utensilios de cocina, tuppers",Tupperware Amanecer,https://www.tupperwareamanecer.com/,haydeeunasconestilo@gmail.com,5528949718,CDMX,CDMX,México,Distribuidor,Alta,9,"Catálogo GAM, 35 años, venta a domicilio",research
Hogar,"Utensilios de cocina, tuppers",Tupperware México,https://www.tupperware.com.mx/,ecommerce@tupperware.com,5525577600,CDMX,CDMX,México,Marca,Alta,9,"Paseo de los Laureles 458, Cuajimalpa; 55+ años en MX",brand
