giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Electronica,"Audifonos bluetooth, cargadores, fundas",Cargador tipo C 20W,https://keiz.mx/,ventas@keiz.mx,8122235059,Monterrey,Nuevo León,México,Producto,Alta,8,Combo cargador tipo C,research
Electronica,"Audifonos bluetooth, cargadores, fundas",Distribuidora OEM,https://distribuidoraoem.mx/,info@distribuidoraoem.com,8180751009,Monterrey,Nuevo León,México,Mayoreo,Alta,9,Hidalgo 116 Local A8 Centro; stock para revendedores,research
Electronica,"Audifonos bluetooth, cargadores, fundas",Keiz cargadores,https://keiz.mx/,ventas@keiz.mx,8122235059,Monterrey,Nuevo León,México,Producto,Alta,8,Cargadores Tipo C/V8 por caja de 200 pzs,research
Electronica,"Audifonos bluetooth, cargadores, fundas",Keiz power bank,https://keiz.mx/,ventas@keiz.mx,8122235059,Monterrey,Nuevo León,México,Producto,Alta,8,GAR117 20000mAh caja 50 pzs,research
Electronica,"Audifonos bluetooth, cargadores, fundas",Keiz.mx,https://keiz.mx/,ventas@keiz.mx,8122235059,Monterrey,Nuevo León,México,Mayoreo,Alta,9,Plaza Mayoreo del Celular; cajas por mayoreo,research
Electronica,"Audifonos bluetooth, cargadores, fundas",Mayoreando,https://mayoreando.mx/,,5525952700,CDMX,CDMX,México,Ecom,Alta,6,"Sur 73 228, Iztapalapa; audífonos y accesorios; Sur 73 228, Iztapalapa; audífonos y accesorios; Tienda mayoreo en línea: audífonos y accesorios",research
Electronica,"Audifonos bluetooth, cargadores, fundas",Mayoreo Vip,https://mayoreo.vip/,ventas@mayoreo.vip,5591706245,CDMX,CDMX,México,Mayoreo,Alta,9,Centro CDMX; mínimos 40-100 pzs,research
Electronica,"Audifonos bluetooth, cargadores, fundas",MayoreoTotal,https://www.mayoreototal.mx/,info@mayoreototal.mx,5512486231,CDMX,CDMX,México,Mayoreo,Alta,9,"Contra entrega; audífonos, cargadores y accesorios",research
Electronica,"Audifonos bluetooth, cargadores, fundas",Moreka BL019 audífonos,https://www.moreka.tienda/,,3344980702,Guadalajara,Jalisco,México,Producto,Alta,5,"Audífonos TWS BL019 ANC 19hrs, BT 5.3",research
Electronica,"Audifonos bluetooth, cargadores, fundas",Moreka Shop,https://www.moreka.tienda/,sales@morekashop.com,3344980702,Guadalajara,Jalisco,México,Fabricante,Alta,9,"Fabricante MX de accesorios celular: cargadores, bocinas, audífonos; Ramón Corona 196 Centro",research
