giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Papeleria,Mochilas y utiles escolares,Agendas Plus 2o tel,https://mochilascarpetasyagendasplus.com/,,5555194935,CDMX,CDMX,México,Canal,Alta,5,55 5519 4935,research
Papeleria,Mochilas y utiles escolares,Aguiglez Products,https://aguiglez.com.mx/mochilas-aguiglez/,aguiglez@gmail.com,4777111542,León,Guanajuato,México,Fabricante,Alta,9,"Fabricante mochilas escolar/universitaria/laboral, mín. 50 pzs, hecho en MX",research
Papeleria,Mochilas y utiles escolares,Aguiglez WhatsApp,https://aguiglez.com.mx/mochilas-aguiglez/,,4776479087,León,Guanajuato,México,Canal,Alta,5,WhatsApp (477) 647 9087,research
Papeleria,Mochilas y utiles escolares,Lonchera térmica producto,https://mochilasybackpacks.com/,,5592624315,CDMX,CDMX,México,Producto,Alta,5,Loncheras térmicas 25x26 cm,research
Papeleria,Mochilas y utiles escolares,Mayoreo Monterrey,https://mayoreomonterrey.com.mx/,ventas@mayoreomonterrey.com.mx,8117988059,Monterrey,Nuevo León,México,Mayoreo,Alta,9,"Mochilas, bolsos y accesorios por volumen; envíos nacionales",research
Papeleria,Mochilas y utiles escolares,Mochila antirrobo producto,https://aguiglez.com.mx/mochilas-aguiglez/,,4777111542,León,Guanajuato,México,Producto,Alta,5,BP47 antirrobo,research
Papeleria,Mochilas y utiles escolares,Mochila porta laptop producto,https://aguiglez.com.mx/mochilas-aguiglez/,,4777111542,León,Guanajuato,México,Producto,Alta,5,BP3 backpack escolar con compartimento laptop,research
Papeleria,Mochilas y utiles escolares,Mochilas & Backpacks,https://mochilasybackpacks.com/,,5592624315,CDMX,CDMX,México,Fabricante,Alta,6,"Calz. Mariano Escobedo 476 P.12, Anzures; desde 50 pzs; envíos MX/USA",research
Papeleria,Mochilas y utiles escolares,Mochilas & Backpacks WA,https://mochilasybackpacks.com/,,5564552687,CDMX,CDMX,México,Canal,Alta,5,WhatsApp +52 55 6455 2687,research
Papeleria,Mochilas y utiles escolares,"Mochilas, Carpetas y Agendas Plus",https://mochilascarpetasyagendasplus.com/,contacto2@carpetasyagendasplus.com.mx,5554407000,CDMX,CDMX,México,Mayoreo,Alta,9,Proveedores de mochilas y útiles por mayoreo CDMX,research
Papeleria,Mochilas y utiles escolares,Office Depot México,https://www.officedepot.com.mx/,,5525820910,CDMX,CDMX,México,Retail,Alta,5,Papelería y mochilas; pedidos 55 2582 0900,brand
Papeleria,Mochilas y utiles escolares,Amazon MX mochilas,https://www.amazon.com.mx/s?k=mochilas+escolares,,,México,México,México,Marketplace,Media,2,Sellers de mochilas escolares,research
Papeleria,Mochilas y utiles escolares,Carsa,https://carsa.com.mx/,,,CDMX,CDMX,México,Marca,Media,4,"Mochilas, loncheras y útiles escolares MX",brand
Papeleria,Mochilas y utiles escolares,D165 Fabricante Tepito,,,,CDMX,CDMX,México,Fabricante,Media,2,"Fabricante mochila escolar por mayoreo, Col. Tepito",research
Papeleria,Mochilas y utiles escolares,Ducas,https://www.ducas.mx/,,,CDMX,CDMX,México,Marca,Media,4,Mochilas y loncheras mexicanas (Grupo Ducas),brand
Papeleria,Mochilas y utiles escolares,La Reyna del Mayoreo,https://lareynadelmayoreo.com/,,,CDMX,CDMX,México,Mayoreo,Media,4,"Lotes de combos mochila escolar 3pz, figuras 3D, útiles",research
Papeleria,Mochilas y utiles escolares,Lapiceras producto,https://lareynadelmayoreo.com/,,,CDMX,CDMX,México,Producto,Media,3,Lapiceras 23x10 cm en combos,research
Papeleria,Mochilas y utiles escolares,Lumen,https://www.lumen.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Mayoreo de útiles escolares y papelería,brand
Papeleria,Mochilas y utiles escolares,Mayoreo Didáctico,https://www.mayoreodidactico.mx/,,,,,México,Mayoreo,Media,3,Escolares y didácticos por mayoreo,research
Papeleria,Mochilas y utiles escolares,ML mochilas mayoreo,https://listado.mercadolibre.com.mx/mochilas-mayoreo,,,México,México,México,Marketplace,Media,2,"Lotes mayoreo: YOMI, IFORU, OEM…",research
Papeleria,Mochilas y utiles escolares,Mochilas y utiles escolares (ejemplo original),https://samsonite.com.mx/collections/mochilas-escolares,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Papeleria,Mochilas y utiles escolares,Office Max México,https://www.officemax.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Cadena de papelería y escolares,brand
Papeleria,Mochilas y utiles escolares,Papelería El Sótano,https://www.elsotano.com/,,,CDMX,CDMX,México,Retail,Media,3,Librería y útiles,brand
Papeleria,Mochilas y utiles escolares,Pelikan México,https://www.pelikan.com.mx/,,,,,México,Marca,Media,3,Papelería y útiles escolares,brand
Papeleria,Mochilas y utiles escolares,Samsonite México (ejemplo),https://samsonite.com.mx/collections/mochilas-escolares,,,Naucalpan,EdoMex,México,Ejemplo original,Media,3,Ejemplo del cliente — mochilas escolares; Blvd Manuel Ávila Camacho 5 Torre B P.24,ejemplo_cliente
Papeleria,Mochilas y utiles escolares,Samsonite México corporativo,https://www.samsonite.com.mx/,,,Naucalpan,EdoMex,México,Marca,Media,4,SAMSONITE MEXICO S.A. DE C.V. — oficinas Lomas de Sotelo,brand
Papeleria,Mochilas y utiles escolares,Totto México,https://www.totto.com/mexico,,,,,México,Marca,Media,3,"Mochilas y morrales, operación MX",brand
Papeleria,Mochilas y utiles escolares,Barrilito,,,,,,México,Marca,Baja,1,"Útiles escolares y papelería, marca MX",brand
Papeleria,Mochilas y utiles escolares,Boutique escolar Chilpancingo,,,,Chilpancingo,Guerrero,México,Regional,Baja,1,Mochilas y accesorios,research
Papeleria,Mochilas y utiles escolares,Boutique escolar Ciudad Victoria,,,,Ciudad Victoria,Tamaulipas,México,Regional,Baja,1,Mochilas y accesorios,research
Papeleria,Mochilas y utiles escolares,Boutique escolar Cuautitlán Izcalli,,,,Cuautitlán Izcalli,EdoMex,México,Regional,Baja,1,Mochilas y accesorios,research
Papeleria,Mochilas y utiles escolares,Boutique escolar Ecatepec,,,,Ecatepec,EdoMex,México,Regional,Baja,1,Mochilas y accesorios,research
