giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Refaccionaria,Refacciones automotrices,Dago Hidalgo,https://dago.com.mx/,hidalgo@dago.com.mx,,Pachuca,Hidalgo,México,Sucursal,Alta,6,"Río Tamazula 223, Issste, Pachuca",research
Refaccionaria,Refacciones automotrices,Dago Refacciones,https://dago.com.mx/,toluca@dago.com.mx,,Toluca,EdoMex,México,Mayoreo,Alta,7,"15+ años; Toluca, Querétaro, Pachuca y Puebla; catálogos NGK/filtros",research
Refaccionaria,Refacciones automotrices,Filtros producto,https://dago.com.mx/,toluca@dago.com.mx,,Toluca,EdoMex,México,Producto,Alta,6,Catálogo de filtros 2025,research
Refaccionaria,Refacciones automotrices,Mayoreo Automotriz ML,https://www.mayoreoautomotrizml.com.mx/,mayoreomlventas@gmail.com,3331124080,Guadalajara,Jalisco,México,Mayoreo,Alta,9,"Béjar 1667, Sta. Elena de la Cruz; BAW, CAP, Cauplas, Profilter",research
Refaccionaria,Refacciones automotrices,Mayoreo ML 2o tel,https://www.mayoreoautomotrizml.com.mx/,,3334500960,Guadalajara,Jalisco,México,Canal,Alta,5,33 3450 0960,research
Refaccionaria,Refacciones automotrices,Nikko Autoparts,https://www.nikkoauto.mx/,,5557161400,CDMX,CDMX,México,Mayoreo,Alta,6,"50+ años; 15,000 productos; Av. Javier Rojo Gómez 1201, Iztapalapa",research
Refaccionaria,Refacciones automotrices,Todo Refacciones,https://todorefacciones.mx/,ventas@todorefacciones.mx,8134407739,Monterrey,Nuevo León,México,Mayoreo,Alta,9,"Arteaga 948 Centro, MTY; mayoreo, distribución e importación",research
Refaccionaria,Refacciones automotrices,Amazon MX autopartes,https://www.amazon.com.mx/s?k=refacciones+automotrices,,,México,México,México,Marketplace,Media,2,Sellers de autopartes,research
Refaccionaria,Refacciones automotrices,AutoZone México,https://www.autozone.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Refaccionarias de autoservicio,brand
Refaccionaria,Refacciones automotrices,Baleros y rodamientos producto,https://www.masterautopartes.com/,,,CDMX,CDMX,México,Producto,Media,3,Línea baleros y rodamientos,research
Refaccionaria,Refacciones automotrices,Bosch México,https://www.bosch.com.mx/,,,,,México,Marca,Media,3,Autopartes,brand
