giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Regalos,Scoops / sorpresas,Cool Scoops MX,https://www.tiktok.com/@cool.scoops.mx,,5534286710,México,México,México,Ecom,Alta,5,Mystery scoop orders con envíos a todo México; WhatsApp 55 3428 6710,research
Regalos,Scoops / sorpresas,Scoops Sorpresas Mx,https://www.tiktok.com/@scoopssorpresasmx,,6142442232,Chihuahua,Chihuahua,México,Ejemplo original,Alta,5,Ejemplo del cliente — scoop orders por TikTok; WhatsApp 614 244 2232; envíos nacionales,ejemplo_cliente
Regalos,Scoops / sorpresas,Bookscoop MX,https://www.tiktok.com/@bookscoopmx,,,México,México,México,Ecom,Media,3,Caja sorpresa 20 scoops temática booktok/libros,research
Regalos,Scoops / sorpresas,Bubble Scoops,https://www.tiktok.com/@bubble.scoops,,,México,México,México,Ecom,Media,3,"Pedidos kawaii con ASMR; fidgets, squishy y papelería",research
Regalos,Scoops / sorpresas,Chíkidi,https://chikidi.com.mx/,,,México,México,México,Papelería kawaii,Media,2,Tienda MX de papelería kawaii y stickers Sanrio; insumo para scoops,research
Regalos,Scoops / sorpresas,Crystaira Mystery Scoop,https://www.tiktok.com/@crystaira_mystery,,,México,México,México,Ecom,Media,3,Sanrio cards + scoops; packing orders,research
Regalos,Scoops / sorpresas,CUTIENINI Boutique,https://www.tiktok.com/@cutienini_boutique,,,México,México,México,Ecom,Media,3,Sanrio mix box y mystery scoop ASMR,research
Regalos,Scoops / sorpresas,Deiker Scoops,https://deikerscoops.com/,,,México,México,México,Ecom,Media,3,Scoops sorpresa con productos seleccionados; Luxe Clásica $899; video personalizado,research
Regalos,Scoops / sorpresas,Favorite Scoops,https://www.tiktok.com/@favorite.scoops,,,México,México,México,Ecom,Media,3,Mini scoops temáticas Sanrio/Hello Kitty,research
Regalos,Scoops / sorpresas,FLOR DE NEÓN | scoops,https://www.tiktok.com/@flordeneon.scoops,,,México,México,México,Ecom,Media,3,Scoop orders con envíos a toda la República; papelería kawaii y Sanrio,research
Regalos,Scoops / sorpresas,Hammy Scoops MX,https://www.tiktok.com/@sweethamscoops,,,México,México,México,Ecom,Media,3,Scoop orders Sanrio/papelería kawaii; TikTok Shop; envíos MX,research
Regalos,Scoops / sorpresas,Kawaii Box Kuromi (ML),https://listado.mercadolibre.com.mx/sanrio-papeleria,,,México,México,México,Marketplace,Media,2,Kits de papelería Sanrio en caja de regalo kawaii,research
Regalos,Scoops / sorpresas,Kawaii Devil Shop,https://www.tiktok.com/@kawaiidevilshop,,,México,México,México,Ecom,Media,3,"Mystery scoop box con charms, pins y stickers; mini scoop gratis por orden",research
Regalos,Scoops / sorpresas,Küssy Scoop,https://www.tiktok.com/@kussyscoop,,,México,México,México,Ecom,Media,3,Maxi y sweet scoop orders kawaii; empaque ASMR; scoopmexico,research
Regalos,Scoops / sorpresas,LiquiMart México,https://www.tiktok.com/@liquimartmexico,,,México,México,México,Ecom,Media,3,Cajas sorpresa de electrónica y liquidación,research
Regalos,Scoops / sorpresas,Maneki Lucky Scoop MX,https://www.instagram.com/manekiluckyscoopmx/,,,CDMX,CDMX,México,Ecom,Media,4,Scoop order kawaii y Sanrio desde CDMX; envíos nacionales,research
Regalos,Scoops / sorpresas,Mystery Box Caja Sorpresa ML,https://listado.mercadolibre.com.mx/caja-sorpresa,,,México,México,México,Marketplace,Media,2,Sellers de cajas sorpresa/misteriosas de electrónica en ML,research
Regalos,Scoops / sorpresas,Papecute,https://www.instagram.com/papecuteoficial/,,5550326851,México,México,México,Papelería kawaii,Media,4,Papelería boutique MX especializada en accesorios kawaii y Sanrio; catálogo WhatsApp,research
Regalos,Scoops / sorpresas,Puchi Scoop,https://www.tiktok.com/@puchi.scoop,,,México,México,México,Ecom,Media,3,Mystery scoop shop: maquillaje y papelería,research
Regalos,Scoops / sorpresas,Regalos y Canastas,https://www.regalosycanastas.mx/,,,Mérida,Yucatán,México,Regalos,Media,3,"Caja sorpresa con flores, chocolates y frase personalizada (Mérida)",research
Regalos,Scoops / sorpresas,Sanrio,https://www.sanrio.com.mx/,,,,,México,Marca,Media,3,Licencias Hello Kitty y personajes kawaii que se revenden en scoops,brand
Regalos,Scoops / sorpresas,Scoops / sorpresas (ejemplo original),https://www.facebook.com/p/Scoops-Sorpresas-Mx-61574706583273/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Regalos,Scoops / sorpresas,Scoup Mewss,,,,Torreón,Coahuila,México,Ecom,Media,2,Pionera de scoops en La Laguna: mini (7-12 artículos) y premium (12-20) con video ASMR,research
Regalos,Scoops / sorpresas,Shoppink,https://www.tiktok.com/@shoppinkk0,,,México,México,México,Ecom,Media,3,Mystery scoop de 20 cápsulas con productos de belleza y regalos,research
Regalos,Scoops / sorpresas,Tienda Komet,https://tiendakomet.com/,,,México,México,México,Ecom,Media,3,Cajas sorpresa de electrónica (Apple/iPhone) con 20% off hot sale,research
Regalos,Scoops / sorpresas,TikTok Shop México,https://shop.tiktok.com/,,,,,México,Marketplace,Media,2,Plataforma donde operan la mayoría de tiendas scoop MX,research
Regalos,Scoops / sorpresas,Etsy — sellers scoop,https://www.etsy.com/mx/market/kawaii_stationery_scoop,,,,,México,Marketplace,Baja,1,Vendedores de mystery scoops y lucky dips,research
Regalos,Scoops / sorpresas,Lola Tienda,,,,México,México,México,Distribuidor,Baja,1,Lapiceras y papelería Sanrio; seller de ML,research
