giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Adultos,Articulos para adultos,Bunny Brand Love Toys,https://www.sexshopmayoreo.mx/,,5610442123,CDMX,CDMX,México,Mayoreo,Alta,6,"Mayorista para sex shops; Calz. Tlalpan 2905 of 100, Coyoacán",research
Adultos,Articulos para adultos,Erotika Love Store,https://www.erotikalovestore.mx/,hola@erotikalovestore.mx,5621690379,CDMX,CDMX,México,Sex shop,Alta,8,"Hamburgo 105, Col. Juárez; juguetes, lubricantes y lencería; envíos",research
Adultos,Articulos para adultos,Fantasías Boutique Tijuana,https://fantasiasboutique.com/,info@fantasiasboutique.com,6643825677,Tijuana,Baja California,México,Sex shop,Alta,8,"Blvd. Gustavo Díaz Ordaz 13391, Plaza Bonita; envíos y recolección",research
Adultos,Articulos para adultos,Love & Toys CDMX,https://loveandtoys.com.mx/,,5657538385,CDMX,CDMX,México,Sex shop,Alta,5,"500+ productos; showroom con cita; Ignacio Ramos Praslow 171, Iztapalapa",research
Adultos,Articulos para adultos,Mi Pasión SexShop,https://www.mipasion.com.mx/,,3326467132,Guadalajara,Jalisco,México,Sex shop,Alta,5,Juguetes eróticos; venta mayoreo; envíos a todo México y USA,research
Adultos,Articulos para adultos,Sex Shop Sin Filtros Mérida,https://www.facebook.com/SinFiltrosmerida/,sexshopsinfiltrosmerida@gmail.com,9995323488,Mérida,Yucatán,México,Sex shop,Alta,8,Tienda ONLINE con entregas discretas a domicilio en Mérida,research
Adultos,Articulos para adultos,SexyShop CDMX,https://sexyshop.mx/,,5592455592,CDMX,CDMX,México,Sex shop,Alta,5,"Calz. Acoxpa 566 local 1B, Prados Coapa, Tlalpan; WA 55 3031 2857",research
Adultos,Articulos para adultos,ToLove Sex Shop,https://tolove.mx/,,5564338669,CDMX,CDMX,México,Sex shop,Alta,5,"Eje 5 Sur Ramos Millán 65, Benito Juárez; envíos nacionales",research
Adultos,Articulos para adultos,Varta Mayoreo,https://vartamayoreo.mx/,ventas@vartamayoreo.mx,5525695800,CDMX,CDMX,México,Mayoreo,Alta,9,Distribuidora de artículos para adulto; marcas internacionales; envíos MX,research
Adultos,Articulos para adultos,Amazon MX juguetes eróticos,https://www.amazon.com.mx/s?k=juguetes+eroticos,,,México,México,México,Marketplace,Media,2,Sellers de juguetes eróticos,research
Adultos,Articulos para adultos,Articulos para adultos (ejemplo original),https://www.tiendavenus.com/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
