giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Salud,Vitaminas y suplementos,Abbott México,https://www.abbott.com.mx/,,,CDMX,CDMX,México,Laboratorio,Media,3,Ensure y nutrición,brand
Salud,Vitaminas y suplementos,Almacén de Medicinas,,,,CDMX,CDMX,México,Mayoreo,Media,2,Distribuidora farmacéutica,brand
Salud,Vitaminas y suplementos,Amazon MX vitaminas,https://www.amazon.com.mx/s?k=vitaminas+y+suplementos,,,México,México,México,Marketplace,Media,2,Sellers de vitaminas y suplementos,research
Salud,Vitaminas y suplementos,Amino Vida (Genomma),https://www.genommalab.com/,,,CDMX,CDMX,México,Marca,Media,4,Suplemento para cabello y uñas,brand
Salud,Vitaminas y suplementos,B Life,https://www.blife.mx/,,,CDMX,CDMX,México,D2C,Media,4,Suplementos y vitaminas ecom,research
Salud,Vitaminas y suplementos,B Life (ejemplo),https://www.blife.mx/,,,CDMX,CDMX,México,Ejemplo original,Media,3,Ejemplo del cliente — vitaminas y suplementos D2C,ejemplo_cliente
Salud,Vitaminas y suplementos,Bayer México,https://www.bayer.mx/,,,CDMX,CDMX,México,Laboratorio,Media,3,"Berocca, Supradyn, One A Day",brand
Salud,Vitaminas y suplementos,Berocca (Bayer),,,,Alemania,,México,Marca,Media,2,Efervescentes de vitaminas B+C,brand
Salud,Vitaminas y suplementos,BSN,,,,USA,,México,Marca,Media,2,"Suplementos deportivos, distribución MX",brand
Salud,Vitaminas y suplementos,Carlson Labs,,,,USA,,México,Marca,Media,2,"Vitaminas y omega, venta MX",brand
Salud,Vitaminas y suplementos,Casa Ley,https://www.casaley.mx/,,,Culiacán,Sinaloa,México,Retail,Media,3,Autoservicio del noroeste,brand
Salud,Vitaminas y suplementos,Casa Marzam,https://www.marzam.com.mx/,,,CDMX,CDMX,México,Mayoreo,Media,4,Distribuidora farmacéutica nacional,brand
Salud,Vitaminas y suplementos,Centrum,,,,USA,,México,Marca,Media,2,"Multivitamínico + omega, importado",brand
Salud,Vitaminas y suplementos,Chedraui,https://www.chedraui.com.mx/,,,Xalapa,Veracruz,México,Retail,Media,3,Autoservicio con sección de vitaminas,brand
Salud,Vitaminas y suplementos,City Club,https://www.cityclub.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Club de precios con vitaminas por mayoreo,brand
