giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Don Juan Beauty Supply (ejemplo),https://donjuan.mx/,contacto@donjuan.mx,6621940726,Hermosillo,Sonora,México,Ejemplo original,Alta,8,Ejemplo del cliente — productos capilares y keratina,ejemplo_cliente
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Rizos Mexicanos,https://www.rizosmexicanos.com/,,5514718602,CDMX,CDMX,México,Ecom,Alta,6,Productos para cabello rizado MX,research
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Alev Natural,https://alev-natural.ueniweb.com/,,,CDMX,CDMX,México,Mayoreo,Media,4,"Keratina 100% brasileña al mayoreo, CDMX",research
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Amazon MX keratina,https://www.amazon.com.mx/s?k=keratina+para+cabello,,,México,México,México,Marketplace,Media,2,Sellers de keratina y productos capilares,research
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Asepxia (Genomma),https://www.genommalab.com/,,,CDMX,CDMX,México,Marca,Media,4,"Cuidado capilar y facial, laboratorio MX",brand
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Beauty Art,https://shop.beautyart.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Tienda de productos de belleza profesional,research
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Betsary Real Beauty Supply,https://betsary.com/,,,CDMX,CDMX,México,Distribuidor,Media,4,Distribuidora de productos de belleza con envíos a todo México,research
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Chedraui,https://www.chedraui.com.mx/,,,Xalapa,Veracruz,México,Retail,Media,3,Vende línea capilar,brand
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Coppel,https://www.coppel.com/,,,CDMX,CDMX,México,Retail,Media,3,Vende línea capilar,brand
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Cosmética AKCARE,https://akcare.mx/,,,México,México,México,Mayoreo,Media,3,"Productos de salón por mayoreo: keratina, botox capilar, shampoo sin sal; etiqueta propia",research
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Distribuidora Alhóndiga,,,,CDMX,CDMX,México,Distribuidor,Media,2,"Distribuidora de productos de belleza, Col. Juárez",research
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Distribuidora de belleza Alejandri,,,,CDMX,CDMX,México,Distribuidor,Media,2,Distribuidora de productos de belleza CDMX,research
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Farmacias del Ahorro,https://www.fahorro.com/,,,CDMX,CDMX,México,Retail,Media,3,Vende ampolletas y tratamientos capilares,brand
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Farmacias Guadalajara,https://www.farmaciasguadalajara.com.mx/,,,Guadalajara,Jalisco,México,Retail,Media,3,Vende línea capilar,brand
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",HEB México,https://www.heb.com.mx/,,,Monterrey,Nuevo León,México,Retail,Media,3,Vende línea capilar,brand
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Kativa,,,,Colombia,,México,Marca,Media,2,"Keratina y cuidado capilar, distribuido en MX",brand
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Kérastase,https://www.kerastase.com.mx/,,,CDMX,CDMX,México,Marca,Media,4,"Lujo capilar, retail MX",brand
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",L'Oréal Professionnel México,https://www.lorealprofessionnel.com.mx/,,,CDMX,CDMX,México,Marca,Media,4,Tratamientos profesionales de keratina,brand
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Mercado Libre keratina,https://listado.mercadolibre.com.mx/keratina-mayoreo,,,México,México,México,Marketplace,Media,2,Mayoreo de keratina y tratamientos capilares,research
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",MexMax,https://mexmax.com/,,,USA,,México,Mayoreo,Media,4,Mayorista de productos capilares mexicanos (compra a fabricantes MX),research
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Nagama Keratina y Botox,https://www.nagamakeratinaybotox.com/,,,México,México,México,Fabricante,Media,3,"Empresa mexicana de keratina, botox capilar y shampoo post-tratamiento; distribución por estados",research
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Pantene (P&G),https://www.pantene.com.mx/,,,CDMX,CDMX,México,Marca,Media,4,"Línea keratina y ampolletas, retail MX",brand
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)","Productos para el cabello (keratina, cremas, ampolletas) (ejemplo original)",https://donjuan.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Redken,https://www.redken.com.mx/,,,CDMX,CDMX,México,Marca,Media,4,"Cuidado capilar profesional, retail MX",brand
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Salerm Cosmetics,,,,España,,México,Marca,Media,2,"Keratina y ampolletas profesionales, distribuido en MX",brand
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Sally Beauty México,https://www.sallymexico.com/,,,CDMX,CDMX,México,Retail,Media,3,Cadena de productos de belleza profesional,brand
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Schwarzkopf Professional,https://www.schwarzkopf.com.mx/,,,CDMX,CDMX,México,Marca,Media,4,Color y cuidado capilar profesional,brand
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Sedal (Unilever),https://www.unilever.com.mx/,,,CDMX,CDMX,México,Marca,Media,4,"Línea de shampoo y keratina, retail MX",brand
Belleza,"Productos para el cabello (keratina, cremas, ampolletas)",Sofía Distribuidora,,,,Guadalajara,Jalisco,México,Distribuidor,Media,2,Distribuidora de belleza en GDL,research
