giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Juguetes,Juguetes sensoriales mayoreo,AIPAI Cositas,https://aipaicositas.com/,cositas.aipai@gmail.com,5522657691,CDMX,CDMX,México,Ecom,Alta,9,Juguetes didácticos y sensoriales,research
Juguetes,Juguetes sensoriales mayoreo,D'Toys,http://www.dtoys.com.mx/,,3318809509,Guadalajara,Jalisco,México,Mayoreo,Alta,6,"Distribuidor mayorista de juguetes; C. José Fernando Abascal 157, San Juan de Dios; mín. $1,000",research
Juguetes,Juguetes sensoriales mayoreo,Grupo Educar,https://grupoeducar.com.mx/,,5514036115,CDMX,CDMX,México,Fabricante,Alta,6,Material didáctico y juguetes educativos,research
Juguetes,Juguetes sensoriales mayoreo,Ideas Hands / Casa Didáctica,https://www.ideashands.com.mx/,ventas@casadidactica.com,2222998488,Puebla,Puebla,México,Fabricante,Alta,9,Fabricante y distribuidor autorizado de juguetes educativos; mayoristas y distribuidores,research
Juguetes,Juguetes sensoriales mayoreo,Mayoreo Didáctico (ejemplo),https://www.mayoreodidactico.mx/,monica@mayoreodidactico.mx,8189891980,Monterrey,Nuevo León,México,Ejemplo original,Alta,8,"Ejemplo del cliente — juguetes sensoriales, Montessori y didácticos por mayoreo",ejemplo_cliente
Juguetes,Juguetes sensoriales mayoreo,Toys 2 Teach,https://www.toys2teach.mx/,,5565854337,CDMX,CDMX,México,Fabricante,Alta,6,30+ años; fabricante de mobiliario escolar y juguetes didácticos; 5 plantas; atiende mayoristas,research
Juguetes,Juguetes sensoriales mayoreo,XMajo Didácticos,https://xmajodidacticos.com/,info@xmajodidacticos.com,8117537880,Monterrey,Nuevo León,México,Ecom,Alta,9,"Material didáctico y sensorial; +1,000 productos; envíos MX",research
Juguetes,Juguetes sensoriales mayoreo,Amazon MX fidget mayoreo,https://www.amazon.com.mx/fidget-toys-mayoreo/s?k=fidget+toys+mayoreo,,,México,México,México,Marketplace,Media,2,Sellers de fidget toys por mayoreo,research
Juguetes,Juguetes sensoriales mayoreo,BOJA Sensory,https://www.amazon.com.mx/,,,México,México,México,Marca,Media,3,Kit 40 pzs fidget toys sensoriales vía Amazon MX,brand
Juguetes,Juguetes sensoriales mayoreo,Coconini,https://www.coconini.com.mx/,,,México,México,México,Ecom,Media,3,Juguetes y estimulación temprana,research
Juguetes,Juguetes sensoriales mayoreo,DAQI,https://www.amazon.com.mx/,,,México,México,México,Marca,Media,3,Fidget toys 64 pack vía Amazon MX,brand
Juguetes,Juguetes sensoriales mayoreo,Distribuidora Mesones,,,5656770570,CDMX,CDMX,México,Mayoreo,Media,4,"Distribuidora de juguetes en Mesones, Centro CDMX",research
Juguetes,Juguetes sensoriales mayoreo,Educactivity,https://educactivity.mx/,,,México,México,México,Fabricante,Media,3,"Red de distribuidores de juguetes educativos y material didáctico; mín. $3,000; márgenes 30-40%",research
Juguetes,Juguetes sensoriales mayoreo,ELE-GATE,https://www.ele-gate.com/,,,CDMX,CDMX,México,Mayoreo,Media,4,Pop It fidget toys y accesorios al mayoreo; sección 'Mayoreo',research
Juguetes,Juguetes sensoriales mayoreo,JAVI TOYS,https://javitoys.mx/,,,México,México,México,Ecom,Media,3,"Kits de fidget toys: squishy, oruga, pop tube, pelota antiestrés y slime",research
Juguetes,Juguetes sensoriales mayoreo,Juguetes sensoriales mayoreo (ejemplo original),https://www.mayoreodidactico.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Juguetes,Juguetes sensoriales mayoreo,Juguetron,https://www.juguetron.com.mx/,,,México,México,México,Retail,Media,2,Juguetería en línea,brand
Juguetes,Juguetes sensoriales mayoreo,Liverpool juguetes,https://www.liverpool.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Vende juguetes didácticos,brand
Juguetes,Juguetes sensoriales mayoreo,Mercado Libre fidget,https://listado.mercadolibre.com.mx/fidget-toys-mayoreo,,,México,México,México,Marketplace,Media,2,Mayoreo de fidget y pop it,research
Juguetes,Juguetes sensoriales mayoreo,MNNHQ,https://www.amazon.com.mx/,,,México,México,México,Marca,Media,3,36 pack squishy mochi vía Amazon MX,brand
Juguetes,Juguetes sensoriales mayoreo,Newpop,https://www.amazon.com.mx/,,,México,México,México,Marca,Media,3,Pop tubes 24 pzs vía Amazon MX,brand
Juguetes,Juguetes sensoriales mayoreo,Pepe Toys,,,,Guadalajara,Jalisco,México,Mayoreo,Media,2,"Distribuidor mayorista GDL de juguetes y papelería; envíos nacionales; mín. $2,000",research
Juguetes,Juguetes sensoriales mayoreo,Teng Da Tepito,,,,CDMX,CDMX,México,Mayoreo,Media,2,"Mayoreo de juguetes en Tepito, CDMX",research
Juguetes,Juguetes sensoriales mayoreo,Toiki,https://toiki.mx/,,,Guadalajara,Jalisco,México,Mayoreo,Media,4,Juguetes y artículos por mayoreo en GDL,research
Juguetes,Juguetes sensoriales mayoreo,TOYGON,https://www.amazon.com.mx/,,,México,México,México,Marca,Media,3,Kit 2 pzs pop it con llavero vía Amazon MX,brand
Juguetes,Juguetes sensoriales mayoreo,Toymark,,,,CDMX,CDMX,México,Fabricante,Media,2,"Empresa mexicana de fabricación, importación y distribución de juguetes por mayoreo por caja",research
Juguetes,Juguetes sensoriales mayoreo,Walmart México juguetes,https://www.walmart.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Vende juguetes sensoriales y pop it,brand
