giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Autos,Accesorios para autos (luces y refacciones pequeñas),Accesorios Aguilar,https://www.accesoriosaguilar.com/,,3322621310,Zapopan,Jalisco,México,Mayoreo,Alta,6,"Focos LED, xenón, barras, alarmas y polarizado; Puerto Guaymas 983, Miramar",research
Autos,Accesorios para autos (luces y refacciones pequeñas),Accesorios Molo,https://www.accesoriosmolo.com/,,5635518793,CDMX,CDMX,México,Mayoreo,Alta,6,"17+ años; accesorios automotrices mayoreo/menudeo; Juventino Rosas 9, Peralvillo",research
Autos,Accesorios para autos (luces y refacciones pequeñas),Accesorios para autos (luces y refacciones pequeñas) (ejemplo original),https://www.masrefacciones.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Autos,Accesorios para autos (luces y refacciones pequeñas),Amazon MX accesorios auto,https://www.amazon.com.mx/s?k=accesorios+para+auto+led,,,México,México,México,Marketplace,Media,2,Sellers de accesorios automotrices,research
Autos,Accesorios para autos (luces y refacciones pequeñas),Autopartes García,,,3333445000,Guadalajara,Jalisco,México,Tienda,Media,3,Repuestos y accesorios para autos; faros y calaveras en GDL,research
Autos,Accesorios para autos (luces y refacciones pequeñas),AutoZone México,https://www.autozone.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Refaccionarias con accesorios y luces,brand
Autos,Accesorios para autos (luces y refacciones pequeñas),Comercializadora Fénix,https://www.autoaccesoriosfenix.com/,,,CDMX,CDMX,México,Mayoreo,Media,4,"1,302+ productos de iluminación LED y accesorios; precios de mayoreo; envío CDMX",research
Autos,Accesorios para autos (luces y refacciones pequeñas),Evolum,https://evolum.shop/,,,México,México,México,Ecom,Media,3,"Tienda líder en luces LED para carros: kits H4/H7/H11/9005/9006 con 22,000 lúmenes",research
Autos,Accesorios para autos (luces y refacciones pequeñas),Goled,,,3787819000,Tepatitlán,Jalisco,México,Tienda,Media,3,Tienda de iluminación para autos y camiones,research
Autos,Accesorios para autos (luces y refacciones pequeñas),Leds Cuernavaca,,,7771282726,Cuernavaca,Morelos,México,Mayoreo,Media,4,Faros LED mayoreo/menudeo; modelos Ultra Luxury y Ultimate; también en Puebla,research
Autos,Accesorios para autos (luces y refacciones pequeñas),Mas Refacciones (ejemplo),https://www.masrefacciones.mx/,,,México,México,México,Ejemplo original,Media,2,Ejemplo del cliente — refacciones y accesorios para autos,ejemplo_cliente
Autos,Accesorios para autos (luces y refacciones pequeñas),Mercado Libre luces LED,https://listado.mercadolibre.com.mx/luces-led-mayoreo,,,México,México,México,Marketplace,Media,2,Mayoreo de luces LED para auto,research
Autos,Accesorios para autos (luces y refacciones pequeñas),Mundo Electrónico Víctor's,,,3336581000,Guadalajara,Jalisco,México,Mayoreo,Media,4,"Iluminación LED hogar y auto, materiales electrónicos y repuestos; mayoreo/menudeo",research
Autos,Accesorios para autos (luces y refacciones pequeñas),NAPA México,https://www.napaautopartes.mx/,,,,,México,Retail,Media,2,Refaccionarias con accesorios,brand
Autos,Accesorios para autos (luces y refacciones pequeñas),O'Reilly Auto Parts MX,https://www.oreillyauto.com.mx/,,,,,México,Retail,Media,2,Refaccionarias con accesorios,brand
Autos,Accesorios para autos (luces y refacciones pequeñas),Sección Amarilla — focos LED mayoreo,https://www.seccionamarilla.com.mx/,,,México,México,México,Directorio,Media,2,Directorio de proveedores de focos LED automotriz,research
Autos,Accesorios para autos (luces y refacciones pequeñas),Steren auto,https://www.steren.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Accesorios electrónicos para auto,brand
Autos,Accesorios para autos (luces y refacciones pequeñas),Walmart México auto,https://www.walmart.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Sección automotriz con accesorios,brand
Autos,Accesorios para autos (luces y refacciones pequeñas),ADERCO,,,,México,México,México,Marca,Baja,1,"Accesorios y LED para auto, marca mexicana",brand
Autos,Accesorios para autos (luces y refacciones pequeñas),Barra LED mini faro,,,,México,México,México,Producto,Baja,0,"Barras LED 5-7 pulgadas, 16-27 LED",research
Autos,Accesorios para autos (luces y refacciones pequeñas),Big Country,,,,México,México,México,Marca,Baja,1,Accesorios para auto,brand
Autos,Accesorios para autos (luces y refacciones pequeñas),Bronco,,,,México,México,México,Marca,Baja,1,Accesorios e iluminación para auto,brand
Autos,Accesorios para autos (luces y refacciones pequeñas),CARLUMEX,,,,México,México,México,Marca,Baja,1,"Iluminación automotriz, marca mexicana",brand
Autos,Accesorios para autos (luces y refacciones pequeñas),Faro LED redondo auxiliar,,,,México,México,México,Producto,Baja,0,"Faros auxiliares LED con lupa y estrobo, mayoreo 30 pzas",research
Autos,Accesorios para autos (luces y refacciones pequeñas),Faros 4x6 Diamond,,,,México,México,México,Producto,Baja,0,"Faros LED 4x6 modelo Diamond con luz de día, mayoreo 10 pzas",research
Autos,Accesorios para autos (luces y refacciones pequeñas),Focos LED Master,,,,México,México,México,Producto,Baja,0,"Kit faros LED Master H1/H3/H7/H11/9005/9006, 4.5★ (230 reviews)",research
Autos,Accesorios para autos (luces y refacciones pequeñas),HOD,,,,México,México,México,Marca,Baja,1,Partes de colisión automotriz,brand
Autos,Accesorios para autos (luces y refacciones pequeñas),Imloya,,,,México,México,México,Marca,Baja,1,Iluminación automotriz,brand
