giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Belleza,Pelucas de colores,El Famundi (ejemplo),https://www.elfamundi.com.mx/,,5555525294,CDMX,CDMX,México,Ejemplo original,Alta,5,Ejemplo del cliente — pelucas de colores y disfraces,ejemplo_cliente
Belleza,Pelucas de colores,Amazon MX pelucas,https://www.amazon.com.mx/s?k=pelucas+de+colores,,,México,México,México,Marketplace,Media,2,Sellers de pelucas de colores,research
Belleza,Pelucas de colores,Crazy Hair,https://www.crazyhair.com.mx/,,,CDMX,CDMX,México,Mayoreo,Media,4,"Pelucas de colores, lace front y full lace; ventas al mayoreo; CDMX y GDL",research
Belleza,Pelucas de colores,Don Moa Extensiones,,,5559590050,CDMX,CDMX,México,Mayoreo,Media,4,"Pelucas de colores fantasía 2x$500 y extensiones; Plaza Correo Mayor 5, locales 9 y 10",research
Belleza,Pelucas de colores,El 10 Pelucas & Extensiones,,,5578602637,CDMX,CDMX,México,Tienda,Media,3,Pelucas y extensiones en el Centro; Alhóndiga 29E; envíos,research
Belleza,Pelucas de colores,El Castillo de la Fantasía,,,,CDMX,CDMX,México,Mayoreo,Media,2,"Imperio de pelucas en el Centro CDMX; pelucas de fantasía desde $100 y cabello natural hasta $5,500; mayoreo",research
Belleza,Pelucas de colores,Funidelia México,https://www.funidelia.mx/,,,México,México,México,Ecom,Media,3,Pelucas de disfraz y accesorios de fiesta online,research
Belleza,Pelucas de colores,Mercado Libre pelucas,https://listado.mercadolibre.com.mx/pelucas-de-colores,,,México,México,México,Marketplace,Media,2,Mayoreo de pelucas de colores,research
Belleza,Pelucas de colores,MV Hair Extensions,,,,CDMX,CDMX,México,Mayoreo,Media,2,Pelucas y cabello mayoreo/menudeo; Izazaga 89 piso 5 local 505,research
Belleza,Pelucas de colores,Paquete 7 pelucas colores,https://listado.mercadolibre.com.mx/pelucas-de-colores,,,México,México,México,Producto,Media,2,"Paquete de 7 pelucas largas de colores, mayoreo",research
Belleza,Pelucas de colores,Peluca afro rosa pastel,https://listado.mercadolibre.com.mx/pelucas-fantasia,,,México,México,México,Producto,Media,2,"Peluca afro tono rosa pastel, vía ML",research
Belleza,Pelucas de colores,Peluca corta bob colores,https://listado.mercadolibre.com.mx/pelucas-colores-fantasia,,,México,México,México,Producto,Media,2,"Peluca corta bob de colores fantasía/disfraz, 12 colores",research
Belleza,Pelucas de colores,Peluca larga rosa mayoreo,https://listado.mercadolibre.com.mx/pelucas-de-colores,,,México,México,México,Producto,Media,2,"Peluca larga color disfraz cosplay, mayoreo",research
Belleza,Pelucas de colores,Pelucas de colores (ejemplo original),https://www.elfamundi.com.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Belleza,Pelucas de colores,Supreme Wigs,,,,CDMX,CDMX,México,Ecom,Media,2,"Tienda de pelucas con sucursales CDMX, Monterrey y Cancún; venta online",research
Belleza,Pelucas de colores,Comercializadora de Novedades,,,,México,México,México,Mayoreo,Baja,1,"Pelucas largas de colores mayoreo desde 3 pzs; seller de ML (4.1★, 55 reviews)",research
Belleza,Pelucas de colores,Disfraces Luza Peluza,,,,México,México,México,Marca,Baja,1,Pelucas de personajes (Aquaman) vía ML,brand
Belleza,Pelucas de colores,Extensioneslibni,,,,México,México,México,Marca,Baja,1,"Pelucas de fantasía onduladas (rosa, plata, amarillo) vía ML",brand
Belleza,Pelucas de colores,KANEKALON,,,,México,México,México,Marca,Baja,1,Pelucas con fleco largas cosplay y colores fantasía; 4.4★ vía ML,brand
Belleza,Pelucas de colores,Misi Shop,,,,CDMX,CDMX,México,Tienda,Baja,1,Tienda de pelucas en el Centro CDMX,research
Belleza,Pelucas de colores,Pelucas Morris,,,,CDMX,CDMX,México,Tienda,Baja,1,Tienda de pelucas en el Centro CDMX; drag y transformismo,research
Belleza,Pelucas de colores,Premium Wigs,,,,México,México,México,Marca,Baja,1,Pelucas de gama premium vía ML,brand
Belleza,Pelucas de colores,SensHair MX,,,,CDMX,CDMX,México,Tienda,Baja,1,"Pelucas de cabello natural y sintético; cosplay, drag y uso diario",research
Belleza,Pelucas de colores,Sombreros y Fiesta,,,,México,México,México,Mayoreo,Baja,1,Pelucas lacias cortas colores fantasía mayoreo; seller de ML,research
