giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Belleza,Jabones y shampoos,Bam Boo! Lifestyle,https://www.bamboolifestyle.com.mx/,onnearrss@gmail.com,5579388337,CDMX,CDMX,México,Marca,Alta,9,"Jabones artesanales 100g con carbón activado, chocomenta, miel y avena; packs de mayoreo",research
Belleza,Jabones y shampoos,BioAlei Guadalajara,https://www.jabonesartesanales.com.mx/,,36596819,Guadalajara,Jalisco,México,Sucursal,Alta,5,BioAlei GDL; WhatsApp 331 539 8154,research
Belleza,Jabones y shampoos,BioAlei Mérida,https://www.jabonesartesanales.com.mx/,,9991950922,Mérida,Yucatán,México,Sucursal,Alta,5,"Tienda BioAlei Montejo, Mérida",research
Belleza,Jabones y shampoos,Jabones Artesanales BioAlei,https://www.jabonesartesanales.com.mx/,,5526486262,CDMX,CDMX,México,Fabricante,Alta,6,"Jabones decorativos y aromaterapia; tiendas CDMX, Mérida, Puebla, Chiapas y GDL; amenidades para hoteles",research
Belleza,Jabones y shampoos,Jabones Ordaz,https://www.jabonesartesanalesordaz.net/,ventas@jabonesartesanalesordaz.net,5536169938,CDMX,CDMX,México,Fabricante,Alta,9,"Fabricante de jabones artesanales; Avena 161, Granjas Esmeralda, Iztapalapa",research
Belleza,Jabones y shampoos,MEIDU México,https://www.meidu.com.mx/,,5511336665,CDMX,CDMX,México,Marca,Alta,6,Shampoo con tinte y cuidado capilar,research
Belleza,Jabones y shampoos,Productos Möe,https://www.productosmoe.com/,,3330365447,Zapopan,Jalisco,México,Fabricante,Alta,6,"Jabones, shampoo sólido y velas de soja; maquila y mayoreo con marca personal; Río Tuxpan 1049",research
Belleza,Jabones y shampoos,Rizos Mexicanos (ejemplo),https://www.rizosmexicanos.com/,,5514718602,CDMX,CDMX,México,Ejemplo original,Alta,5,Ejemplo del cliente — shampoos y jabones,ejemplo_cliente
Belleza,Jabones y shampoos,Amazon MX jabones artesanales,https://www.amazon.com.mx/s?k=jabones+artesanales,,,México,México,México,Marketplace,Media,2,Sellers de jabones artesanales,research
Belleza,Jabones y shampoos,Bianni Revolution,,,5573661570,CDMX,CDMX,México,Marca,Media,4,"Jabones artesanales mayoreo; Carmen 24 y Correo Mayor 12 local 102, Centro CDMX",research
Belleza,Jabones y shampoos,BioAlei Puebla,https://www.jabonesartesanales.com.mx/,,,Puebla,Puebla,México,Sucursal,Media,3,Rosendo Márquez 2501 local B,research
Belleza,Jabones y shampoos,Etsy México jabones,https://www.etsy.com/mx/market/jabones_artesanales,,,México,México,México,Marketplace,Media,2,Vendedores de jabones artesanales MX,research
Belleza,Jabones y shampoos,Jabones Artesanales Eclipse,https://jabones-artesanales-eclipse.ueniweb.com/,,,CDMX,CDMX,México,Tienda,Media,3,"Jabones artesanales; Revolución Social 48, Iztapalapa; cobertura CDMX y Texmelucan",research
Belleza,Jabones y shampoos,Jabones Artesanales Puebla,https://jabonesartesanalespuebla.com.mx/,,,Puebla,Puebla,México,Fabricante,Media,4,"Jabones 100% naturales; Cam. al Batán 44, Villa Satélite Calera",research
Belleza,Jabones y shampoos,Jabones y shampoos (ejemplo original),https://www.rizosmexicanos.com/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Belleza,Jabones y shampoos,Jabón de Zorro D'Avi,https://www.jabondezorro.com/,,,México,México,México,Fabricante,Media,3,Champú sólido ecológico y jabones artesanales; venta por mayor y menor,research
Belleza,Jabones y shampoos,Laguna Cyprien,https://lagunacyprien.mx/,,,México,México,México,Marca,Media,3,"Shampoo sólido y jabones sin sulfatos ni plásticos, hechos en México",research
Belleza,Jabones y shampoos,Mar Amoli,https://www.amoli.mx/,,,México,México,México,Fabricante,Media,3,"Jabones artesanales, shampoo y acondicionador sólidos, cremas y bálsamos; catálogo mayoreo con envíos nacionales",research
Belleza,Jabones y shampoos,Mercado Libre jabones mayoreo,https://listado.mercadolibre.com.mx/jabones-artesanales-mayoreo,,,México,México,México,Marketplace,Media,2,Mayoreo de jabones artesanales,research
Belleza,Jabones y shampoos,Moldemanía,https://www.moldemania.com/,,,CDMX,CDMX,México,Insumos,Media,3,"Tienda de moldes e insumos para velas, jabones y repostería; Mesones 75 y 138D, CDMX",research
Belleza,Jabones y shampoos,OnlyShop México,https://www.onlyshop.com.mx/,,,México,México,México,Ecom,Media,3,Shampoo tinte cubre canas jengibre 500ml,research
Belleza,Jabones y shampoos,Onneageld (distribuidor Bam Boo),https://onneageld.com.mx/,,,México,México,México,Distribuidor,Media,3,Distribuidor de Bam Boo! Lifestyle: 20 pack mix jabones mayoreo,research
Belleza,Jabones y shampoos,Tienda Naturista El Mundo Natural,https://www.elmundonatural.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Tienda naturista con jabones y shampoo natural,brand
Belleza,Jabones y shampoos,Walmart México jabones,https://www.walmart.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Vende jabones de tocador y shampoo,brand
Belleza,Jabones y shampoos,Avellana Beauty Eco Boutique,,,,México,México,México,Marca,Baja,1,Shampoo sólido anti-canas,brand
Belleza,Jabones y shampoos,Gran Naturista,,,,CDMX,CDMX,México,Retail,Baja,1,Cadena de tiendas naturistas,brand
