giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Belleza,Skincare Coreano,KBeauty MX,https://kbeautymx.com/,contacto.kbeautymx@gmail.com,,México,México,México,Ecom,Alta,6,"Skin1004, Tocobo, Medicube; L-V 9-18",research
Belleza,Skincare Coreano,Klara Beauty,https://klarabeauty.com.mx/,hola@klarabeauty.com.mx,4776121896,León,Guanajuato,México,Ecom,Alta,9,Muralista Latino 204; marcas coreanas originales,research
Belleza,Skincare Coreano,MakeupMX Distribuidora,https://makeupmx.com/,contacto@makeupmxdistribuidora.com,4424673394,Querétaro,Querétaro,México,Mayoreo,Alta,9,K-beauty y cosmética originales; Campo Real 1402 local 4,research
Belleza,Skincare Coreano,Mayoreo K-Beauty,https://mayoreokbeauty.com.mx/,info@mayoreokbeauty.com.mx,,México,México,México,Mayoreo,Alta,6,From Seoul to Tokyo; etiquetado COFEPRIS,research
Belleza,Skincare Coreano,Yoon Lab,https://yoonlab.mx/,contacto@yoonlab.mx,5520041035,CDMX,CDMX,México,Ecom,Alta,9,Juan Salvador Agraz 73; skincare coreano auténtico,research
Belleza,Skincare Coreano,Amazon MX K-beauty,https://www.amazon.com.mx/s?k=skincare+coreano,,,México,México,México,Marketplace,Media,2,Sellers de skincare coreano,research
Belleza,Skincare Coreano,Anua,,,,Corea,,México,Marca,Media,2,"Skincare coreano, retail MX",brand
Belleza,Skincare Coreano,Beauty of Joseon,,,,Corea,,México,Marca,Media,2,"Skincare coreano viral, venta MX",brand
Belleza,Skincare Coreano,Celiz,https://www.celiz.com.mx/,,,México,México,México,Mayoreo,Media,3,Proveedor de skincare coreano al mayoreo; 50% desc al invertir $30k,research
Belleza,Skincare Coreano,COSRX,,,,Corea,,México,Marca,Media,2,"Skincare coreano, retail MX vía Youngmi y otros",brand
Belleza,Skincare Coreano,Etude House,,,,Corea,,México,Marca,Media,2,"K-beauty, retail MX",brand
Belleza,Skincare Coreano,Halo Skin (ejemplo),https://haloskin.mx/,,,México,México,México,Ejemplo original,Media,2,Ejemplo del cliente — skincare coreano D2C,ejemplo_cliente
Belleza,Skincare Coreano,Innisfree,,,,Corea,,México,Marca,Media,2,"Skincare coreano, retail MX",brand
Belleza,Skincare Coreano,Laly Skin,https://www.lalyskin.com/,,,México,México,México,Mayoreo,Media,3,Mayoreo de skincare coreano en línea,research
Belleza,Skincare Coreano,Laneige,,,,Corea,,México,Marca,Media,2,"Skincare coreano, retail departamental MX",brand
Belleza,Skincare Coreano,Liverpool belleza coreana,https://www.liverpool.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Sección de K-beauty,brand
Belleza,Skincare Coreano,Medicube,,,,Corea,,México,Marca,Media,2,"Skincare coreano, retail MX",brand
Belleza,Skincare Coreano,Mercado Libre K-beauty,https://listado.mercadolibre.com.mx/skincare-coreano,,,México,México,México,Marketplace,Media,2,Tiendas de skincare coreano en ML,research
Belleza,Skincare Coreano,Missha,,,,Corea,,México,Marca,Media,2,"K-beauty, venta MX",brand
Belleza,Skincare Coreano,Nahima Korean Beauty,https://nahima.mx/,,,Mexicali,BC,México,Ecom,Media,4,K-beauty en frontera,research
Belleza,Skincare Coreano,Piel Coreana,https://www.pielcoreana.com/,,,México,México,México,Mayoreo,Media,3,8+ años con marcas coreanas; mayoreo K-beauty con factura y envíos express 1-2 días,research
Belleza,Skincare Coreano,Purito,,,,Corea,,México,Marca,Media,2,"Skincare coreano, venta MX vía K-beauty shops",brand
Belleza,Skincare Coreano,Sephora México K-beauty,https://www.sephora.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,"Vende marcas coreanas (Laneige, Innisfree)",brand
Belleza,Skincare Coreano,Skin1004,,,,Corea,,México,Marca,Media,2,"Centella asiática, retail MX",brand
Belleza,Skincare Coreano,Skincare Coreano (ejemplo original),https://haloskin.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Belleza,Skincare Coreano,TikTok Shop K-beauty,https://shop.tiktok.com/,,,México,México,México,Marketplace,Media,2,Venta D2C de K-beauty,research
Belleza,Skincare Coreano,Tocobo,,,,Corea,,México,Marca,Media,2,"Skincare coreano, retail MX",brand
Belleza,Skincare Coreano,Youngmi,https://youngmi.mx/,,,México,México,México,Ecom,Media,3,"+800 productos COSRX, Anua, Medicube",research
Belleza,Skincare Coreano,Kkul,,,,México,México,México,Mayoreo,Baja,1,Skincare coreano a precio de mayoreo desde 1 pieza; envíos MX y USA,research
