giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Comercializadora,Articulos de papeleria en mayoreo,Lumen Guadalajara,https://lumen.com.mx/,ventasmayoreo@lumen.com.mx,3336143956,Guadalajara,Jalisco,México,Sucursal,Alta,8,"C. Pedro Moreno 589, Centro GDL",research
Comercializadora,Articulos de papeleria en mayoreo,Office Depot México,https://www.officedepot.com.mx/,,5525820910,CDMX,CDMX,México,Retail,Alta,5,Cadena de papelería y oficina,brand
Comercializadora,Articulos de papeleria en mayoreo,Papelería Lozano Hermanos,https://papeleriaslozanohermanos.com.mx/,papeleria@lozano.com.mx,5557611520,CDMX,CDMX,México,Mayoreo,Alta,9,"Papelería y útiles, CDMX",research
Comercializadora,Articulos de papeleria en mayoreo,Papelerías Lumen,https://lumen.com.mx/,ventasmayoreo@lumen.com.mx,5544455000,CDMX,CDMX,México,Mayoreo,Alta,9,"Desde 1943; mayorista de papelería, electrónicos y hogar; República de El Salvador 52-54; ventas corporativas y gran mayoreo",research
Comercializadora,Articulos de papeleria en mayoreo,3M México,https://www.3m.com.mx/,,,CDMX,CDMX,México,Marca,Media,4,"Post-it y cintas, operación MX",brand
Comercializadora,Articulos de papeleria en mayoreo,ACCO Brands,,,,USA,,México,Marca,Media,2,"Engrapadoras y archivo, venta MX",brand
Comercializadora,Articulos de papeleria en mayoreo,Acrilex,,,,Brasil,,México,Marca,Media,2,"Pinturas y manualidades, venta MX",brand
Comercializadora,Articulos de papeleria en mayoreo,Amazon MX papelería mayoreo,https://www.amazon.com.mx/s?k=papeleria+mayoreo,,,México,México,México,Marketplace,Media,2,Sellers de papelería por mayoreo,research
Comercializadora,Articulos de papeleria en mayoreo,Ampersand,,,,USA,,México,Marca,Media,2,"Paneles de arte, venta MX",brand
Comercializadora,Articulos de papeleria en mayoreo,Angelus,,,,USA,,México,Marca,Media,2,"Pinturas para calzado, venta MX",brand
Comercializadora,Articulos de papeleria en mayoreo,Arteza,,,,USA,,México,Marca,Media,2,"Arte y manualidades, venta MX",brand
Comercializadora,Articulos de papeleria en mayoreo,Articulos de papeleria en mayoreo (ejemplo original),https://es.uline.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Comercializadora,Articulos de papeleria en mayoreo,CIFRA Papelería,,,,CDMX,CDMX,México,Mayoreo,Media,2,Distribuidora de papelería y consumibles,research
Comercializadora,Articulos de papeleria en mayoreo,COPAMEX,https://www.copamex.com/,,,Monterrey,Nuevo León,México,Fabricante,Media,4,Papelera mexicana líder en papeles de escritura y empaque,brand
Comercializadora,Articulos de papeleria en mayoreo,Costco México,https://www.costco.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Papelería y útiles por mayoreo,brand
Comercializadora,Articulos de papeleria en mayoreo,DAS,,,,Italia,,México,Marca,Media,2,"Arcilla y modelado, venta MX",brand
Comercializadora,Articulos de papeleria en mayoreo,Derwent,,,,Reino Unido,,México,Marca,Media,2,"Arte profesional, venta MX",brand
Comercializadora,Articulos de papeleria en mayoreo,Distribuidora Sajor,,,,Guadalajara,Jalisco,México,Mayoreo,Media,2,"40+ años; productos Scribe, COPAMEX, Saira y Jiss",research
Comercializadora,Articulos de papeleria en mayoreo,Dixon,,,,USA,,México,Marca,Media,2,"Lápices y colores, venta MX",brand
Comercializadora,Articulos de papeleria en mayoreo,Dymo,,,,USA,,México,Marca,Media,2,"Etiquetadoras, venta MX",brand
Comercializadora,Articulos de papeleria en mayoreo,Ecoline,,,,Holanda,,México,Marca,Media,2,"Acuarelas líquidas, venta MX",brand
Comercializadora,Articulos de papeleria en mayoreo,El Sótano,https://www.elsotano.com/,,,CDMX,CDMX,México,Retail,Media,3,Librería y papelería,brand
Comercializadora,Articulos de papeleria en mayoreo,Elmer's,,,,USA,,México,Marca,Media,2,"Pegamentos, venta MX",brand
