giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Comercializadora,Equipo de iluminacion,Grupo Construlita,https://www.grupoconstrulita.com/,,4422383900,Querétaro,Querétaro,México,Fabricante,Alta,6,Líder latinoamericano; marcas Construlita y Tecnolite; planta en Querétaro; alumbrado público GDL y Torreón,research
Comercializadora,Equipo de iluminacion,Ilumex,https://ilumexmx.com/,,5555124372,CDMX,CDMX,México,Mayoreo,Alta,6,"Distribuidora de luminaria al mayoreo 25 años; Plaza de la Luz, José Marroquí 81, Centro",research
Comercializadora,Equipo de iluminacion,PEFSA,https://www.pefsa.com.mx/,,5557518292,CDMX,CDMX,México,Retail,Alta,5,Sucursal CDMX: Av. Henry Ford 257; distribuye Philips,research
Comercializadora,Equipo de iluminacion,Amazon MX iluminación,https://www.amazon.com.mx/s?k=lamparas+led,,,México,México,México,Marketplace,Media,2,Sellers de iluminación,research
Comercializadora,Equipo de iluminacion,Artika,,,,Canadá,,México,Marca,Media,2,"Iluminación moderna, venta MX",brand
Comercializadora,Equipo de iluminacion,Coel,https://www.coel.mx/,,,CDMX,CDMX,México,Mayoreo,Media,4,Distribuidora de material eléctrico e iluminación,research
Comercializadora,Equipo de iluminacion,Construlita,https://www.construlita.com/,,,Querétaro,Querétaro,México,Marca,Media,4,"Desde 1984; iluminación profesional: comercial, industrial, alumbrado público",brand
Comercializadora,Equipo de iluminacion,Dirind — iluminación,https://www.dirind.com/di/iluminacion-general2.html,,,CDMX,CDMX,México,Directorio,Media,3,Directorio de proveedores de iluminación,research
Comercializadora,Equipo de iluminacion,Equipo de iluminacion (ejemplo original),https://vyorsa.com.mx/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Comercializadora,Equipo de iluminacion,Espacios de Construcción,https://espaciosdeconstruccion.com/,,,México,México,México,Mayoreo,Media,3,"Luminarias viales, decorativas, industriales; Tecnolite, Construlita, Ledvance, Magg, Starco",research
Comercializadora,Equipo de iluminacion,GE Lighting (Savant),,,,USA,,México,Marca,Media,2,"Iluminación, venta MX",brand
Comercializadora,Equipo de iluminacion,Grupo Marzam iluminación,,,,CDMX,CDMX,México,Mayoreo,Media,2,Distribución de iluminación,research
Comercializadora,Equipo de iluminacion,Holophane,,,,USA,,México,Marca,Media,2,"Luminarias industriales, vía distribuidores MX",brand
Comercializadora,Equipo de iluminacion,Home Depot México,https://www.homedepot.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Sección de iluminación,brand
Comercializadora,Equipo de iluminacion,Ilumi de México,,,,CDMX,CDMX,México,Fabricante,Media,2,"Fabricante de luminarios para alumbrado público 26+ años; distribuidor Lexalite, Acrilux, Osram, Philips",research
Comercializadora,Equipo de iluminacion,Kichler,,,,USA,,México,Marca,Media,2,"Iluminación decorativa, venta MX",brand
Comercializadora,Equipo de iluminacion,LEXALITE,,,,USA,,México,Marca,Media,2,"Luminarias, vía Ilumi de México",brand
Comercializadora,Equipo de iluminacion,Lithonia,,,,USA,,México,Marca,Media,2,"Luminarias profesionales, vía distribuidores MX",brand
Comercializadora,Equipo de iluminacion,Maxim Lighting,,,,USA,,México,Marca,Media,2,"Iluminación decorativa, venta MX",brand
Comercializadora,Equipo de iluminacion,Megamex,,,,CDMX,CDMX,México,Mayoreo,Media,2,"Mayorista en material eléctrico industrial, alumbrado público y residencial",research
Comercializadora,Equipo de iluminacion,Mercado Libre iluminación,https://listado.mercadolibre.com.mx/iluminacion-led-mayoreo,,,México,México,México,Marketplace,Media,2,Mayoreo de iluminación LED,research
Comercializadora,Equipo de iluminacion,Osram / Ledvance,https://www.ledvance.com.mx/,,,CDMX,CDMX,México,Marca,Media,4,"Focos y luminarias LED, operación MX",brand
Comercializadora,Equipo de iluminacion,Philips Lighting México,https://www.lighting.philips.com.mx/,,,CDMX,CDMX,México,Marca,Media,4,"Iluminación, operación MX",brand
Comercializadora,Equipo de iluminacion,Progress Lighting,,,,USA,,México,Marca,Media,2,"Iluminación residencial, venta MX",brand
Comercializadora,Equipo de iluminacion,Regent Lighting,,,,USA,,México,Marca,Media,2,"Iluminación profesional, venta MX",brand
Comercializadora,Equipo de iluminacion,Signify (Philips),https://www.signify.com/mx,,,CDMX,CDMX,México,Marca,Media,4,Grupo que opera Philips Hue y luminarias,brand
Comercializadora,Equipo de iluminacion,Sterling Electric,https://www.sterlingelectric.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Material eléctrico y de iluminación,brand
Comercializadora,Equipo de iluminacion,Tecnolite,https://www.grupoconstrulita.com/tecnolite,,,Guadalajara,Jalisco,México,Marca,Media,4,Marca famosa IMPI; iluminación inteligente; desde 1989 en GDL,brand
Comercializadora,Equipo de iluminacion,The Home Depot iluminación,https://www.homedepot.com.mx/tienda/iluminacion,,,CDMX,CDMX,México,Canal,Media,3,"Lámparas, focos y luminarias",research
Comercializadora,Equipo de iluminacion,Vyrsa (ejemplo),https://vyorsa.com.mx/,,,CDMX,CDMX,México,Ejemplo original,Media,3,Ejemplo del cliente — equipo de iluminación,ejemplo_cliente
Comercializadora,Equipo de iluminacion,WAC Lighting,,,,USA,,México,Marca,Media,2,"Iluminación arquitectónica, venta MX",brand
Comercializadora,Equipo de iluminacion,ACRILUX,,,,México,México,México,Marca,Baja,1,"Luminarias, vía Ilumi de México",brand
Comercializadora,Equipo de iluminacion,Beghelli México,,,,México,México,México,Marca,Baja,1,Iluminación de emergencia y LED,brand
Comercializadora,Equipo de iluminacion,Electromag,,,,México,México,México,Marca,Baja,1,Material eléctrico e iluminación,brand
Comercializadora,Equipo de iluminacion,Feilo Sylvania / Havells,,,,México,México,México,Marca,Baja,1,"Iluminación, operación MX",brand
Comercializadora,Equipo de iluminacion,Forlighting,,,,México,México,México,Marca,Baja,1,"Iluminación, venta MX",brand
Comercializadora,Equipo de iluminacion,LUMICOM,,,,México,México,México,Marca,Baja,1,"Luminarias, vía Ilumi de México",brand
Comercializadora,Equipo de iluminacion,MAGG,,,,México,México,México,Marca,Baja,1,Luminarias y transformadores,brand
Comercializadora,Equipo de iluminacion,Solar (focos),,,,México,México,México,Marca,Baja,1,"Focos automotrices y generales, venta MX",brand
Comercializadora,Equipo de iluminacion,Starco,,,,México,México,México,Marca,Baja,1,Luminarias,brand
Comercializadora,Equipo de iluminacion,Sylvania México,,,,México,México,México,Marca,Baja,1,"Lámparas y focos, operación MX",brand
