giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
MedTech,Suministros medicos / farmaceuticos,GMMC México,https://www.gmmcmexico.com/,,5555304433,CDMX,CDMX,México,Mayoreo,Alta,6,Distribuidora de material médico; Viaducto Río de la Piedad 261,research
MedTech,Suministros medicos / farmaceuticos,J&M Distribuciones,https://jmdistribuciones.mx/,info@jmdistribuciones.mx,3316578530,Guadalajara,Jalisco,México,Mayoreo,Alta,9,"Material de curación y quirúrgico; San Salvador 1959 y Cruz del Sur 65, GDL",research
MedTech,Suministros medicos / farmaceuticos,3M Health Care México,https://www.3m.com.mx/,,,CDMX,CDMX,México,Marca,Media,4,"Vendaje, antisepsia y equipo de protección",brand
MedTech,Suministros medicos / farmaceuticos,Abbott Médica,https://www.abbott.com.mx/,,,CDMX,CDMX,México,Marca,Media,4,Diagnóstico y dispositivos médicos,brand
MedTech,Suministros medicos / farmaceuticos,Amazon MX material médico,https://www.amazon.com.mx/s?k=material+medico,,,México,México,México,Marketplace,Media,2,Sellers de insumos médicos,research
MedTech,Suministros medicos / farmaceuticos,Baxter México,,,,CDMX,CDMX,México,Marca,Media,2,Soluciones intravenosas y terapia renal,brand
MedTech,Suministros medicos / farmaceuticos,BD Biosciences,,,,CDMX,CDMX,México,Marca,Media,2,Citometría y laboratorio,brand
MedTech,Suministros medicos / farmaceuticos,Becton Dickinson de México,https://www.bd.com/mx,,,CDMX,CDMX,México,Fabricante,Media,4,"Dispositivos médicos, jeringas y catéteres; 12 plantas en MX",brand
MedTech,Suministros medicos / farmaceuticos,Bsn (BSN Medical),,,,Alemania,,México,Marca,Media,2,"Vendaje, venta MX",brand
MedTech,Suministros medicos / farmaceuticos,Cardinal Health México,,,,CDMX,CDMX,México,Fabricante,Media,2,Manufactura y distribución de productos médicos; 5 plantas en MX,brand
MedTech,Suministros medicos / farmaceuticos,Casa Marzam,https://www.marzam.com.mx/,,,CDMX,CDMX,México,Mayoreo,Media,4,Distribuidora farmacéutica nacional,brand
MedTech,Suministros medicos / farmaceuticos,Costco México,https://www.costco.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Farmacia por mayoreo,brand
MedTech,Suministros medicos / farmaceuticos,Farmacias ABC,https://farmaciasabc.com/,,,CDMX,CDMX,México,Retail,Media,3,Cadena CDMX,brand
MedTech,Suministros medicos / farmaceuticos,Farmacias Benavides,https://www.benavides.com.mx/,,,Monterrey,Nuevo León,México,Retail,Media,3,Cadena del norte,brand
MedTech,Suministros medicos / farmaceuticos,Farmacias del Ahorro,https://www.fahorro.com/,,,CDMX,CDMX,México,Retail,Media,3,Cadena nacional,brand
MedTech,Suministros medicos / farmaceuticos,Farmacias del Sol,https://www.farmaciasdelsol.mx/,,,CDMX,CDMX,México,Retail,Media,3,Cadena CDMX,brand
