giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Grooming,Barberia y cuidado masculino,Vikingos Barber Shop,https://www.facebook.com/vikingosbarbershopmx/,vikingosbarbershop@gmail.com,5550847376,EdoMex,EdoMex,México,Barbería,Alta,8,Barber shop con cortes clásicos y modernos; Periférico Norte,research
Grooming,Barberia y cuidado masculino,Amazon MX barbería,https://www.amazon.com.mx/s?k=productos+para+barberia,,,México,México,México,Marketplace,Media,2,Sellers de productos de barbería,research
Grooming,Barberia y cuidado masculino,American Crew,,,,USA,,México,Marca,Media,2,"Productos de barbería premium, venta MX",brand
Grooming,Barberia y cuidado masculino,Andis,,,,USA,,México,Marca,Media,2,"Máquinas de corte, venta MX",brand
Grooming,Barberia y cuidado masculino,Babyliss Pro,,,,Francia,,México,Marca,Media,2,"Herramientas de barbería, venta MX",brand
Grooming,Barberia y cuidado masculino,Barberia y cuidado masculino (ejemplo original),https://www.sensabien.com/,,,,,México,Ejemplo original,Media,2,Seed del cliente,ejemplo_cliente
Grooming,Barberia y cuidado masculino,Baregk,https://www.facebook.com/BarberiaBaregkMX/,,,México,México,México,Marca,Media,3,Marca de barbería y cuidado personal masculino,research
Grooming,Barberia y cuidado masculino,Clubman Pinaud,,,,USA,,México,Marca,Media,2,"Lociones y productos de barbería, venta MX",brand
Grooming,Barberia y cuidado masculino,Coppel grooming,https://www.coppel.com/,,,CDMX,CDMX,México,Retail,Media,3,Sección de cuidado masculino,brand
Grooming,Barberia y cuidado masculino,Gillette México,https://www.gillette.com.mx/,,,CDMX,CDMX,México,Marca,Media,4,Rasuradoras y cuidado masculino,brand
Grooming,Barberia y cuidado masculino,Mercado Libre barbería,https://listado.mercadolibre.com.mx/productos-para-barberia-mayoreo,,,México,México,México,Marketplace,Media,2,Mayoreo de productos de barbería,research
Grooming,Barberia y cuidado masculino,Old Spice,,,,USA,,México,Marca,Media,2,"Desodorantes y cuidado masculino, venta MX",brand
Grooming,Barberia y cuidado masculino,Oster,,,,USA,,México,Marca,Media,2,"Máquinas de corte, venta MX",brand
Grooming,Barberia y cuidado masculino,Proraso,,,,Italia,,México,Marca,Media,2,"Productos clásicos de barbería, venta MX",brand
Grooming,Barberia y cuidado masculino,Sensabien (ejemplo),https://www.sensabien.com/,,,México,México,México,Ejemplo original,Media,2,Ejemplo del cliente — cuidado masculino,ejemplo_cliente
Grooming,Barberia y cuidado masculino,Suavecito Pomade,,,,USA,,México,Marca,Media,2,"Pomadas de barbería, venta MX",brand
Grooming,Barberia y cuidado masculino,Wahl,,,,USA,,México,Marca,Media,2,"Clippers de barbería, venta MX",brand
Grooming,Barberia y cuidado masculino,Walmart México grooming,https://www.walmart.com.mx/,,,CDMX,CDMX,México,Retail,Media,3,Sección de cuidado masculino,brand
Grooming,Barberia y cuidado masculino,Axe (Unilever),,,,México,México,México,Marca,Baja,1,"Cuidado masculino, retail MX",brand
Grooming,Barberia y cuidado masculino,Bígaro,,,,México,México,México,Marca,Baja,1,"Fijadores y brillantina para cabello, marca MX",brand
Grooming,Barberia y cuidado masculino,Dove Men+Care,,,,México,México,México,Marca,Baja,1,"Cuidado masculino, retail MX",brand
Grooming,Barberia y cuidado masculino,El Vaquero,,,,México,México,México,Marca,Baja,1,"Gel y fijadores para cabello, marca MX",brand
Grooming,Barberia y cuidado masculino,Jojoba / Argan Men,,,,México,México,México,Marca,Baja,1,Aceites y pomadas para barba,brand
Grooming,Barberia y cuidado masculino,Kiss Color / Kiss,,,,México,México,México,Marca,Baja,1,"Tintes y cuidado para barba, marca mexicana",brand
Grooming,Barberia y cuidado masculino,Marca de la Cruz,,,,México,México,México,Marca,Baja,1,Jabones y cuidado personal mexicano,brand
Grooming,Barberia y cuidado masculino,V75,,,,México,México,México,Marca,Baja,1,Cuidado capilar masculino,brand
